userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
738968150,3965,92,281515,1253,992,809,5108,506917,T
420858275,2900,168,81200,1253,1109,404,6580,506202,F
614754841,4148,69,394060,1253,1051,1618,6506,506455,T
671134794,2772,118,135828,1253,1208,404,5543,506645,F
227384289,1996,14,167664,1253,2542,1618,3674,506097,T
999985482,2712,157,165432,1253,9254,404,3758,506919,F
028324799,861,211,49077,1253,1114,404,5626,506969,T
425480805,2803,153,126135,1253,940,404,5184,507029,F
337107487,977,167,22471,1253,1322,1213,5594,506567,T
884960213,2861,137,163077,1253,11864,404,6632,506128,F
965618288,2167,33,112684,1253,10516,809,5111,506034,T
220712355,2724,130,106236,1253,972,404,4971,506137,F
228975341,4034,54,165394,1253,28920,2023,5731,506251,T
017764009,2814,113,151956,1253,976,404,3564,506767,F
751833577,3896,28,350640,1253,1008,404,7453,506907,T
295620286,2970,138,151470,1253,958,404,4196,507021,F
589391009,814,150,39886,1253,1821,1213,3857,506134,T
930361428,2979,108,285984,1253,18508,404,3800,506665,F
384417896,2713,167,73251,1253,1800,404,5643,506256,F
553674802,2137,47,72658,1253,2152,809,3737,506335,T
428817394,4160,40,112320,1253,1640,404,5565,506640,T
784632102,2812,156,247456,1253,1836,404,6604,506583,F
641452383,3952,88,150176,1253,1044,2023,5440,506299,T
925261623,2742,136,137100,1253,24353,809,4094,506173,F
221384997,2059,39,166779,1253,7344,1618,3342,506161,T
714516402,2848,123,133856,1253,1032,404,3486,506836,F
430562524,2022,27,129408,1253,1035,1618,5377,506393,T
787962697,2771,132,174573,1253,21032,809,4837,506057,F
086760163,4082,45,118378,1253,3427,1213,7379,506560,T
420017294,2869,170,189354,1253,934,404,3281,506505,F
896528196,3919,52,305682,1253,1217,1213,7245,506432,T
325349067,2722,160,198706,1253,1267,404,5767,506740,F
799093343,866,154,38970,1253,66103,2023,4838,506763,T
975456683,2971,151,103985,1253,2928,404,3820,506420,F
051984620,2045,1,177915,1253,2065,404,5535,506062,T
895823557,2868,115,77436,1253,1086,404,5422,506893,F
117856216,3897,93,210438,1253,1250,1213,7169,506471,T
288739699,2936,138,88080,1253,1960,404,5448,506435,F
455174286,2006,34,174522,1253,3281,404,3478,506774,T
188768509,2753,120,90849,1253,1364,404,3667,506850,F
360684709,3958,26,391842,1253,1635,404,5161,506795,T
007956239,2744,162,266168,1253,1617,404,5437,506687,F
710775019,2882,154,262262,1253,3213,404,5811,506503,F
667050844,937,159,68401,1253,1406,404,7195,506261,T
594202025,2110,32,84400,1253,3213,2023,5467,506808,T
268116581,2994,160,122754,1253,948,404,5711,506864,F
121373337,3932,81,184804,1253,1066,404,5132,506680,T
515037804,2915,171,221540,1253,77120,404,3947,506733,F
934969631,2257,42,191845,1253,1766,404,3299,506731,T
908503068,2842,150,244412,1253,5857,404,4835,506708,F
646701170,768,211,23040,1253,1139,1618,3834,506699,T
948830041,2847,141,202137,1253,1035,404,4909,506691,F
983687901,4189,76,255529,1253,1352,2023,4180,506827,T
676380397,2710,110,192410,1253,8730,404,3894,506865,F
857549355,4164,70,124920,1253,1278,404,6747,506190,T
133416456,2860,152,143000,1253,1260,404,3977,506358,F
083172286,2103,47,203991,1253,1063,809,6802,506646,T
897009274,2807,168,145964,1253,1843,404,3485,506554,F
604730334,4055,94,287905,1253,1364,2023,5535,506474,T
911813797,2779,131,158403,1253,4627,404,5636,507010,F
519115946,2176,47,71808,1253,1552,404,7124,506185,T
466718548,2893,156,156222,1253,9073,404,3190,506463,F
881759987,2015,1,48360,1253,2162,1213,3281,506300,T
927313707,2825,115,76275,1253,2487,404,3357,506601,F
055924450,904,175,50624,1253,2644,1618,5018,506456,T
670935962,2705,154,105495,1253,4406,404,5737,506321,F
143646406,902,207,31570,1253,1502,404,6728,506309,T
733139993,2748,161,142896,1253,1250,404,3886,506451,F
094178531,2133,1,172773,1253,1099,2023,5647,506211,T
164605975,2740,123,257560,1253,14021,404,4025,506787,F
333289704,1976,1,156104,1253,4721,1213,5591,506485,T
202080819,2886,117,155844,1253,1019,404,3870,506276,F
945982512,993,185,71496,1253,966,809,7286,506893,T
755682606,2998,160,107928,1253,2770,404,6615,506212,F
897462232,949,205,47450,1253,3004,1213,4021,506193,T
002231621,2781,164,241947,1253,2754,404,3874,506509,F
296835980,2024,57,70840,1253,1032,809,6994,506148,T
276212421,2866,146,94578,1253,1473,404,5614,506102,F
959626420,892,184,69576,1253,4284,1618,7308,506826,T
891742769,2837,127,153198,1253,925,404,6673,506948,F
571922074,3901,28,120931,1253,4975,1213,5473,506634,T
145359570,2987,122,59740,1253,21032,809,4103,506483,F
