userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
401022428,4660,781,386780,2415,11100,727,4499,958053,T
890644740,2609,1,626160,2486,10717,1091,7594,958651,T
727169285,4623,782,161805,4757,10717,1455,8130,958153,T
138909037,2206,9,119124,1891,12432,1455,7959,958605,T
758734546,4564,791,177996,4570,11655,727,5760,958178,T
468372928,4594,781,344550,9919,22742,1091,6357,958348,T
700420850,2346,22,286212,1910,9324,363,3697,958406,T
307417416,4702,775,531326,1971,103604,1091,6224,958305,T
932058183,2536,11,616248,2067,46621,1091,7954,958478,F
056831549,2207,26,176560,2428,9514,1819,4165,957853,F
007276059,4622,773,822716,2018,11511,1091,7538,958261,T
298982111,2630,28,531260,11655,13712,727,4134,958090,T
584512557,2274,16,29562,2648,23310,363,4037,958077,T
320047040,2585,21,480810,3087,33301,1455,8144,958108,F
636847048,2673,23,400950,10246,66602,1091,7896,958338,T
614114751,2609,33,292208,2072,32153,727,5484,958737,F
970881063,2590,22,492100,2791,25901,363,4218,958502,F
735406276,2576,31,33488,5864,13917,363,7969,958466,T
596333203,2568,35,53928,2193,62162,1091,4132,958580,F
929874795,4735,788,809685,2575,15039,363,3887,958292,T
746234334,2199,1,182517,2440,13320,1091,5993,957995,T
522114717,2679,35,278616,4733,9324,727,7476,958173,T
543551995,4628,765,1143116,10246,20720,1819,6077,957865,T
089005682,2600,28,325000,5583,37297,363,5591,958423,T
215330206,2536,1,560456,3271,12950,363,5460,958282,T
308152195,4581,766,219888,1895,10476,1819,3703,958349,T
401871561,2645,1,333270,2718,46621,1819,5545,958129,T
163714081,2568,25,557256,2950,103604,1091,6429,958642,F
100656670,4567,793,899699,1895,77703,1091,6321,958171,T
681363559,4718,780,146258,3248,20270,363,7325,958626,T
802637598,4908,197,1212276,7580,11655,363,6076,958737,F
794749366,4608,761,165888,2109,25201,1455,7932,958547,T
356664294,2511,22,534843,2384,116554,363,7371,958630,F
208745116,4614,760,1093518,1934,15540,363,8185,958713,T
596258215,4616,753,863192,4461,35863,1819,8070,957876,T
925907407,4691,763,717723,5720,133205,1819,3639,957910,T
441308814,2621,1,322383,10476,27424,363,7991,958504,T
024102995,4657,753,586782,3984,26641,363,4383,958493,T
316463316,2525,10,525200,4054,10842,1091,4251,958455,F
550953981,4554,772,332442,1876,14345,363,6036,958124,T
131791536,4664,784,550352,4831,32153,363,6328,957956,T
779759469,2657,24,50483,2702,18283,727,4311,958014,F
838318397,2500,24,297500,8965,58277,727,7682,958731,T
042978657,4592,760,1028608,3171,9418,1455,6037,958340,T
549436837,4634,791,1158500,8108,25901,363,6355,957929,T
471267201,4606,789,239512,1895,22200,1091,5547,958551,T
389381993,4555,768,810790,2533,103604,1455,7262,958268,T
795260351,4615,782,609180,6613,14345,1091,4427,958779,T
580039472,4596,759,404448,2331,51802,727,8174,958329,T
620239068,4580,774,389300,5755,10026,363,7514,958432,T
414739655,4578,757,1130766,4181,15039,1091,4554,957886,T
774118494,4699,774,1146556,1926,19425,1091,7792,958646,T
142479630,2574,22,540540,2291,15540,1091,8139,958760,F
158015592,2633,17,621388,5389,155406,1091,6143,958078,T
693300702,2575,16,486675,3108,23310,1091,8071,957904,F
510941673,4685,771,534090,6566,46621,1091,4415,958661,T
380244307,2671,11,93485,6475,14345,1091,7913,957902,T
628065345,4634,781,69510,6520,28255,1455,5681,958394,T
705111181,2252,1,409864,2718,12600,363,5418,958480,T
907387632,4705,781,889245,1971,116554,1455,5893,957962,T
679243637,4656,758,97776,2687,10360,1091,7370,958697,T
069238402,4718,772,698264,2158,44401,363,4202,958408,T
302708627,2506,19,531272,5720,46621,363,4627,957995,T
498086174,4604,789,906988,3642,10717,1455,5493,957991,T
725660252,2282,14,235046,1958,12600,363,3811,958736,T
