userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
888545948,4754,791,123604,2634,1895,727,5492,957895,T
605718820,2294,12,194990,2634,2331,1819,4140,958337,F
896435608,2206,28,152214,2634,5720,1455,3919,958342,T
840899845,2299,20,59774,2634,2428,1819,3781,957961,F
724892489,2434,6,65718,2634,1975,363,8233,958285,T
633309420,2562,37,130662,2634,10595,1455,4157,958038,F
360121378,4551,797,250305,2634,2950,1819,8043,958286,T
059798390,2740,11,189060,2634,10717,1455,4437,958574,F
537836454,4749,802,242199,2634,3853,363,7936,957834,T
347075037,2774,49,252434,2634,6708,727,4203,958292,F
254236497,2466,55,192348,2634,13320,1091,7939,957973,T
863403384,2641,44,92435,2634,46621,1091,6247,958271,F
162394828,1817,49,154445,2634,3545,1819,3694,958056,T
561201935,2449,1,227757,2634,2067,1819,3703,958739,F
192651757,2294,2,227106,2634,3934,1091,4086,958813,T
669729295,2751,28,200823,2634,7902,727,3667,958299,F
634213412,4544,820,127232,2634,2183,1455,5764,958486,T
814125477,2235,23,205620,2634,2067,1819,4204,958396,F
122618960,4783,804,95660,2634,6015,363,6300,958421,T
445524266,2666,18,98642,2634,38851,363,8173,958058,F
914008115,4640,798,232000,2634,8179,1819,7434,958297,T
274908507,2763,47,182358,2634,133205,1819,7853,958603,F
255680879,2481,30,129012,2634,2506,727,7302,958286,T
662859382,2600,16,122200,2634,9052,1455,3806,958247,F
464706808,4778,816,133784,2634,3440,1455,8273,958592,T
821421214,2539,60,231049,2634,10135,1091,6047,958681,F
618683280,2323,54,155641,2634,2877,1455,5616,958479,T
218611571,2699,63,237512,2634,8476,1091,3592,958583,F
292821335,2224,1,60048,2634,7706,363,4055,958435,T
219644015,2336,2,189216,2634,6015,1819,4166,958778,F
684795875,4600,781,197800,2634,4238,1091,4054,958092,T
774372682,2698,10,118712,2634,19839,727,7512,958252,F
049460462,2283,55,105018,2634,5013,1091,6141,958437,T
793810049,2680,14,166160,2634,32153,1091,6306,958332,F
131514184,4589,779,275340,2634,5977,363,6042,957979,T
746518844,2777,56,163843,2634,15804,727,5788,958110,F
491417336,2317,39,85729,2634,4200,1091,5667,958774,T
254176845,2778,55,219462,2634,22742,1091,5959,958430,F
802989985,4768,814,443424,2634,2049,363,7500,958623,T
609421492,2417,30,198194,2634,2710,1819,3734,957918,F
859573160,4824,778,458280,2634,2460,727,6278,958411,T
740734384,2399,1,115152,2634,4662,1819,3905,958609,F
333624349,4690,764,107870,2634,3047,363,7957,957972,T
933035508,2405,52,221260,2634,8965,1819,4238,958090,F
876441968,4579,785,311372,2634,2390,1819,7380,958363,T
189071119,2281,53,143703,2634,1954,1819,4294,958162,F
032864233,4642,822,273878,2634,3182,1091,4318,958299,T
057377776,2385,49,97785,2634,2434,1819,4225,958075,F
075487402,4574,765,132646,2634,6430,1091,7521,958116,T
192266422,2371,46,218132,2634,2440,1819,4394,958639,F
984144870,4811,798,230928,2634,4125,1455,4175,958589,T
766555795,2591,63,64775,2634,103604,1455,7245,958504,F
362150017,2363,1,108698,2634,5651,363,3672,957914,T
139584850,2772,19,94248,2634,31081,363,5781,958510,F
627623730,4592,808,339808,2634,3518,727,5786,958760,T
992757987,2721,41,59862,2634,186487,727,7338,958126,F
071484221,2489,1,184186,2634,2486,363,4462,958297,T
245856357,2774,65,174762,2634,54849,727,5900,958147,F
138498442,4742,762,431522,2634,12950,363,4538,958554,T
673633397,2536,12,134408,2634,103604,1455,5432,958220,F
366994755,2385,41,76320,2634,2296,363,3902,958404,T
929522424,2292,1,165024,2634,5180,1819,4116,958533,F
452855513,2336,1,70080,2634,16358,1819,3689,958542,F
073000987,4779,780,434889,2634,2214,1819,5644,958077,T
516425689,4649,760,120874,2634,2342,1455,4426,957811,T
702529629,2394,52,177156,2634,2604,1819,3822,958748,F
027469168,4684,776,360668,2634,2493,1091,5746,958800,T
885512140,2479,24,203278,2634,4570,1819,4035,958111,F
902095697,1708,10,131516,2634,1975,1819,6047,958814,T
276204773,2419,1,74989,2634,6134,1819,3613,958141,F
062983345,2751,17,255843,2634,29138,1091,5589,958078,F
982822654,2247,61,204477,2634,3642,727,8159,958399,T
082397843,4612,806,230600,2634,3097,1455,4507,958616,T
590061574,2782,12,253162,2634,16953,1091,6368,958557,F
755833918,4814,805,438074,2634,2296,363,3689,958274,T
788026654,2613,16,146328,2634,14127,1091,7582,958697,F
299061336,4608,800,230400,2634,21191,1819,6212,958248,T
980793002,2268,11,190512,2634,4089,1819,4117,957987,F
943236117,4585,823,412650,2634,7284,727,4597,958751,T
146671862,2757,19,259158,2634,11655,727,8130,958794,F
046728915,4734,753,123084,2634,2342,1091,5607,958488,T
378909759,2512,21,143184,2634,13712,1455,4606,958189,F
701515674,4566,773,383544,2634,6708,1455,8222,958214,T
712827942,2720,62,244800,2634,31081,363,4413,958309,F
447078302,4589,782,234039,2634,1963,727,3800,958381,T
260024035,2556,61,143136,2634,71726,1819,7967,958275,F
320795230,2472,44,237312,2634,5389,727,7493,958753,T
115431887,2621,62,186091,2634,77703,363,5847,958291,F
423272666,4774,782,348502,2634,2336,1091,6043,957992,T
743570971,2373,13,173229,2634,11371,1819,4457,958395,F
267413050,4652,757,269816,2634,2153,1819,4170,958693,T
749094089,2785,29,272930,2634,31081,363,8134,957903,F
872377744,4759,758,466382,2634,2886,363,4280,958729,T
871235915,2678,26,64272,2634,44401,1455,5774,957939,F
365199067,4812,757,192480,2634,4548,1455,3756,958505,T
987888847,2750,16,145750,2634,155406,1091,7531,958785,F
214427838,2724,8,168888,2634,13513,727,8213,958750,T
067494007,2699,57,253706,2634,35863,727,4378,957935,F
434589004,2387,2,62062,2634,2325,1455,6405,958647,T
261213553,2775,11,160950,2634,8325,727,5613,958451,F
