userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
832299998,2764,6,218356,760,3468,600,1315,344919,T
746026106,3556,13,817880,1966,5060,1201,1890,345081,T
536552472,2916,4,612360,1641,4978,900,3200,345024,T
598905410,2753,28,468010,1734,4347,300,2681,344321,T
030322999,2802,5,353052,884,5936,300,2703,344371,T
176337227,2827,8,627594,970,3149,1201,2149,345079,T
195450655,600,1,67200,3086,4409,1501,1648,344994,T
044163909,3373,11,539680,1259,3674,300,1907,344518,F
835857943,3460,22,432500,2071,5415,300,1893,344914,T
133491563,2896,25,46336,1365,12862,900,1843,344992,T
721468661,2798,4,223840,783,11024,600,3135,344320,T
846104842,637,1,121667,841,6299,900,1356,344310,T
170244492,2760,31,505080,1347,4347,300,1795,345110,T
193279300,4000,45,632000,1286,6567,1501,1513,344443,T
403466772,2738,6,292966,1744,3249,1501,2496,344983,T
224901155,3948,47,584304,1025,5322,1501,2739,344790,T
474425442,2909,38,87270,1164,6859,1501,1511,344400,T
621430616,2796,30,100656,731,4539,900,1583,344953,T
442182759,2922,25,409080,760,11024,600,1163,344350,T
352322582,572,1,9724,2780,4287,900,2127,344832,T
466135306,2866,30,303796,2912,13421,1501,1825,344920,T
364789891,2744,22,57624,1686,4473,1501,2182,344248,T
211790446,2898,5,556416,941,6859,600,1918,344287,T
969726152,676,1,83824,1008,3589,1201,1448,344131,T
601439270,2799,22,307890,3182,5716,900,1490,344980,T
199081645,2920,37,321200,2204,61737,900,3075,344984,T
868088820,2803,42,232649,1053,9957,900,3396,344274,T
483978172,3504,1,108624,3026,4823,600,1477,344652,T
036177540,2813,4,126585,2030,4008,300,2731,344512,T
938866387,4027,33,676536,665,7178,1501,1511,345058,T
770243998,518,4,54390,1724,4115,1501,1565,344850,T
644703853,2738,8,662596,935,6299,1201,2449,345034,T
360061943,2834,4,396760,721,6299,300,2638,344764,T
427155394,2789,19,220331,4347,4749,1201,2345,344152,T
960525588,3535,7,618625,961,5716,1201,2011,344849,F
303509175,2815,35,653080,2661,12862,900,1383,344196,T
422435287,2829,2,164082,736,10289,300,1753,344454,T
704995305,2744,12,334768,1160,34298,900,3051,344492,T
119499117,2832,11,597552,926,19293,900,2605,344612,T
563707332,2851,18,664283,832,4008,1501,1899,344492,T
944430850,635,9,85090,1403,3631,900,3361,344403,T
254418896,631,1,38491,1837,4473,900,1335,344393,T
879195249,2746,23,670024,701,5232,600,2246,344390,T
139180822,3432,29,837408,825,6710,300,1898,345104,F
185759953,2762,30,397728,2939,9079,300,2699,344477,T
153670846,2883,42,357492,841,3507,900,2975,344296,T
712980558,3383,23,564961,2684,6567,600,1898,344874,T
741789073,665,1,84455,1696,3429,1201,1904,344682,T
392633123,2741,32,383740,1978,22049,900,2717,344878,T
419106093,2756,5,531908,823,7349,1201,1879,344623,T
896416761,3438,34,821682,2189,3631,1201,1211,344183,T
275047595,616,1,131824,2269,7015,900,2908,344559,T
810644418,2872,41,60312,952,8574,600,1446,344896,T
241608353,635,1,97790,841,6859,300,1926,344563,T
266739751,683,6,134551,1064,8342,1501,1511,345063,T
704936242,4066,37,605834,935,6859,1501,3045,344731,T
984489038,3444,23,647472,3719,3429,1501,2018,344765,T
731801425,4004,46,372372,3215,7915,1501,1761,344758,T
771116970,2766,33,304260,921,8123,300,2120,345093,T
621882974,2883,13,109554,1591,15434,300,2546,344693,T
781506300,2803,38,644690,1591,25724,900,2791,344641,T
780780358,653,1,146272,897,8342,1201,2071,344490,T
899497646,2802,17,353052,992,11024,1201,2553,344584,T
076741153,2924,36,43860,1422,3858,1201,2048,344909,T
015156364,2876,2,641348,915,3319,300,3249,344957,T
498874680,2744,18,208544,1714,5824,900,3192,344449,T
834195822,2871,21,48807,1484,5060,1201,1867,344372,T
809624820,2802,28,215754,745,13421,900,2142,344814,T
172285087,489,1,41076,681,4287,300,1395,344526,T
855127894,626,9,53210,754,4061,1501,3108,344255,T
713239125,2799,32,515016,1291,3589,900,1223,344686,T
689207491,583,1,79288,1422,6052,1501,2195,344449,T
011684269,3398,24,502904,1520,3429,1201,1401,344532,F
292170975,2746,33,604120,887,3674,300,2437,344270,T
243526863,2862,21,257580,631,14031,900,2697,344877,T
619709112,2832,22,308688,1147,34298,600,3206,344422,F
829609659,2916,39,207036,3215,30868,900,1972,344891,T
144946049,2883,24,132618,740,12862,600,2007,344986,T
537735470,592,1,63344,1114,3086,600,2545,344260,T
983420959,2750,7,594000,4347,7717,1201,3037,344622,T
544512869,2927,28,588327,1794,5322,1501,1511,344790,T
190337865,3544,4,857648,850,4171,1501,1550,344835,F
256498041,3506,33,63108,2430,4228,600,1434,344609,T
572636868,668,1,14028,2551,9646,900,1720,344870,T
758982808,4029,45,777597,2017,6431,1501,3363,344291,T
724593864,3894,33,782694,3957,19293,1501,2287,344719,T
404925866,2897,10,81116,1837,9079,1501,3079,344402,T
745461191,2805,42,115005,1270,11872,1201,1852,344449,T
855354826,2811,10,489114,1090,34298,600,2779,344795,T
956510309,2798,8,39172,995,6431,900,3400,344248,T
361376033,2772,42,88704,1079,4409,1501,2285,344277,T
421935850,535,1,57780,2158,3631,1201,3132,344319,T
182633915,2917,42,93344,1616,28062,1201,2877,344294,T
619188328,2855,12,568145,995,6173,900,1899,344140,T
236817681,2874,40,439722,897,11432,600,2707,344859,T
750578641,2865,36,42975,2057,5936,1201,2763,344787,T
984883000,3403,5,445793,1035,6052,1501,1511,345034,F
107540449,538,5,82852,692,4823,1201,2271,344656,T
516222801,3971,42,325622,2489,5512,1501,3235,344398,T
819654624,2865,9,77355,2017,5232,900,2399,344913,T
277195409,3895,30,619305,1893,4677,1501,1959,344316,T
923833925,3990,47,434910,624,4061,1501,2241,344608,T
759214751,2833,30,541103,2143,3631,600,3068,344830,T
183429405,2763,5,558126,918,19293,600,1550,344819,T
316935559,2829,16,149937,659,3810,900,1563,344145,T
228071420,2853,39,447921,1324,4823,900,3172,344980,T
213048875,624,13,59904,752,8123,1201,1914,344203,T
852126425,4062,32,775842,889,13421,1501,2615,344126,T
156214813,2829,25,265926,622,25724,1201,3261,344167,T
409228555,3482,22,470070,2968,6431,900,1328,344485,T
917259392,2848,13,615168,709,3283,1201,1789,344636,T
716351748,2836,30,419728,649,5612,1501,1915,345115,T
411996223,3521,4,637301,673,5232,1201,1971,344753,F
465413797,2890,7,251430,1353,6052,600,2075,344589,T
028057027,3462,5,744330,1068,4347,300,1989,344866,F
679153355,2852,29,564696,1429,7717,1501,2747,344175,T
995361915,576,1,6912,701,4347,1201,1358,344603,T
440358656,2909,36,523620,632,11024,1501,2484,344695,T
151837753,2890,31,586670,1403,4749,900,2373,344701,T
445864751,2821,38,550095,1449,7915,1501,2310,344700,T
877577793,2907,25,72675,769,3507,300,2661,344534,T
597197314,489,1,111981,668,5824,1201,2638,345038,T
298182626,2872,25,583016,859,4115,300,2907,344225,T
006537700,3425,35,647325,2356,4287,900,2517,344518,T
523234989,553,4,111153,716,4539,1201,2711,344683,T
444545988,4027,28,757076,3674,14031,1501,1769,344341,T
192733788,2839,2,272544,967,8574,600,1553,344457,T
224852667,2887,24,222299,1724,3589,300,3223,344439,T
470792799,636,10,111300,926,3355,900,1224,344203,T
501371849,2817,25,670446,1083,12347,300,1502,344370,T
469150065,2866,35,346786,716,11872,1501,2399,344176,T
903860423,2748,16,340752,632,44098,300,2000,345100,T
913624154,603,9,142911,743,3249,1201,1851,344145,T
006266907,2775,34,627150,681,3810,300,2464,344437,T
853665445,3458,36,712348,3858,4539,900,1926,344648,T
133744717,2804,24,131788,2530,5144,900,2453,344793,T
623684587,2748,15,175872,929,15434,1201,3007,344741,T
261599860,2772,28,108108,1941,3429,900,2717,344152,T
841848976,2863,13,203273,2707,34298,1501,2905,344367,T
015900269,2900,35,661200,665,11432,1201,3356,344446,T
082923971,2835,23,195615,1724,38586,1501,1511,344691,T
812815982,4072,44,386840,1870,5824,1501,1851,344834,T
658165340,632,1,69520,3056,4539,1201,2463,344136,T
977761881,612,1,56916,659,4409,1501,2477,344765,T
026967390,3482,5,536228,1416,6859,1501,1918,344445,F
758073507,2735,27,339140,704,12347,600,2377,345041,T
127540142,3378,1,388470,1917,5415,1501,1849,344222,T
266884205,2849,15,678062,1591,5612,900,1819,344459,T
331370853,2739,30,241032,1384,4539,600,2601,344558,T
730657095,2878,12,532430,797,4677,1201,1338,344512,T
817215571,626,1,25040,1068,13421,1501,2072,344846,T
943803136,658,1,56588,687,3810,300,1562,345072,T
360193610,2736,24,134064,1442,7528,300,2082,344193,T
241931161,2742,38,85002,1012,3086,600,1578,344277,T
854457097,604,1,44092,671,3355,1201,2123,344656,T
305503639,3466,14,637744,1650,5936,300,1475,344421,F
177869090,2930,31,363320,679,20579,300,1779,344243,T
988714758,2920,18,563560,760,3086,900,1381,344601,T
806747249,3479,2,549682,704,4539,1201,1777,344217,F
290849680,2886,35,395382,1291,4607,900,3152,344984,T
446883320,522,1,42804,1616,3957,1501,2752,344221,T
793043056,2742,39,104196,716,14031,300,2536,344477,T
044453429,3450,11,420900,714,3957,300,1505,344569,F
044457292,2806,19,448960,728,3589,900,1809,344463,T
231513188,656,9,152192,1342,4008,1501,2396,344420,T
745061987,2893,19,682748,816,9079,1201,2371,344579,T
778114729,2843,19,386648,1403,28062,1201,2633,344745,T
527289643,2794,16,67056,733,3589,300,1272,344416,T
804535046,2858,32,117178,2731,4115,1201,2397,344552,T
010933990,3416,1,194712,1668,8819,300,1365,344981,F
557613416,600,4,61800,1234,5060,1501,3079,344600,T
618579211,561,13,76296,749,3249,1201,1211,344656,T
869182819,2909,39,351989,1941,4228,1501,2783,344676,T
492545480,2906,3,226668,1491,15434,900,3390,344296,T
116698237,588,6,114660,3468,5716,900,1164,344396,T
135470784,598,1,108238,1191,3429,1201,3344,344542,T
617802294,2749,28,657011,1449,4823,1201,2279,344618,T
526890775,535,3,6420,986,5824,1501,1915,345123,T
508906174,3412,7,429912,2858,3858,1201,2178,345017,T
206985286,2748,37,296784,836,3507,1201,2699,344232,T
396837804,658,1,160552,1147,10644,1201,2953,344345,T
861392708,3389,34,826916,1859,3215,300,2575,344988,T
096059552,2878,11,644672,1659,4607,600,3133,344745,T
957015312,2742,15,172746,783,7178,1501,2791,344533,T
829172469,3962,37,820134,3283,6431,1501,1817,344707,T
752734385,3410,1,736560,892,4171,1201,2360,344312,F
245784834,677,1,94780,1941,8819,1501,2887,344765,T
128689384,646,1,118218,1042,6173,1501,2095,344774,T
462617222,3950,32,477950,2572,4539,1501,2403,344197,T
515744393,4056,30,604344,1668,4749,1201,2076,344577,T
852787903,2740,8,611020,1139,12862,900,3071,344479,T
130369086,510,11,76500,724,4899,1501,1957,344520,T
411365872,3434,32,806990,2572,3468,600,1449,344758,T
783870275,2755,16,685995,1837,3215,900,2167,344483,T
790838256,3462,1,526224,902,6052,600,1692,344304,F
602106100,2795,31,279500,681,4171,1501,2020,344363,T
640270358,2911,17,90241,671,3355,1201,2552,345072,T
136420424,2759,31,549041,855,6431,1501,2795,344156,T
415957362,2806,27,462990,749,23745,1501,2975,344714,T
836933171,2930,40,82040,666,5512,600,2079,344932,T
697076152,3530,25,755420,2449,4347,300,2050,344291,T
395264588,3558,28,220596,4347,6299,300,1150,344759,T
443831919,547,1,90802,1053,10644,1501,3209,344396,T
069345360,2736,35,87552,1442,3283,1501,2614,344662,T
377340366,2925,22,263250,722,6173,300,2974,344141,T
115891912,653,12,35262,622,7015,900,1787,344523,T
031977015,552,11,22080,1151,3631,900,1339,344240,T
897333977,627,1,155496,747,4823,300,1250,344915,T
745857079,3537,11,367848,1390,4171,300,2467,344647,F
333990364,3398,1,672804,1469,10289,1501,1730,344998,F
367107384,510,7,74970,4409,6052,1501,1511,344786,T
393023769,3393,22,566631,1837,9079,900,1921,344571,T
742532268,2888,38,121296,3907,4607,600,1959,344758,T
774217099,633,5,64566,843,12347,900,1787,345012,T
384464458,512,1,57856,731,5060,1201,2017,344250,T
872652572,3424,6,136960,2128,9957,1501,2103,344212,T
949495799,2893,14,535205,2236,4978,300,3186,344153,T
388789674,2918,8,195506,1870,3283,1201,2641,344886,T
280353147,2848,9,518336,1826,5824,600,3032,344376,T
785462807,2760,31,449880,3468,3858,900,3162,344776,T
972516307,2924,6,289476,2968,3283,900,3022,344387,T
956148063,2918,42,641960,852,11872,300,2790,344775,T
138000959,504,1,31248,712,7528,1201,1374,344395,T
687444901,2733,29,73791,733,12862,300,2705,344948,T
626991252,630,1,146160,995,5415,1501,1885,344528,T
847884778,631,1,60576,2220,4409,900,1925,344668,T
684357385,3429,7,428625,2071,5322,300,2033,344154,T
319924104,594,1,131868,3631,6859,1501,3055,344685,T
171231999,3467,13,759273,995,8123,300,1514,344645,F
725276094,2913,22,582600,2939,5322,300,2790,344861,T
699235480,3472,9,493024,2731,3858,1501,1511,344446,T
700513917,2754,20,537030,678,12862,900,2277,344548,T
084328054,2766,3,503412,1071,4473,1201,2534,344816,T
826935367,2734,3,352686,812,11024,600,1805,345046,T
488636946,4042,42,840736,1917,3118,1501,2482,345102,T
424491707,4048,35,926992,2114,7915,1501,2723,344126,T
241838546,2819,26,126855,2858,38586,900,1571,344671,T
