userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
287755077,491,1,27496,1147,998,900,2575,344192,T
309799779,3557,1,74697,1147,2616,300,2017,344744,F
527576372,2918,36,116720,1147,2551,600,1736,344215,T
022653246,3531,1,127116,1147,1371,300,1161,344174,F
675973525,2888,72,161728,1147,1110,600,2142,344333,T
503163630,3491,13,328154,1147,1005,300,1831,344639,F
921636388,3010,7,186620,1147,703,300,1750,344549,T
269373233,3559,11,78298,1147,1060,300,1543,344867,F
769486843,721,3,52633,1147,632,1201,1791,344814,T
662103526,3581,20,340195,1147,6173,300,1834,344625,F
682852177,2817,23,123948,1147,1859,600,2127,344522,T
886363231,3440,2,251120,1147,9646,300,1322,344873,F
719972440,2861,26,211714,1147,6299,300,2067,344882,T
390464079,3496,5,262200,1147,1005,300,1755,344717,F
549696457,2896,53,283808,1147,631,600,1394,344740,T
405243682,3624,4,304416,1147,2017,300,1993,345099,F
496735951,2826,9,64998,1147,1134,600,2267,345051,T
446279697,3631,18,286849,1147,721,300,1558,344851,F
954437177,2859,39,188694,1147,2594,900,2393,344950,T
382868552,3583,13,197065,1147,859,300,1543,345036,F
291936833,3031,7,172767,1147,30868,1201,1235,344359,T
774127555,3456,1,286848,1147,2551,300,1502,344652,F
891650143,2955,23,286635,1147,14031,600,1873,344741,T
063345143,3517,14,253224,1147,3056,300,1486,344588,F
275977777,2928,12,234240,1147,1094,900,2493,345101,T
371879045,3412,7,283196,1147,3468,300,1975,344397,F
076202679,3020,13,289920,1147,22049,1501,2607,344370,T
950263638,3601,8,115232,1147,668,300,1906,344954,F
738856947,2996,21,71904,1147,1763,900,2462,345068,T
555416420,3561,6,309807,1147,747,300,2031,344389,F
959357055,2828,62,197960,1147,5232,900,1892,344214,T
547369651,3580,1,329360,1147,2996,300,1178,344227,F
317014222,519,10,11418,1147,2320,1501,2630,345117,T
748973132,3640,2,349440,1147,3215,300,1886,344715,F
125903350,2862,48,234684,1147,1173,1201,1884,344310,T
740523009,3561,16,188733,1147,2884,300,1584,344949,F
738340961,2763,26,243144,1147,7015,600,1918,344718,T
235028273,3588,2,129168,1147,3429,300,1873,344513,F
225719777,3004,45,249332,1147,2411,300,2705,344490,T
183372692,3596,34,359600,1147,1053,300,1530,344480,F
849080281,2952,55,67896,1147,1182,900,2767,344797,T
601285460,3620,8,322180,1147,1114,300,1670,344937,F
350985934,3009,44,264792,1147,2099,600,2798,344711,T
822342997,3530,6,155320,1147,1229,300,1953,344916,F
395060773,2930,53,143570,1147,1259,1201,2027,345037,T
731266455,3629,11,112499,1147,876,300,1732,344997,F
206351742,623,7,50463,1147,1071,1501,3154,344691,T
519904094,3543,1,290526,1147,644,300,1784,344763,F
463680878,2778,60,144456,1147,1677,900,2225,344952,T
379844089,3525,42,352500,1147,1215,300,1446,344182,F
151247135,646,1,15504,1147,983,1201,1743,344348,T
758084792,3448,16,313768,1147,9354,300,1444,344349,F
700730280,2830,66,56600,1147,23745,900,1183,344307,T
079880640,3640,17,327600,1147,3957,300,1910,344373,F
744867496,3022,27,117858,1147,684,1201,2051,344553,T
353603002,3655,12,310675,1147,633,300,1842,344632,F
436475960,531,7,18054,1147,3548,1501,1974,344938,T
612391570,3414,14,211668,1147,658,300,1560,344189,F
788758652,3001,37,147049,1147,675,600,2501,344813,T
216253411,3473,16,236164,1147,2356,300,2016,344440,F
750035530,2802,2,204546,1147,1342,600,2140,344520,T
332449684,3580,5,322200,1147,1753,300,1516,344459,F
174051794,2954,39,209734,1147,1090,600,2339,344178,T
679528059,3603,1,115296,1147,3764,300,1957,344943,F
801850222,2810,37,191080,1147,949,900,2459,345108,T
082088943,3501,18,192555,1147,1794,300,1666,344505,F
937002361,2749,32,274900,1147,938,900,2467,344977,T
667701152,3620,3,336660,1147,2996,300,1853,344668,F
873526663,2915,32,72875,1147,825,1201,2485,344138,T
316909676,3364,1,248936,1147,6431,300,1712,345086,F
721662305,2792,21,86552,1147,25724,1501,1434,344517,T
915657036,3500,6,227500,1147,668,300,1995,344885,F
307468315,2917,32,84593,1147,1491,900,1897,344389,T
541815947,3422,11,205320,1147,1815,300,1391,345069,F
824082868,2850,60,219450,1147,3810,1501,2537,344849,T
126684378,3495,4,307560,1147,1244,300,1658,344237,F
051384171,2971,23,276303,1147,767,1201,2711,344860,T
058041607,3523,10,119782,1147,1134,300,1361,344597,F
582009592,2941,45,217634,1147,652,1201,2100,344368,T
262225010,3495,4,227175,1147,3319,300,2023,344190,F
684316557,2776,61,249840,1147,1139,300,1783,344320,T
024762781,3631,1,167026,1147,1270,300,1953,344711,F
691236918,717,1,45171,1147,2236,900,1623,344466,T
551611378,3491,8,286262,1147,899,300,1253,344257,F
748867265,2860,65,134420,1147,1870,300,2064,344841,T
020035888,3636,1,236340,1147,3118,300,1836,345098,F
607229210,711,1,19197,1147,1633,1501,2092,344814,T
616912672,3468,13,166464,1147,8819,300,1522,344470,F
708236206,2945,32,129580,1147,671,300,1878,344209,T
783577619,3620,14,155660,1147,992,300,1993,345076,F
451766009,2909,70,229811,1147,3026,600,2736,344761,T
537950361,3402,11,142884,1147,2430,300,1949,344993,F
409874910,749,1,65912,1147,1015,900,3310,345057,T
590017744,3504,1,266304,1147,1229,300,2035,344965,F
445782529,2789,11,125505,1147,3507,900,2679,344863,T
446165704,3463,1,200854,1147,3118,300,1923,344738,F
307249197,2875,10,192625,1147,803,300,2224,344648,T
627700573,3572,5,332196,1147,1650,300,1957,344451,F
428863719,613,1,36167,1147,2489,1501,1181,344488,T
379455718,3534,1,95418,1147,3631,300,1256,344572,F
