userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
305043125,3042,293,568854,2324,28150,753,3142,258266,T
595081069,2191,1,468874,1362,6667,1507,4676,258574,T
113443542,2073,29,424965,713,4086,376,4780,258078,T
205592791,2023,6,196231,586,3725,753,4606,258305,T
451566738,2949,309,439401,586,11015,1130,6555,257728,T
740378167,2848,312,142400,622,6179,1507,3201,258565,T
772190256,2993,292,227468,537,5390,753,6089,258491,T
116027223,2027,1,297969,560,4524,753,4908,258482,T
465449178,2982,304,196812,970,9744,753,6764,258030,T
583643163,2850,276,108300,510,18096,1507,4648,257890,T
868987011,2016,1,302400,610,2724,1884,3949,258367,T
062936074,2022,10,370026,563,18096,1130,5417,257704,T
905730057,2995,304,134775,1384,4444,376,6635,258371,T
959202809,2007,30,471645,1005,3838,1884,6296,257883,T
267696661,2897,308,483799,3619,3166,376,3016,258297,T
702250374,2943,310,235440,911,3089,753,6342,258694,T
666512511,2179,15,130740,1711,2639,753,6059,258301,T
196121580,2085,30,389895,841,25335,376,6654,258201,T
150274896,1433,1,353951,703,9744,1130,3698,257888,F
891683492,386,1,6562,523,4021,376,6722,258306,T
080248871,2152,13,60256,867,3781,1507,3253,257891,T
115354243,2064,23,241488,1369,4153,1884,6354,257837,T
958331765,2168,1,218968,904,7451,376,6910,258109,T
867347472,2156,1,349272,517,3378,1130,4014,257816,T
645557661,1485,12,341550,2303,9383,1507,5400,257701,T
158976686,448,13,50624,3470,3089,376,3524,258129,T
735508011,3030,283,748410,1645,2724,376,5085,257865,T
857170547,2881,281,221837,1689,3089,1507,6050,258591,T
800854071,3008,298,733952,2076,2695,1130,3390,257942,T
986895612,2086,17,85526,2345,3619,376,3500,258035,T
725698909,1997,26,81877,2203,6496,1130,4906,257729,T
323399470,2954,284,531720,924,14075,376,6148,257793,T
887179048,525,20,5250,855,4967,376,5010,258182,T
822058298,2043,15,110322,1784,3290,1884,3249,258149,T
492343133,2083,2,156225,2611,3248,1130,6238,258000,T
370525897,2085,1,70890,728,6667,753,3060,258511,T
932018724,460,12,90620,2784,4967,376,6676,258307,T
029408310,2906,288,281882,904,6333,376,6173,258406,T
327370000,2076,14,359148,3518,3207,753,6035,257918,T
740647901,1509,19,297273,908,3568,376,3303,258510,T
665363415,2929,282,111302,561,25335,1884,3437,257818,T
744659773,2078,23,315856,2129,23032,753,6054,258398,T
660811079,2160,29,54000,1042,14903,1130,6231,258408,T
190124324,2910,292,512160,1121,2815,1884,4571,257818,T
194159062,2162,19,441048,1009,11516,1130,4691,258247,T
502266934,2140,82,483640,1554,5892,376,3385,257968,F
539929672,2847,292,438438,2533,36193,1884,3256,257742,T
957440055,2871,276,671814,651,10556,1884,6817,258463,T
344704394,429,1,85371,661,3619,376,6084,258152,T
116706702,2137,28,245755,993,6179,753,6847,258081,T
084313524,435,17,42195,3089,8172,376,6096,257815,T
670013255,2066,6,262382,3166,5067,376,6402,258205,T
116623584,2107,21,212807,928,5278,753,5304,258604,T
880183693,3021,291,432003,740,10134,376,3006,258097,T
778815732,2933,282,615930,1013,5390,1884,6623,257716,T
683970638,3008,276,445184,1876,3725,1130,5501,257706,T
548761999,2121,6,36057,2412,2639,1884,5336,257741,T
231668964,2114,27,418572,1369,9383,753,4802,258160,T
232495028,2153,26,277737,2815,31669,753,3718,258671,T
975031522,1454,4,274806,586,3568,753,3031,258161,F
760779460,379,23,48133,1890,2784,376,6833,258333,T
990362975,2880,297,282240,518,6179,1507,3543,258229,T
974255032,1534,5,288392,765,6496,376,3802,258471,F
833489241,3027,279,435888,624,36193,1507,3957,257973,T
386391461,2936,307,613624,651,6032,1130,3494,258557,T
139646027,1486,13,219928,1919,18096,1130,3621,258255,T
633478714,3039,285,547020,2262,2784,1507,4596,257766,T
570106250,2854,287,610756,610,6032,376,6377,258334,T
639490457,2090,3,430540,1073,31669,1507,6383,258617,T
180850110,2964,313,681720,1340,2846,753,6751,258254,T
103459551,2026,26,271484,1948,12064,1507,3671,258188,T
937983203,2070,1,72450,1305,7677,1130,6018,258236,T
076101194,2002,1,486486,699,5892,1884,4946,257925,T
119497347,1436,24,321664,1200,2559,1507,5257,258379,T
846606543,1562,25,335830,1034,16890,376,6856,258103,T
066371836,2099,20,457582,641,4967,1507,5364,258096,T
785573801,2850,298,151050,636,2912,753,6914,258092,T
382052691,2118,4,245688,1747,5758,1507,5118,257773,T
094323898,512,5,51712,754,18096,376,3126,257999,T
611031047,2875,313,215625,1439,2611,1507,3535,258606,T
186691206,2080,1,145600,1655,5067,753,5165,258087,T
601624952,2863,292,478121,1046,15834,376,6405,258282,T
886117496,2912,276,393120,1017,7917,1130,3374,258116,T
