userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
544009948,545,12,24525,650,2260,361,1739,213496,T
312137230,1040,14,236080,1050,3667,1807,3727,213457,F
705767897,1464,14,360144,741,5554,723,3726,213171,T
451928481,1150,4,248400,675,1944,1084,3439,212780,T
847211665,3824,24,730384,1606,2990,361,3011,212950,T
645712672,1022,1,58254,463,5400,1084,2598,213252,T
699432419,1355,29,18970,474,4050,1084,1665,213444,T
217150979,3828,38,727320,2113,3471,1084,2218,213098,T
820901439,1467,4,176040,563,2314,1807,1817,213545,T
340776581,1171,15,133494,741,2113,1446,2709,213572,T
390467094,1159,1,32452,2430,6703,1084,2150,212674,T
953320494,1455,21,324465,621,2046,723,3548,212765,T
218305718,1013,1,149924,437,2046,1084,2319,213102,T
177148777,1080,1,250560,2400,2136,1446,2679,213498,T
963032555,1474,18,277112,736,2738,1446,1456,213164,T
976446514,1080,1,55080,1287,2184,1084,2440,213610,T
011223638,1001,5,84084,1735,4418,723,2956,213432,T
924518502,1405,30,251495,631,3471,723,3043,212826,T
355973070,1021,6,31651,952,4860,723,2097,212883,T
745226869,1000,25,178000,508,2901,723,2938,212867,T
120871022,1106,1,76314,407,5254,1084,2038,212792,F
308220039,1489,1,302267,879,2990,1807,2173,212736,T
183018556,1371,3,143955,432,10800,1446,2206,213334,T
469026807,1176,22,174048,1851,2460,1446,3330,212946,T
182484591,1508,1,354380,1331,3738,1807,2014,213133,T
660489471,1145,9,75570,470,13885,361,2801,213045,T
309870490,1484,1,139496,563,6271,1446,1917,213033,T
903938672,1131,4,185484,694,2777,1446,2852,213378,T
655056478,1396,17,22336,423,27771,1446,2245,213228,T
615508005,1439,1,195704,706,3534,1084,2411,213451,T
279182755,1377,19,202419,543,1983,1084,3743,213286,T
648982849,1123,8,158343,1783,3471,1446,2816,213186,T
832992999,1016,1,91440,1062,2342,1446,2335,212702,T
019646324,997,1,82751,943,3085,361,1642,213382,T
191277307,1113,17,188097,422,2113,1084,3550,213408,T
850772206,1195,24,107550,1178,6703,361,3056,212865,T
853559873,637,7,24843,78,340,331,1587,25838,F
649081140,1102,1,176320,645,6271,1084,2683,213138,T
722490706,1099,25,148365,845,2342,1446,2345,213013,T
526871112,572,1,59488,519,5254,723,1547,213648,T
151615637,3853,26,917014,1944,8836,1807,2844,212899,T
574346290,1124,24,185460,661,2557,1807,2970,212808,F
382319745,1035,1,70380,730,2184,1807,3374,212744,F
530898014,1170,1,278460,670,4320,723,2770,213056,T
397018424,1004,19,160640,908,3037,1446,1862,213003,T
916850440,1150,1,98900,1262,10800,723,3873,213201,T
461502032,1394,12,147764,661,2400,1084,1997,213374,T
965384546,1086,17,196566,1192,2234,361,2214,213095,T
378089772,1128,9,248160,986,2287,723,1741,213212,T
968878131,1103,8,252587,529,3811,1807,2983,213337,F
506192612,1112,1,143448,525,3351,1084,3291,213510,T
412524339,1507,22,22605,641,2209,1446,1922,212667,T
506862412,1192,1,174032,1388,2370,1807,2354,212785,F
215591285,1186,1,220596,430,2592,1446,2417,213657,T
517574608,1190,10,166600,777,1983,1446,2308,213011,T
404620900,1438,19,264592,393,12960,1446,3459,212911,T
585034726,707,1,45248,537,2524,1084,1771,213288,T
454675666,1104,23,39744,879,7477,1446,3833,213148,T
880114620,1481,10,151062,871,4418,723,1961,213573,T
601043354,997,13,219340,1816,2777,1084,2909,212849,T
255472370,1086,5,241092,1130,1963,361,3536,213475,T
299894765,1444,16,60648,643,19440,1084,3481,213111,T
087823448,1134,11,154224,2370,3967,1807,3858,213625,F
421518138,1496,22,254320,780,2777,723,3285,213317,T
801413005,1152,28,273024,639,4984,1084,3091,212745,T
272585931,1137,6,135303,796,8452,1807,2792,213025,F
019291635,1082,6,168792,510,2046,1084,3020,213389,T
605828179,1348,16,242640,2700,1983,723,1454,213606,T
254747728,1496,1,71808,425,2025,723,1799,213497,T
925984634,1332,17,187812,679,2492,723,1759,212770,T
915693625,1129,1,36128,484,5554,1084,3781,213515,T
995007762,1104,1,102672,2663,2314,723,3314,213099,T
627444524,1176,4,182280,670,2858,723,3132,213458,T
012728046,1338,14,276966,391,3351,1446,2278,212975,T
646493571,1045,1,249755,493,2663,361,2196,213438,T
967812950,1011,6,115254,1720,4860,723,2268,213278,T
685872443,1042,13,10420,514,1944,723,3490,212741,T
599555605,1131,1,273702,502,4136,1446,2885,213251,T
704692996,1016,22,188976,528,1963,361,2038,212812,T
126747846,3753,19,679293,4019,9844,345,1781,693539,F
862759520,1405,28,296455,476,2342,361,2175,213659,T
927028871,1138,1,27312,432,3351,1807,2395,212886,F
642008166,1014,6,119652,398,4628,1446,2444,213641,F
887018018,1162,15,178948,456,4226,361,2225,212980,T
629071037,1467,17,83619,490,27771,1446,2201,212868,T
846714079,1357,10,313467,694,2400,723,2368,213551,T
874847882,1110,19,174270,540,2738,361,3084,212951,T
065401337,1448,19,50680,482,2430,1084,1571,213490,T
187990696,1369,31,160173,934,12150,361,1668,212838,T
800648523,1485,22,228690,2314,11435,1807,1982,213034,T
725217819,3662,29,790992,2492,3888,1084,2900,212943,T
169362273,1099,6,52752,499,2160,361,3667,213056,T
667254068,1387,22,176149,460,2113,723,3283,213155,T
270881436,1000,1,51000,856,2090,1084,2269,213387,T
108580259,1489,11,125076,453,5554,1446,2365,212866,T
644333042,1143,13,59436,1647,9720,1084,3105,213035,T
201453357,1320,30,246840,462,2663,723,2457,213611,T
155407568,1027,19,196157,663,2090,1084,3160,213293,T
639190845,1469,27,202722,511,3967,1084,2752,212929,T
279166751,620,16,10540,783,2945,361,1776,213143,T
226414869,1028,1,137752,506,4050,723,1770,212958,T
173727370,1061,12,217505,522,2209,723,2858,213132,T
558658925,1068,1,39516,596,1983,1446,1683,212947,T
528288750,1375,30,211750,1690,8452,1084,1861,212716,T
991192374,577,4,43275,526,2945,1807,1817,213108,T
063476473,1039,20,120524,1207,5400,1446,2613,212989,T
988347187,3704,7,600048,2700,6942,1807,1817,213385,T
508291505,1489,30,98274,546,1944,1807,3510,212944,T
567794471,1443,16,54834,555,13885,361,2018,213360,T
133665176,1509,2,72432,2524,19440,723,2962,212763,T
433316553,1026,3,152874,452,2901,1084,2664,213535,T
387862220,1010,2,132310,1851,2025,361,1851,213463,T
030718781,1456,21,269360,409,9257,1084,2356,213108,T
487532109,1161,25,218268,823,6703,1084,3103,213335,T
270277103,1488,24,138384,1086,9720,723,2281,213522,T
972874933,1065,6,255600,747,4226,723,3514,213409,T
265917027,1428,7,242760,498,3888,1446,1496,213045,T
019488507,1518,28,238326,544,3967,723,2503,213299,T
030833818,1158,18,31266,1567,4860,723,3669,213256,T
792856665,1478,18,177360,512,6942,1084,3107,213313,T
419980120,1504,22,63168,568,3135,723,2091,213472,T
815504060,1188,4,28512,679,6942,1807,2328,212824,F
350150447,1194,4,152832,658,4628,1807,3078,213055,F
026373943,1448,1,179552,722,7200,1807,2837,213554,T
312462934,1167,9,147042,957,2858,361,2541,213460,T
550919329,1329,13,139545,2287,9720,1084,3142,212934,T
262549810,1030,1,113300,856,3351,1807,3120,212898,F
954372245,1159,5,139080,525,3471,723,2400,212861,T
209404545,3795,19,762795,1028,16200,361,1515,213361,T
855737277,1484,21,179564,405,8100,1446,2686,212779,T
714296636,1181,2,119281,393,3738,1084,1544,212757,F
553015062,1426,12,89838,480,2046,1084,3093,212915,T
801480358,1334,26,282808,714,3667,723,1950,213574,T
618104269,1088,1,94656,2557,5115,1446,1462,213600,T
576472540,1058,1,31740,1068,2460,723,2743,212888,T
170739022,1072,1,134000,1419,2314,361,1904,213639,T
798426019,1070,18,44940,774,2858,1807,2034,213385,F
962538694,1042,1,240702,684,3967,1446,3705,212860,T
312885098,1492,14,123836,400,3351,723,3362,213536,T
993608981,1173,5,104397,483,2901,361,2749,213059,T
858487959,1016,2,188976,1783,3410,723,2963,213208,T
945489915,1439,7,271971,400,14954,1084,2984,213480,T
176977369,1046,1,183050,810,2663,1807,3738,212875,F
129565435,1100,20,124300,762,2184,723,3225,213165,T
673162321,1097,1,258892,517,2901,361,3001,213333,T
471570974,1433,1,315260,407,8836,361,1495,213484,T
894179127,1196,1,206908,1887,2663,1084,1995,213369,T
416331092,633,1,62034,661,2400,1084,1510,213565,T
581177629,1106,8,144886,589,3600,1084,1476,213442,T
153807855,1328,5,241696,553,7776,723,2174,212847,T
537608688,1446,8,26028,631,9257,723,3884,213407,T
265188753,1018,1,159826,438,4320,723,3319,213244,T
427800420,1486,25,114422,706,3085,1446,2025,212806,T
435179229,1390,30,27800,501,2260,1446,3874,213344,T
999658397,1197,2,134064,2663,3186,1446,1613,213298,T
126404291,1448,12,306976,686,3600,1084,3422,213548,T
950974901,1331,18,175692,405,8100,1446,2988,213507,T
224121002,1471,25,86789,427,10800,1446,1812,213666,T
371082514,1059,1,47655,1117,8836,1446,2011,213014,T
844042123,1003,1,18054,508,4136,723,2680,212795,T
773953324,1137,1,105741,883,8452,723,3660,212761,T
203107218,1413,13,350424,1056,24300,1807,1829,212904,T
486926502,1361,17,251785,463,38880,1807,1982,213626,T
443191892,1015,22,194880,391,2136,361,1945,212866,F
335565464,1052,1,96784,413,2700,1807,2000,213142,F
433095287,1505,24,168560,578,6480,1807,1817,213400,T
244627574,1002,2,72144,1359,2160,723,1850,213654,T
963779320,1449,30,127512,400,6075,1807,3295,212903,T
681958160,1050,2,178500,605,4050,1446,3196,213077,T
232330156,1494,31,253980,436,2901,1446,1729,213249,T
454719693,3841,19,898794,2090,1944,1446,2179,213250,T
247562709,1412,8,286636,537,17673,1446,1987,213324,T
726240050,1445,13,78030,765,27771,1084,2431,212936,T
707352674,1191,1,138156,423,4136,723,3371,212759,T
551861596,1138,1,172976,390,2817,361,1785,213557,F
315318850,706,1,8472,414,6480,1084,1548,213385,T
425953017,1133,4,90640,1661,2990,1084,2393,213223,T
936184060,999,13,139860,424,5717,361,2412,213633,T
993366867,1443,27,213564,431,8452,723,3859,213590,T
417127963,1126,26,235334,1816,2400,1084,2668,212887,T
388485083,1042,18,76066,1851,4320,361,2899,213159,T
438723082,1344,18,202944,1296,2287,1446,1771,212839,T
096556424,1447,3,68009,506,2004,1084,2142,213445,T
793024426,1375,1,272250,389,6075,1084,1589,213323,T
774396344,1459,1,163408,1440,6480,1807,2205,213382,T
531667351,1391,3,105716,589,7477,1084,2710,213118,T
504378245,1354,1,56868,519,17673,1084,1763,212788,T
352730522,1010,7,79790,704,7776,361,1792,212686,T
028157655,1401,6,246576,1378,5254,1807,1818,213159,T
548075899,1478,26,39906,540,8452,1446,3205,213319,T
418687150,1055,4,189900,538,6942,361,3734,212796,T
264637295,1420,1,76680,395,12150,1807,3424,213444,T
811375765,1012,15,34408,469,2990,1446,2425,212976,T
208428277,1095,1,71175,512,5717,1807,3446,212960,F
755603317,1442,29,282632,650,4050,1084,2144,213612,T
977854270,1393,9,52934,2400,10231,1446,2630,213394,T
169023381,1357,27,215763,502,2627,1446,1456,213449,T
011258004,1434,22,41586,433,6942,1084,2321,212929,T
452094246,1506,4,367464,643,4050,723,2312,213349,T
330794831,1356,1,28476,436,4521,723,2116,213048,T
363854680,999,10,111888,739,4136,1807,1817,212793,F
899289237,1499,20,362758,430,3410,723,2887,213428,T
036858545,1406,21,271358,493,3534,1446,2749,212887,T
107092341,1139,16,148070,810,9720,361,2538,212982,T
206388003,1065,1,118215,663,2025,361,2414,212838,T
228927047,1041,1,34353,783,6271,1807,3695,213645,F
546274891,1109,8,238435,456,4860,361,3736,212891,T
687797479,1351,25,231021,648,2314,1807,2857,213380,T
101208627,1080,27,254880,417,2460,1807,3047,213490,F
160022946,626,13,132712,413,3240,361,1792,212950,T
273040483,1157,16,194376,403,2777,1807,2874,213446,F
273458942,1372,21,187964,2557,4860,1084,2244,213552,T
269505644,1428,28,101388,541,2663,1446,1976,212921,T
455359132,1381,1,214055,557,2209,1446,1514,212680,T
759228520,1327,1,218955,585,27771,1084,3027,213620,T
925469806,561,14,19074,447,2342,1446,1617,212664,T
200066087,1073,1,257520,652,3888,1084,1564,213340,T
651486568,1016,9,119888,623,3967,1084,2589,213346,T
909867210,1190,1,274890,546,2777,1084,3731,212691,T
900652116,1388,1,61072,2314,10800,723,3109,213616,T
271825365,1098,26,188856,972,2627,1084,3114,212947,T
280664597,1156,1,199988,415,2945,361,2987,213575,F
749187818,1331,19,179685,793,13885,361,3505,213357,T
534489443,1352,27,246064,454,10231,1807,1817,212794,T
876205779,1063,1,70158,1074,4050,1446,2628,212979,T
169309123,722,3,128516,418,4418,361,1482,212861,T
678127497,1409,23,207123,686,2260,723,3240,212825,T
653740584,1101,1,221301,696,6942,1084,3098,212807,T
294798555,1139,1,179962,423,4050,723,2850,213642,T
776596059,652,15,20212,492,2342,1084,1792,212667,T
336277286,1003,1,51153,391,6075,1807,3316,213199,F
371246140,1000,18,23000,991,2592,1084,2883,213051,T
687379230,1010,24,252500,2209,2234,1084,2585,213561,T
100195597,1075,26,129000,471,7200,1446,2772,213195,T
977617416,1320,28,216480,633,4418,723,3131,213142,T
659170862,1469,1,183625,515,2858,723,1849,213223,T
101641076,1166,21,12826,756,5554,1807,2687,213560,F
006033227,1168,1,99280,1123,2901,361,2833,213073,T
849020592,1502,27,313918,421,19440,723,1726,213215,T
599112129,1377,4,280908,487,16200,1446,2567,213298,T
322186418,1408,26,15488,1123,7776,1084,1841,213387,T
158932726,1328,26,179280,1045,38880,1807,2011,212744,T
346057649,1419,3,171699,573,4226,1807,1817,212742,T
520413332,1343,1,218909,637,9720,1084,1706,213639,T
594366950,1453,24,342908,467,11435,361,3635,213473,T
775529332,1010,1,164630,1110,6942,1807,3519,213050,F
738017689,1113,22,16695,645,6942,1807,3411,212749,F
369955486,1455,1,357930,561,5554,1807,3161,213180,T
058485165,1169,3,236138,765,4226,1084,3705,213057,T
112355216,1334,13,269468,590,2260,361,2059,212789,T
922176093,543,1,72762,585,1983,361,1748,213043,T
041225468,1483,26,174994,547,2260,1084,2958,213233,T
047637558,3701,16,869735,2004,2160,1807,1817,212807,T
685534521,1426,10,17112,512,9720,1807,3516,213111,T
776249070,1356,14,89496,810,5554,1807,2277,213590,T
174642486,1511,30,184342,504,21600,1807,1900,213474,T
643949794,1474,23,311014,394,2777,1807,2276,213464,T
349512999,1352,1,20280,813,27771,1446,3120,213535,T
717510449,1061,1,172943,1246,2592,1446,2138,213343,T
160987854,1159,9,105469,451,4226,1084,2381,213093,T
499714773,1461,26,43830,411,3240,1807,1817,212875,T
106363101,1161,1,284445,518,3410,361,1997,213487,T
276590853,1496,10,181016,1461,5554,1446,1821,212667,T
394061277,3768,32,738528,1429,4226,1084,1436,212773,T
068653624,3703,25,374003,2592,2557,361,1509,213526,T
500249352,1374,4,339378,507,14954,1446,3009,212765,T
734405762,1442,10,307146,583,8452,1446,2416,212841,T
105009733,1486,4,283826,580,4860,1446,1895,213446,T
731515866,1436,23,182372,652,4320,1807,3018,213211,T
187597039,1459,22,124015,1012,2400,1446,2322,213170,T
703757198,1073,1,107300,645,2858,723,2007,213613,T
594854331,1140,1,114000,1222,1983,1446,3624,213236,T
397826494,1435,1,292740,2287,7776,723,2173,213608,T
900979811,1074,1,86994,1230,2260,1446,3798,213280,T
617474372,1050,11,115500,1340,3351,1446,2609,213397,T
115138873,1108,1,263704,1429,3811,361,3883,212993,T
903424229,1109,24,144170,972,2700,1807,2268,212927,F
254085297,1453,14,358891,437,2945,1084,2412,212967,T
267656022,1494,10,333162,672,13885,1084,1425,212974,T
072022906,1395,15,302715,396,1963,1084,2980,213488,T
323849954,1134,5,274428,1816,4136,723,2692,212842,T
191337388,3848,18,715728,1567,2460,361,1721,213036,T
276341296,1117,1,117285,1388,3410,361,3329,213407,T
717075896,578,23,34680,733,2400,1446,1572,213323,T
202066357,1356,31,25764,810,2370,723,2077,213054,T
894295499,1413,2,251514,410,6703,723,3116,213446,T
078528841,1156,1,79764,827,4741,1807,2842,212949,F
905037728,1346,17,64608,879,5254,1084,2237,212804,T
457939967,1408,11,309760,466,2136,1084,1465,213260,T
188830959,1179,1,30654,753,2945,1446,3383,213335,T
423180281,1510,1,300490,601,38880,1446,1456,213215,T
297803615,1044,15,250560,1039,3600,361,2943,213071,T
511246917,1111,1,146652,2663,1983,723,2429,213010,T
121985921,1366,23,30052,471,3534,723,2358,212878,T
227472299,1045,1,25080,774,2184,361,2260,213085,T
626190922,1097,14,127252,408,2160,361,2918,213299,F
654711163,1068,1,260592,619,4418,1084,2508,213288,T
973303976,1461,8,357945,506,2738,1446,2172,213341,T
768186087,1088,11,114240,589,1983,1807,2856,213111,F
052758157,1046,1,174682,1222,1963,1446,2262,212885,T
182816288,1141,1,60473,523,9257,1084,3829,213050,T
088824603,1105,10,207740,1123,3135,1446,2946,212662,T
591292556,1392,1,165648,916,38880,361,3733,213348,T
272967617,1041,27,146781,925,2592,361,2930,213147,T
795138464,1019,21,174249,529,4741,1446,3147,213437,T
177176823,1186,1,282268,1002,4226,723,2953,213226,T
801836703,1008,11,58464,1429,9257,1807,2900,213156,F
902917782,1440,5,358560,2592,27771,723,2613,213476,T
706507484,1448,15,360552,617,7477,1446,2490,213357,T
933407750,1488,1,209808,1690,16200,1807,3136,213088,T
645596967,1152,19,156672,526,4418,1446,3313,212831,T
394804320,1395,24,62775,976,6480,723,1728,213017,T
910830993,1090,19,58860,661,2234,1084,3402,212900,T
220285225,702,15,101088,414,2046,1084,1582,212833,T
539731550,1150,4,255300,1171,2004,1084,2311,212662,T
294683422,1457,27,268088,431,8100,1807,3864,213409,T
826470335,1197,1,216657,521,1983,1446,3078,212989,T
613481542,1041,1,52050,429,3410,1807,2254,212883,F
777107230,1466,13,109950,506,4628,1446,1954,213491,T
342668898,1366,23,304618,426,2209,1807,3162,213280,T
240170432,1079,1,132717,756,4860,723,2491,213505,T
668937980,1067,1,74690,428,4226,1446,2620,213110,T
734202679,1017,25,205434,483,4860,1446,3157,213130,T
809441264,1159,22,207461,419,3240,1446,3188,213194,F
414257473,1322,22,280264,494,2858,1807,1817,213602,T
568874608,1468,13,256900,1378,2492,1446,2313,213257,T
043276824,1353,23,259776,1207,2627,1084,1528,213084,T
765584231,1340,14,261300,418,5554,1084,3240,213020,T
333879241,1379,17,82740,665,6271,1084,2438,213565,T
273448041,1154,1,280422,393,5115,361,2152,213040,F
803016203,1407,1,237783,537,4050,1084,1664,213011,T
