userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
355837602,1611,5,111159,590,14954,1446,2329,213403,T
109967116,1257,14,49023,590,3240,1807,2912,213590,F
656951447,1203,20,78195,590,393,1446,2809,213478,T
423731429,1039,1,41560,590,1123,1807,2419,213136,F
277037225,617,50,32084,590,962,723,1544,213041,T
437140229,1134,1,31752,590,447,1807,3227,213202,F
975592933,1357,10,59708,590,1192,1446,1469,212863,T
324501203,1179,1,71919,590,967,1807,2158,213665,F
282008378,1096,50,31784,590,428,1807,2586,213129,F
694767946,1035,35,78660,590,391,1446,2543,213433,T
513795326,799,1,72709,590,504,723,1428,212761,T
136942385,1100,8,69300,590,2990,1807,3004,213136,F
271798652,1286,12,86162,590,701,1807,3156,212927,F
640963124,1047,1,27222,590,852,1084,2176,213076,T
554400777,627,38,28215,590,1080,723,1634,212692,T
490088684,1174,39,81006,590,5115,1807,3124,213617,F
743538913,1185,40,39105,590,4226,361,3561,212771,T
976778636,1101,42,95787,590,1098,1807,2500,212990,F
583080768,1077,1,31233,590,583,361,2919,213035,T
742192831,1097,7,26328,590,1002,1807,2889,213160,F
034347572,580,14,49300,590,512,361,2071,213068,T
973294240,1098,20,97722,590,619,1807,2555,213392,F
682152257,1218,18,32886,590,389,723,2468,212671,T
870198962,1095,1,41610,590,2004,1807,2440,213514,F
469275573,1251,56,45036,590,512,361,1871,213656,T
428715692,1194,52,84774,590,1130,1807,3591,213162,F
763188493,1573,13,125840,590,1215,1807,3844,212847,T
025715911,1023,1,43989,590,916,1807,1799,213351,F
131939998,1504,45,69184,590,1200,1084,3676,212939,T
294583099,1062,19,30798,590,689,1807,2610,212666,F
242613763,1021,38,28588,590,459,723,3677,213663,T
394605587,1057,1,45451,590,613,1807,3594,213536,F
530045127,1378,60,132288,590,1086,1807,1516,213186,T
680062826,1127,53,60858,590,1238,1807,3367,212738,F
420038252,1066,32,81016,590,405,1084,3605,213180,T
984581039,1213,43,121300,590,538,1807,2924,212682,F
512884087,1292,12,108528,590,1034,1084,2981,213257,T
082619393,1106,58,57512,590,2260,1807,3570,213566,F
206004170,760,1,44840,590,1340,1084,1611,213147,T
865090531,1243,3,49720,590,1304,1807,3768,213367,F
368043053,1065,1,54315,590,540,361,2590,213166,T
830176527,1121,56,67260,590,658,1807,2950,212914,F
941130013,1151,1,70211,590,780,723,2274,212957,T
250821276,1227,14,96933,590,856,1807,3684,213175,F
749043168,1540,26,90860,590,570,723,1975,212696,T
117388029,1053,15,60021,590,1567,1807,3804,212759,F
917608091,1543,46,98752,590,856,723,3122,213384,T
679572187,1282,39,106406,590,525,1807,3468,213585,F
436318421,1578,52,72588,590,709,723,2243,213336,T
252429172,1029,1,62769,590,441,1807,2878,213644,F
561715819,1231,1,115714,590,1633,361,2887,212919,T
949017837,1134,34,66906,590,2990,1807,2850,213209,F
059890549,1616,11,122816,590,395,1807,1679,212957,T
816842926,1258,57,67932,590,841,1807,2506,212899,F
870188459,1225,22,45325,590,543,361,3502,213325,T
159152582,1176,53,92904,590,498,1807,3745,212794,F
816865040,1274,55,42042,590,400,723,3243,212936,T
611873033,1010,30,21210,590,3186,1807,3701,213306,F
795378370,1497,25,106287,590,433,1446,2872,212666,T
722623553,1092,47,104832,590,686,1807,2935,212691,F
617220667,1536,38,121344,590,585,1807,2226,213224,T
366832821,1216,1,60800,590,916,1807,2710,213084,F
493762585,1003,12,100300,590,5554,361,2886,213112,T
886436754,1152,18,89856,590,2945,1807,3059,212668,F
769737102,1253,8,96481,590,962,1807,2264,212859,F
636395610,1045,26,73150,590,780,361,2099,213163,T
777958757,1342,37,108702,590,1440,723,2393,212960,T
733919577,1213,29,89762,590,5400,1807,3228,213591,F
951156383,1113,45,79023,590,670,723,3026,212717,T
361717928,1208,1,36240,590,904,1807,2110,212808,F
565361448,1136,48,94288,590,1110,1446,2925,213517,T
831184268,1184,1,28416,590,750,1807,3002,212978,F
595830116,758,19,21224,590,2090,361,1761,212665,T
174182426,1016,50,33528,590,1074,1807,3159,213006,F
578407040,1185,15,54510,590,934,361,2228,213327,T
411562390,1166,41,55968,590,768,1807,3239,213502,F
239911971,1022,1,91980,590,967,1084,3447,213379,T
871760641,999,34,26973,590,991,1807,2651,213617,F
918777550,1004,1,64256,590,883,1807,2756,212770,F
925795097,1404,11,124956,590,424,723,1439,212681,T
673453387,1142,53,44538,590,517,723,2848,212706,T
979103444,1219,1,45103,590,823,1807,2537,213011,F
567814280,1445,21,105485,590,830,1807,2326,213071,T
692437530,1064,47,94696,590,948,1807,2891,212938,F
844604970,1460,16,49640,590,1983,1446,3388,213278,T
891296354,1004,1,64256,590,736,1807,3328,212758,F
013958058,1040,21,34320,590,412,361,2397,213024,T
057695466,1124,1,51704,590,1751,1807,1489,213567,F
918309347,1608,43,125424,590,1171,1807,2901,213268,T
376044037,1001,38,55055,590,388,1807,3488,213391,F
913505276,1233,38,86310,590,467,361,3753,213198,T
021961476,1150,1,97750,590,493,1807,1661,213521,F
385797164,1548,21,133128,590,2700,1446,1521,213116,T
828799567,1144,51,94952,590,1633,1807,2769,213347,F
615735009,1009,51,100900,590,2209,1807,2951,213320,F
425501544,1223,4,57481,590,1450,723,2386,213414,T
603215185,1162,40,102256,590,447,1807,3004,213285,F
460321870,1496,34,119680,590,725,1807,2966,213245,T
883359063,1222,5,61100,590,654,1084,3121,213013,T
247012052,1073,5,91205,590,598,1807,2434,213033,F
