userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
303196028,2903,2,336748,1151,9854,1548,10702,275200,T
553722786,1141,142,270417,671,4751,2065,5494,274947,T
297725922,1073,134,142709,1000,2660,1032,5142,275629,T
321811675,254,1,5588,886,3695,516,11306,275644,T
271390139,1153,134,14989,723,8314,1032,5301,275154,T
719216886,2976,8,44640,745,4751,1032,10449,275328,T
421766829,3587,59,771205,2062,5784,1032,11155,275185,T
219899589,1133,136,96305,568,4751,1548,8374,275618,T
349372249,267,2,27501,732,6651,1548,7858,275025,T
994292886,1200,136,298800,2274,3695,1548,6062,274947,T
184740730,2893,37,552563,641,8583,2581,5959,275524,F
020619516,2868,21,200760,554,14782,1548,7952,274931,F
808815194,2901,27,159555,784,10233,1548,5118,275628,T
655808212,156,10,1560,624,2830,2065,8071,275361,T
889005685,281,1,32034,572,5543,1032,7871,275759,T
550289214,210,6,19740,753,20467,516,7828,274916,T
021013802,201,1,14673,568,12670,1032,10962,275129,T
280677532,1203,139,21654,1739,4751,516,11135,275652,T
803639719,1081,115,191337,548,7002,2065,6047,275363,T
864446619,2955,26,79785,1350,14782,2581,5425,275272,T
483970371,2969,23,617552,1430,14782,516,10990,275232,T
850424427,1240,128,260400,600,7002,2065,7776,275098,T
977313041,1212,134,272700,3058,26607,1032,10460,275481,T
415232427,305,1,36905,586,8314,1548,10855,275434,T
998627242,2902,24,298906,866,7825,1548,8609,275762,T
842935789,2945,14,591945,1249,8869,1032,7759,275609,T
004352292,2935,8,287630,769,2830,1548,5689,275280,T
809541116,241,1,25546,623,6187,1548,10276,275682,T
235312906,2998,2,296802,568,11086,2065,10334,275644,F
020108065,3063,39,73512,2634,11568,2065,10289,275762,T
836607144,2962,29,539084,764,8869,2581,5498,275468,T
837481567,1133,133,160886,826,3023,2065,5599,275352,T
582921337,268,22,46900,1094,6651,516,5219,275410,T
467132329,3022,16,404948,624,3368,2065,6050,275581,F
485295174,1226,131,258686,806,9175,2581,7703,275104,T
523762842,214,14,8132,2660,3284,2065,7915,275000,T
982795384,321,1,50718,908,2830,1548,5745,275013,T
886732200,1236,141,88992,705,3244,2581,7905,275853,T
942582465,1076,148,200136,1835,4434,516,5768,275674,T
739696948,3034,15,737262,1673,4291,2581,11062,275844,T
425102842,2989,34,705404,1007,15651,516,10822,275508,T
889544663,1110,111,54390,1684,4927,2581,5143,275074,T
316050163,1162,128,227752,2397,11568,516,8034,275206,T
798956433,2989,26,122549,741,9854,2065,10910,275271,T
053260657,1246,136,17444,1461,4291,1032,8404,275054,T
392462419,3142,39,197946,2418,5912,2581,7949,275185,T
750323977,1220,146,150060,538,5912,516,7965,275014,T
820605648,1211,121,234934,618,3644,2065,10991,275812,T
419878351,222,1,8658,563,4157,1032,5388,275076,T
445131847,1092,139,164892,2313,8869,2065,11298,275497,T
771925728,1147,146,131905,1323,9175,1548,10487,275129,T
395116859,2855,29,219835,1797,4223,2581,5274,274925,T
823262591,1108,143,111908,2046,7002,1032,10444,275215,T
481334728,310,1,21080,936,2660,516,8547,274929,T
794310889,342,1,21888,644,3501,1548,7894,275900,T
754341494,157,1,14915,593,2923,2065,7816,274982,T
421567284,3010,24,692300,2830,7825,1548,5721,275191,T
783289572,2917,14,408380,1039,6187,2581,7728,275921,T
304764983,327,19,47742,595,17738,1032,5732,275767,T
126075224,2866,25,716500,1141,9502,1032,8340,275787,T
282656671,203,1,49735,556,16629,2065,11051,275260,T
