userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
994302791,2858,26,94314,534,538,2065,8241,275119,F
912177038,1304,128,108232,534,981,2581,5389,275625,T
423147223,3130,18,93900,534,2293,1032,10412,275760,F
443463160,367,14,13946,534,658,2065,11052,274989,T
083085196,293,9,18752,534,2830,2065,5611,275025,T
304750879,3313,39,251788,534,7825,516,8687,275777,F
499782473,1300,179,89700,534,596,2065,8707,275106,T
787645838,2996,56,158788,534,1942,1032,6079,274937,F
933008127,417,1,8757,534,2463,1032,10893,275843,T
098417472,3168,56,291456,534,806,516,10770,275450,F
140209242,193,6,13317,534,6047,516,5439,275582,T
854533321,3074,66,82998,534,7002,516,5320,275900,F
815856382,397,28,26599,534,1622,1548,10299,275712,T
093334957,3002,15,246164,534,943,1032,10620,275806,F
783445572,1337,146,108297,534,689,2581,10743,275661,T
237032321,3026,37,290496,534,6489,1032,7834,275588,F
093854423,183,1,4758,534,1593,1032,10764,275740,T
482011373,3063,31,199095,534,1503,516,10681,275354,F
610220911,1088,132,39168,534,694,516,8509,274922,T
452808778,3133,45,231842,534,687,1032,11218,274978,F
512286281,185,34,18130,534,1887,1548,10543,275473,T
864964828,3307,11,257946,534,1132,516,5724,275315,F
204827171,345,1,31050,534,561,2065,10519,275783,T
302909460,3189,40,178584,534,689,516,11087,275000,F
139568018,3140,4,248060,534,570,1548,7759,275303,F
665309868,384,1,18432,534,996,516,8056,275810,T
046860350,223,1,18063,534,753,516,5989,275700,T
382236339,2865,7,157575,534,1094,2065,10904,275605,F
531721422,3130,40,175280,534,586,1548,8415,275664,F
016219869,348,12,16704,534,850,516,5307,275487,T
788542070,1237,174,69272,534,2486,1548,11197,275141,T
688660858,2892,45,214008,534,914,1032,10448,275445,F
441927422,301,6,18662,534,855,2065,8125,275687,T
218350960,2968,66,77168,534,930,1548,7926,275200,F
788118074,1164,157,93120,534,1357,2581,8266,275205,T
423206865,3075,36,159900,534,806,516,10406,275840,F
920445102,1260,122,74340,534,8314,1032,11144,275897,T
853536169,3093,20,235068,534,562,1548,6067,275353,F
586262964,329,3,25333,534,1716,516,10510,275909,T
852560045,2891,54,239953,534,1942,1548,5293,275091,F
687417444,1318,118,73808,534,660,1032,5597,275745,T
523513064,2988,11,83664,534,2235,1548,5965,275212,F
984577746,2860,51,251680,534,1529,1548,11022,275176,F
665006562,1300,149,83200,534,1773,2581,8540,274990,T
214161943,1126,136,95710,534,1027,1032,8726,274948,T
032910312,3040,39,130720,534,586,516,8097,275802,F
926796858,3097,19,151753,534,1203,516,5659,275812,F
767221741,1166,153,26818,534,1035,1032,5165,275549,T
047345747,435,1,25665,534,2558,516,5875,275105,T
120405315,3056,4,216976,534,1385,1548,10850,275746,F
780381258,1120,149,110880,534,1156,2581,5406,275758,T
753031393,2900,23,81200,534,1146,2065,5138,275912,F
941565653,1352,155,68952,534,539,2581,5282,275041,T
032137234,2951,3,59020,534,905,1032,8251,275291,F
790712030,1117,158,61435,534,713,2581,7825,275510,T
468416059,2977,19,181597,534,626,2065,10288,275162,F
723986337,1304,143,49552,534,1055,2581,5120,275440,T
587060043,3285,20,279225,534,895,516,10737,274919,F
915095958,293,31,12013,534,1750,516,8655,275118,T
904730210,3073,67,92190,534,8062,1548,8685,275440,F
756001040,414,7,9108,534,821,1032,8257,275321,T
154128621,3099,19,297504,534,3205,1548,10974,275910,F
660316375,302,1,13288,534,608,2065,10312,275225,T
432478392,3228,3,148488,534,673,516,5934,274994,F
509145887,1103,173,65077,534,1167,2065,11184,275339,T
583665057,3093,16,145371,534,580,1548,7697,275281,F
981650976,156,9,5304,534,536,516,7932,275564,T
378883240,3137,24,291741,534,1323,2065,5189,275687,F
793112494,279,1,25947,534,615,1548,8508,275299,T
676134086,3034,58,157768,534,1113,516,8274,275388,F
637743402,1113,133,81249,534,13303,1548,5119,275717,T
187714384,3063,73,235851,534,8314,516,11226,274964,F
368273198,1272,153,63600,534,1622,1548,10554,275560,T
044615567,3086,27,111096,534,2418,1548,5737,274966,F
696477134,194,28,14356,534,608,1548,8351,275406,T
224472561,2884,52,239372,534,1127,1548,10705,275359,F
770731036,268,9,13132,534,1090,516,10293,275055,T
164060487,2901,63,243684,534,836,1032,10667,275129,F
103351497,1248,134,72384,534,1279,1032,8108,275027,T
794285826,3139,18,191479,534,3595,1548,8063,275592,F
982745818,3077,49,304623,534,803,1032,8423,275353,F
906977030,1119,165,86163,534,901,1032,5142,275722,T
333305152,209,1,12749,534,4509,1548,5493,275040,T
316225116,3062,37,101046,534,985,516,6025,275793,F
654447295,1327,137,116776,534,538,1032,11201,275605,T
747136762,3165,35,278520,534,1785,516,5654,275694,F
532637796,169,3,15717,534,615,1032,5471,275166,T
426281242,3111,21,227103,534,1285,1548,10328,275008,F
725758162,1218,163,24360,534,1220,516,8538,275645,T
078471302,3222,13,177210,534,1810,516,8543,275259,F
002706358,1353,176,29766,534,2418,1548,8069,275017,T
363619084,2892,4,274740,534,758,1032,11318,275235,F
427065442,394,15,14578,534,1750,2065,8232,275797,T
666551223,3134,33,247586,534,1914,1548,7818,275399,F
074896505,3118,30,233850,534,1797,1548,5883,275490,F
586052705,451,48,41041,534,2274,516,6068,274990,T
710753686,1222,126,70876,534,732,1032,5974,275678,T
077206657,3096,55,68112,534,1177,1032,5444,275845,F
326324319,1355,166,120595,534,705,2581,5860,275015,T
920946289,3033,7,103122,534,656,1032,5155,275535,F
