userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
187189457,4869,84,48690,1502,81352,2109,9415,604582,T
705272266,4831,72,241550,2324,17795,2109,4745,604504,T
357623735,4160,161,449280,3310,51769,421,4302,604554,T
217926500,4749,72,113976,1423,56946,421,6410,605259,T
095755536,4782,104,1047258,1211,94911,1265,8646,605398,F
627843654,4844,81,692692,1359,13889,1265,8750,604887,T
427759064,4920,100,669120,1336,18982,1687,8947,604512,T
344895008,4733,107,601091,2454,10951,843,6392,605071,T
141385256,4784,77,880256,3061,7695,1265,8538,605008,T
861951884,4871,96,686811,2698,8897,421,6950,604918,T
256333213,3434,38,655894,1879,6861,843,4992,604887,T
201541913,4883,93,380874,4867,8761,1687,6929,605258,T
279140682,3342,6,822132,1710,37964,843,4257,604899,T
714316230,4905,80,73575,3199,8135,1265,4363,604463,T
043517874,4149,149,688734,2041,8761,421,8594,604745,T
135686211,4212,137,985608,4592,8897,1265,4448,604871,T
190294508,4766,106,772092,3389,14986,1687,4937,605358,T
255582259,4785,75,488070,4484,8374,1687,4982,604545,T
211374152,4873,69,930743,1385,6944,421,5193,605396,T
881034071,3419,31,841074,1441,9184,421,6930,604816,T
860545631,4153,164,286557,1445,27117,843,4517,604446,F
856203136,3433,37,638538,1608,7030,843,4621,604541,T
605325761,4103,128,582626,2519,27117,421,4754,604596,T
425138989,4830,106,193200,1321,7800,2109,6918,605321,T
453258167,3450,41,400200,4281,14236,1265,4732,604945,T
213344570,4871,94,506584,1318,8499,1687,8439,605126,T
912656411,3334,35,296726,1152,12379,421,8919,604691,T
268424752,4738,96,772294,1842,27117,2109,4440,604584,T
472961345,3448,32,334456,3451,8897,421,4905,604859,T
727072175,4098,147,127038,1699,11166,421,4760,605124,F
607685552,4825,100,164050,2751,29972,421,8556,604510,T
286554312,4857,91,203994,2542,11389,843,8580,604451,T
577874167,4760,90,913920,4667,47455,2109,4519,604646,T
609398452,4918,108,796716,1183,6699,1265,8542,605329,F
401170169,4897,94,793314,1898,8135,1687,6290,604666,T
350191132,3320,10,810080,1294,11863,843,4760,604817,T
204168421,3388,41,399784,4347,10545,843,4347,605128,T
642323961,4841,79,832652,2055,10545,421,6779,604473,T
196099220,4907,74,637910,1510,7800,1687,7197,605054,T
226240019,4923,105,310149,1539,8499,2109,8769,605265,T
518940754,3402,26,176904,3982,17256,1265,4194,604834,T
338086265,4917,90,737550,2055,33498,1687,7274,604759,T
316934257,4908,95,633132,1522,20338,1687,8492,604785,T
767974528,4901,106,980200,1991,56946,421,8977,604755,T
581587795,4817,101,48170,3493,71183,843,6798,604720,T
080734202,4915,71,1046895,1271,33498,1687,7297,604597,T
782474284,3338,26,120168,5224,10169,1687,7272,605032,T
528428337,4900,108,1024100,1413,6944,843,4341,604612,T
972327541,4118,136,827718,1368,7592,421,4947,604901,T
561781091,3373,39,178769,1183,10353,2109,4846,604828,T
358883252,4148,143,539240,4785,29972,421,4954,604665,T
991475588,4858,71,743274,1936,29972,1265,7215,605266,T
609088367,4887,69,733050,4126,25884,1265,8578,605005,T
122283627,4881,75,165954,1214,7592,2109,4570,604821,T
062363992,3466,18,79718,1409,7030,843,7178,604863,T
987369109,3315,12,89505,1179,8897,843,8881,604478,T
938099326,4240,138,284080,1336,9335,843,7185,605098,F
972826273,4794,108,1184118,1300,7493,2109,8890,604948,T
213515457,4880,71,956480,5475,10744,421,7097,605208,T
841884360,4752,85,964656,1641,9184,843,4816,604613,T
914205357,4161,161,557574,6779,8020,843,4956,604540,T
510230396,4853,86,781333,3078,5931,2109,4309,604590,T
950419030,4808,98,649080,1689,7118,843,9020,604858,T
678301692,4909,75,898347,3389,8761,1265,6864,605102,T
178882739,3459,6,210999,1148,6058,843,8396,605188,T
991739515,3298,37,184688,1445,8135,843,8720,605111,T
497885500,4884,76,1035408,1169,11389,2109,4643,605017,T
322905261,3433,16,178516,5272,5870,843,9273,604991,T
888914184,3343,21,608426,1427,18369,843,4792,604951,T
496406008,4844,92,479556,1486,56946,1265,8904,604398,T
736395051,4842,80,1108818,1271,14236,421,8908,604677,T
052697569,3392,1,281536,3722,35591,1687,4856,604642,T
068395945,3424,25,708768,7493,6471,1265,4260,605243,T
696284718,4892,44,1183864,5870,15391,421,4623,604694,T
806170722,3392,24,736064,1963,7030,1687,5158,605276,T
673044229,4246,166,496782,2242,15818,421,5167,605076,T
565944552,4875,100,867750,1551,5870,421,6842,604914,T
408387081,4226,165,42260,7909,11621,421,6542,604726,T
137876231,4792,80,57504,1560,12654,1265,6949,605283,T
611138019,4849,89,431561,2413,7909,1687,9425,604843,T
835436747,4185,153,372465,1471,12654,421,6407,605056,F
529527117,4769,83,419672,2465,6257,2109,4914,605054,T
994022767,3431,19,741096,1392,15818,843,7267,605084,T
683572220,3407,7,609853,1257,9335,843,4898,605280,T
361974391,4789,69,143670,1201,6327,421,6375,604552,T
469258746,4758,109,580476,3796,9990,2109,4979,605133,T
796250189,4884,42,1025640,4067,6621,421,4617,604598,T
479883868,4738,80,303232,1214,7909,843,7185,605366,F
671420865,4794,92,1155354,1819,18982,1265,6772,604524,T
239567345,3289,20,101959,2805,14601,2109,4962,604654,T
601111602,4062,158,653982,2157,11863,843,4580,604407,T
426003965,3426,27,387138,2181,5931,1687,4200,605262,T
738409515,3477,17,125172,1324,9990,843,9187,604738,T
450882101,4757,97,371046,1211,19636,421,8548,604902,F
266910138,3403,18,316479,1309,18982,843,8725,605266,T
969291790,3375,18,519750,1416,17795,843,4375,605188,T
997024028,4840,97,813120,1427,23727,421,6684,605326,T
319321709,3447,29,544626,3181,9184,843,6632,604648,T
384240299,4836,75,952692,1171,7909,1265,4948,605342,T
986637328,4216,168,632400,1438,15818,421,6534,604843,F
855953953,4780,69,1089840,2382,10545,1265,6356,605370,T
871472480,4875,74,799500,2259,94911,1687,4305,605011,T
950388862,4155,157,407190,1730,7118,421,7206,604845,F
613117897,3390,4,206790,3537,81352,1265,5052,604531,T
212758608,4899,85,333132,2402,11389,2109,7037,604986,T
698390178,4786,102,57432,1312,15818,843,4589,604586,T
578052582,3286,28,210304,1368,9184,843,4471,605064,T
291789971,4811,69,216495,4592,6621,843,6756,604818,T
109259459,3453,35,113949,1232,20338,421,6683,604485,T
458300328,3365,21,649445,1543,15818,843,4263,605327,T
895886945,3313,2,43069,1679,8499,421,6636,605099,T
041745467,4849,88,1100723,2423,8253,421,7078,605143,T
097597031,4740,86,270180,3235,12942,421,7220,605236,T
357780174,3426,25,483066,1577,9039,421,8474,604755,T
112721203,4926,74,684714,3111,47455,843,7183,604830,T
015754773,4824,106,183312,1162,6189,843,4800,604640,F
413318841,3339,2,540918,1577,7395,421,6482,604931,T
768531767,4892,97,792504,1254,15391,1687,4279,604756,F
