userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
618392564,4820,71,197620,1434,2259,843,4842,604506,T
454747254,4359,161,265899,1434,8499,843,4228,605356,F
168285602,4902,79,426474,1434,1710,1687,8596,604973,T
334744986,4233,170,126990,1434,2207,421,4863,604415,F
804615671,3489,20,303543,1434,1636,843,6956,605332,T
124184517,4336,157,390240,1434,1991,421,4678,605122,F
997360655,4253,147,216903,1434,1145,843,5042,604683,F
266967362,3510,5,238680,1434,2224,1265,6803,604894,T
677074067,5015,132,300900,1434,1741,843,6711,604863,T
999283595,4227,172,304344,1434,21091,1265,5084,604813,F
648672251,4897,120,200777,1434,2950,843,9337,605381,T
990612890,4187,154,184228,1434,1257,421,4963,604633,F
924789969,3322,60,89694,1434,2124,843,4511,605001,T
077079378,4158,188,87318,1434,15818,843,7276,604956,F
043541011,4832,114,314080,1434,1617,843,6710,604626,T
713551015,4261,169,221572,1434,2648,421,6718,604503,F
608055396,4768,108,281312,1434,1315,1265,6819,605053,T
355799086,4239,171,122931,1434,1235,421,7028,604528,F
863655485,4766,106,224002,1434,2805,421,8543,604650,T
810349934,4219,158,274235,1434,2268,1687,4587,605307,F
761124605,4850,118,150350,1434,24759,1265,4367,605049,T
412992436,4275,158,342000,1434,40676,421,6771,604953,F
297479663,4879,119,165886,1434,2711,1265,8427,604894,T
101419469,4138,155,293798,1434,1518,1687,4446,605107,F
554597523,4814,123,192560,1434,4218,843,4757,605146,T
598958625,4081,171,371371,1434,1530,421,9199,605231,F
254375067,3397,41,312524,1434,1309,1687,5080,604567,T
863252690,4109,192,308175,1434,5224,421,9154,604838,F
956203014,4769,97,143070,1434,2190,1687,4350,605216,T
416898735,4169,184,371041,1434,3537,1687,4786,605091,F
768219600,3378,71,314154,1434,2486,421,6494,604759,T
200175751,4223,187,160474,1434,2791,1687,4661,604930,F
479597199,3284,53,203608,1434,1138,1265,6800,604902,T
156305934,4334,197,112684,1434,2965,421,4455,605008,F
751311551,3453,47,107043,1434,1138,1265,7276,605143,T
655097231,4085,189,155230,1434,1551,843,4724,605157,F
916066150,4185,191,83700,1434,3581,1265,5084,605213,F
381338081,4983,89,134541,1434,1490,843,8522,604500,T
420255489,4826,131,366776,1434,1375,1687,6595,604826,T
626016716,4195,149,171995,1434,6621,421,5087,605153,F
615748250,3370,55,171870,1434,1573,843,4923,605108,T
056309290,4239,154,131409,1434,1879,421,9330,605245,F
197838146,4735,79,397740,1434,11863,421,8879,604464,T
319257912,4224,187,190080,1434,1891,421,7127,604743,F
898120450,4958,111,272690,1434,1494,421,7289,604684,T
977105094,4095,162,343980,1434,3310,1265,6698,604755,F
378432329,4908,75,98160,1434,3029,1265,4490,604749,T
166401499,4178,191,238146,1434,1494,843,7289,604930,F
260292461,3548,32,138372,1434,5322,1265,6320,605019,T
651798103,4061,185,121830,1434,1842,843,4362,604409,F
586860796,3294,54,204228,1434,1891,1265,9300,605063,T
327766099,4133,170,136389,1434,1430,421,7234,605008,F
306361759,3556,23,344932,1434,1930,843,4738,605260,T
670186689,4284,198,389844,1434,1943,843,6961,604515,F
493116082,4111,153,209661,1434,4187,421,4559,604952,F
743545763,5020,103,100400,1434,1622,843,4458,604706,T
287540612,4154,163,137082,1434,8020,421,9043,604779,F
645927066,4861,110,252772,1434,1251,1265,8633,605021,T
199838707,3305,9,109065,1434,2026,1265,4537,604666,T
414266583,4316,152,138112,1434,3369,1265,4814,604711,F
221939527,4736,75,359936,1434,1674,1687,9427,605337,T
159044607,4206,193,340686,1434,5931,1265,4448,605292,F
191978892,4793,78,177341,1434,1395,2109,4916,604526,T
975978084,4108,164,312208,1434,13558,421,8845,604462,F
068940976,4931,69,182447,1434,3389,2109,9435,604613,T
936765370,4152,187,406896,1434,2997,843,6691,604668,F
472693245,4331,182,316163,1434,2444,843,6534,605138,F
351148915,3290,71,161210,1434,1181,1265,7225,604835,T
823708193,4860,70,111780,1434,6058,843,9100,605384,T
979686622,4153,194,245027,1434,2764,421,8523,604518,F
785099764,4972,105,357984,1434,4826,1687,4835,605099,T
039215042,4339,185,208272,1434,1246,421,4187,604866,F
382932470,4922,93,187036,1434,56946,843,6421,605101,T
966485775,4263,143,225939,1434,1382,421,8537,604672,F
283370498,3438,40,123768,1434,4126,1265,4743,605082,T
206108940,4184,148,317984,1434,4592,1265,6627,604601,F
402656897,4243,136,313982,1434,56946,843,4489,604551,T
460389022,4101,160,241959,1434,1555,1265,6750,604597,F
572485512,4152,157,411048,1434,3217,421,6986,604836,F
884125266,3563,41,277914,1434,1211,1265,6672,605108,T
799773256,4353,129,352593,1434,1581,421,4826,605023,T
427081456,4179,150,158802,1434,1560,1687,4457,605111,F
434391795,4185,136,385020,1434,1336,421,8792,605199,T
721876957,4262,193,281292,1434,4706,421,8841,605159,F
622622048,4095,138,356265,1434,10353,843,4384,605119,F
481681618,4877,132,341390,1434,2553,843,5171,604511,T
652999910,4288,150,227264,1434,8135,1265,4591,604853,F
778970440,3305,57,294145,1434,3900,843,4441,604544,T
462689376,4827,85,357198,1434,33498,421,8782,605173,T
753937232,4164,138,154068,1434,2048,421,4468,605036,F
659532933,4104,155,316008,1434,1237,843,4403,604888,F
225955263,3361,10,181494,1434,1573,1265,4775,604801,T
451674127,3287,67,167637,1434,7800,421,6331,604415,T
267921518,4347,152,217350,1434,5372,421,6701,604570,F
084765346,4856,70,228232,1434,2673,843,4349,604776,T
581411264,4129,141,94967,1434,2224,1687,4669,604615,F
309854644,4287,191,364395,1434,11389,421,4822,605192,F
377098472,4849,96,320034,1434,4448,1687,5203,604515,T
789924919,4131,167,140454,1434,13243,843,5063,604961,F
286343104,3381,2,121716,1434,2305,1265,6468,605042,T
