userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
335175474,3135,240,589380,2988,6272,1429,3281,453396,T
765249697,3312,236,337824,1413,4840,952,4290,453543,T
331192838,3202,226,339412,2635,5003,1429,3329,453678,T
720615942,126,19,9576,1035,5239,1429,3112,453217,T
839666188,8,1,480,3650,10356,952,2853,453184,T
810013557,70,1,4970,1753,15904,1905,2846,452940,T
121855940,28,1,3192,4590,55665,1429,3704,453811,T
432283473,3262,214,65240,5178,15904,476,2809,453666,T
303526782,3138,238,674670,2193,11418,2382,4815,452997,T
622618023,3235,248,352615,1739,21206,2382,4298,453087,T
565050895,456,24,18240,908,9475,476,6630,453011,T
655991410,487,43,93504,6272,20242,476,2983,453154,T
652302094,3262,218,469728,2420,8563,1905,2851,453573,T
292351631,3240,217,690120,1484,7182,476,2811,453384,T
494095931,3132,229,306936,966,5430,2382,4238,453489,T
131621705,3136,246,570752,1489,31809,476,4927,453342,T
361190081,3306,232,733932,4788,21206,952,6439,453505,T
498904499,3266,221,143704,6272,4840,1905,3688,453640,T
007239269,3177,230,247806,1113,63618,1429,3592,453725,T
195216195,3201,237,80025,2381,4948,2382,3403,453100,T
785743324,3154,221,37848,1190,55665,1429,5244,453748,T
957876876,491,32,26514,3620,9088,476,3361,453870,T
846406696,18,3,342,1317,5365,1429,3525,453885,T
723897011,115,1,13685,1699,6100,1429,2911,453801,T
819417266,3283,213,518714,1474,17813,2382,5911,453525,T
111806886,3238,230,320562,939,55665,2382,5140,453557,T
055115674,3322,226,73084,1200,40484,952,5205,452994,T
983935374,3185,216,85995,1474,12035,1905,4525,453217,T
697942738,3134,223,40742,937,21206,1429,5687,453654,T
442199061,3142,210,427312,920,4544,1429,3792,453837,T
296575330,3279,226,488571,2800,5178,2382,3842,453091,T
236634891,3220,231,460460,1070,13097,476,4700,453351,T
887666895,3174,215,380880,941,4840,952,4339,453557,T
801953847,3260,227,283620,1073,63618,952,3097,453490,T
561638388,308,26,29876,1121,7952,952,3039,453837,T
