userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
054419630,1015,9,237510,4046,18967,1827,5453,669621,T
792415195,2642,318,338176,1336,10464,456,7620,669387,T
328463540,2587,12,25870,2836,6669,913,4900,670097,T
229429025,2694,349,325974,2989,15563,1370,5496,669188,T
447606987,2526,20,212184,3316,7587,913,5369,669865,T
906476030,4229,155,308717,1769,6069,913,9523,669482,T
752980350,4207,155,992852,3570,10116,2284,9689,669237,T
771795420,4092,145,793848,3528,6322,1827,9910,669223,T
821486348,4202,159,735350,3448,7683,1370,7619,670033,T
629617794,2498,37,522082,5324,18392,1827,9114,669294,T
515533430,2611,330,579642,1951,8430,913,5101,669123,T
586468684,955,13,121285,1498,9483,2284,4739,669856,F
853769004,2630,317,370830,1560,7587,1370,9607,669519,T
466995065,4097,156,475252,1817,12139,1827,4814,669563,T
339750858,4082,185,1016418,3866,8796,913,4616,669655,T
522271883,983,26,81589,1572,18392,2284,7736,669470,F
247855752,4158,183,237006,1769,7312,913,9687,669786,T
893683229,2600,324,322400,1513,10116,913,9889,669933,T
947087036,4053,155,470148,7882,25290,1370,9775,670083,T
630258104,4143,166,103575,8548,25290,1827,4641,669345,T
215650433,2545,9,137430,1957,7882,456,9388,669188,T
838450922,2449,16,369799,5726,14115,456,6890,669268,T
045010259,2718,322,266364,1418,7140,456,9140,669631,T
576823868,2608,1,326000,2085,10648,456,7548,669975,T
951537784,4147,150,340054,3866,15563,1827,7777,669910,T
457962169,2429,31,291480,1521,17341,456,10044,669304,T
969357232,2694,325,466062,1795,9059,456,9983,670103,T
863522866,4096,153,176128,1560,13194,913,7575,669461,T
002948296,4156,150,178708,1336,13194,1370,9564,669472,T
623471811,1072,23,91120,1238,11672,1827,5265,669523,T
233736654,2497,31,64922,3508,6193,456,7842,669885,T
074409990,2464,4,478016,7882,50580,913,5118,669723,T
353864522,2439,8,485361,1649,40464,1370,7683,669453,T
340340887,4170,159,166800,1233,55178,1827,4700,670096,T
848071386,1100,6,201300,1572,14803,1827,7662,669304,T
143174879,1036,9,50764,3050,7587,1827,5321,669583,T
132807430,2595,2,384060,2685,6744,1370,5026,669493,T
732384167,1095,31,140160,1398,13794,2284,6980,670100,F
970023161,2628,328,218124,3334,10464,913,9488,669681,T
744727208,1090,27,127530,1719,9634,1827,9128,669456,T
257785801,1013,10,242107,2273,33720,1370,9594,670062,T
972750856,1114,41,222800,2100,6322,1827,5535,669994,T
598475575,4120,150,482040,2239,6069,456,5062,669846,T
853551108,999,18,11988,1223,7986,913,4711,669485,T
566318902,4129,177,392255,2932,20232,1827,7173,669983,T
385678382,970,8,215340,1283,8092,456,5476,670046,T
974971265,2431,6,119119,3144,6257,913,5351,669784,T
381737211,4129,159,557415,3112,6976,1370,9825,669272,T
586777899,2631,340,460425,1480,25290,913,5437,669905,T
225387339,2476,13,262456,7587,6976,913,5328,669577,T
196287619,4070,176,887260,2437,33720,2284,9340,669545,T
993439832,2503,25,525630,1319,18392,456,9742,669479,T
424728827,2696,317,196808,1640,16860,913,6833,670048,T
097176871,4152,151,660168,2561,8670,1370,9238,669978,T
060535108,2571,2,498774,1360,6597,1370,6958,669499,T
083410850,4053,168,368823,4244,11452,913,5187,669871,T
992272342,2602,14,36428,3890,7587,1827,4845,669333,T
276445241,2557,14,608566,4244,31945,913,6979,669161,T
916647284,4057,178,705918,2307,6819,2284,7597,669865,T
738621902,2552,349,173536,1951,9789,913,7401,669592,T
793715495,2700,333,351000,2092,6069,456,5164,669870,T
003676965,1043,26,164794,1302,10464,2284,5283,669637,F
576942325,4106,147,829412,1294,7225,1370,6853,669486,T
611719095,2713,328,103094,3508,6744,913,7530,669721,T
156607198,950,25,43700,3793,9634,1827,4962,669486,T
702438317,4228,180,566552,1977,10287,2284,7120,669814,T
729465670,990,32,82170,2550,7882,2284,7222,669252,F
500871439,2454,23,382824,1269,6069,913,9667,669511,T
463322360,4172,183,442232,4398,50580,2284,7596,669698,T
383108193,2590,20,461020,1267,9059,1370,5509,669971,T
369010745,978,9,30318,2685,7312,2284,4825,669667,F
219834690,2562,34,89670,1411,6744,913,5298,669729,T
808118558,4079,174,387505,2071,11672,2284,5048,669608,T
906739926,4219,177,708792,3612,14451,913,6952,669650,T
900406163,2584,20,85272,5468,19579,1827,7626,669410,T
454468974,2513,9,381976,5058,6193,456,9092,669776,T
675000694,2616,11,549360,1243,14115,913,4923,669327,T
544843611,4116,166,444528,7781,12387,2284,7799,669539,T
688673367,2597,347,233730,2050,12139,1370,5200,669455,T
680369329,2613,29,114972,1744,16404,1370,7727,669775,T
447613203,2488,15,512528,1223,6976,456,5429,669589,T
198959316,1133,13,104236,3390,7401,1370,9474,669337,T
294609091,4850,188,1139750,8092,11901,1370,10009,670022,F
165697924,2635,329,371535,1528,8548,1370,6894,669467,T
612053255,2617,18,565272,1719,46689,913,9812,669786,T
059967015,4042,155,881156,3700,7401,1827,7579,670028,T
947104510,4085,184,379905,1452,6597,1370,5416,669789,T
936728107,4135,175,996535,2946,35703,1827,9626,669778,T
414021354,2533,28,379950,1686,16860,1370,5309,669668,T
675754453,4049,158,700477,1861,22480,1827,7113,670104,T
102965349,4852,190,1183888,6257,18392,456,4875,669169,F
677186234,2515,38,128265,4129,16860,913,4651,669808,T
175517949,2441,17,65907,3570,12139,913,7381,669705,T
770095909,2609,323,302644,1644,22480,456,7108,669289,T
033422132,2462,1,192036,1455,6322,913,7314,669353,T
611766260,2607,350,57354,2975,13794,913,7088,669228,T
304013413,4077,169,884709,2114,35703,456,7398,670098,T
079521276,1047,13,61773,2071,43354,913,9526,670034,T
708574762,2579,1,533853,3746,30348,913,9632,670111,T
877998408,4155,169,265920,1414,17341,913,7630,669530,T
515268920,4220,176,497960,3448,37935,913,7665,669371,T
131346904,1094,31,226458,4563,6897,2284,9218,669907,F
754790756,2550,25,596700,4496,8548,1370,7156,669604,T
656048649,4169,184,1004729,6976,8796,1827,5238,669692,T
454078522,2508,17,180576,4073,10116,456,9476,669603,T
