userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
593493366,4132,212,330560,1466,4366,1827,9359,669352,T
980083647,1158,30,41688,1466,1221,2284,10091,669246,F
576102712,2634,362,73752,1466,3841,456,10135,669233,T
790247104,1067,73,59752,1466,9634,2284,5455,669744,F
856748817,1183,6,28392,1466,3409,913,5301,669748,T
720393471,1164,46,24444,1466,2036,2284,9565,669541,F
106947922,2828,318,231896,1466,1517,1370,5144,669154,T
960247759,1097,42,48268,1466,1487,2284,5522,669894,F
024627685,1142,43,53674,1466,2529,1370,9492,669234,T
228781598,968,60,47432,1466,2050,2284,5477,669186,F
045586623,4298,180,137536,1466,1850,456,4958,669452,T
775890141,967,59,23208,1466,4855,2284,9840,669339,F
419804648,4067,161,357896,1466,2029,2284,7174,669235,T
592034887,1140,19,108300,1466,5143,2284,10056,670073,F
497561046,2502,37,210168,1466,9634,456,7021,669506,T
732881967,1105,4,22100,1466,1233,2284,4814,669615,F
963781426,1054,56,37944,1466,6457,2284,5115,669297,F
931475943,2680,375,195640,1466,5892,1370,9844,669662,T
493720623,2808,357,131976,1466,1296,1370,9656,669608,T
901702342,1140,9,112860,1466,2343,2284,4880,669921,F
347092804,1128,49,94752,1466,2100,1827,9467,669416,T
026369124,1204,52,73444,1466,2593,2284,9784,670078,F
964345315,2666,39,266600,1466,5100,456,5291,669351,T
683704677,1069,8,26725,1466,2009,2284,7233,669311,F
980091222,2723,374,136150,1466,1487,456,4964,669402,T
027683538,1175,11,42300,1466,2746,2284,7458,669162,F
946879881,4252,149,131812,1466,3570,913,4639,669337,T
654101678,1094,74,62358,1466,2487,2284,7596,669338,F
704427991,4066,193,117914,1466,1331,456,7228,669751,T
389273343,1057,20,68705,1466,3050,2284,9599,670041,F
099415316,4118,188,292378,1466,2904,1370,7751,669115,T
816656355,1085,57,37975,1466,1593,2284,4559,669489,F
146739305,4150,148,215800,1466,1764,1370,5040,669428,T
402149668,1150,55,42550,1466,7986,2284,7821,669786,F
467301426,4305,182,154980,1466,1914,2284,5161,669263,T
570138657,1233,37,73980,1466,8430,2284,5063,669356,F
659726404,2703,13,97308,1466,2107,456,7489,669988,T
594598554,1122,60,86394,1466,3353,2284,9130,669922,F
126559299,2694,334,137394,1466,1548,456,7115,669117,T
119544713,1085,61,69440,1466,9059,2284,7567,669277,F
133389401,1075,55,61275,1466,2890,1827,9112,669779,T
300574467,941,57,79985,1466,1601,2284,9505,669333,F
335775164,2619,367,219996,1466,2697,1370,4921,669631,T
018874818,1148,5,87248,1466,1532,2284,4895,669678,F
910561657,2557,312,84381,1466,3050,913,6936,669604,T
876017186,1084,28,79132,1466,2849,2284,4584,669995,F
181361119,1226,15,25746,1466,4019,1370,6923,669989,T
888245840,1083,47,86640,1466,2849,2284,7671,669408,F
807251445,2696,326,191416,1466,1392,1370,5358,670061,T
898118609,1067,48,44814,1466,1236,2284,4862,669809,F
513952673,2842,344,213150,1466,3298,1370,5551,669418,T
