userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
404809801,4940,62,1052220,612,9225,2029,5836,187397,T
026318644,1913,5,126258,502,10853,2029,7804,187973,T
208942297,17,18,1598,2493,2795,1014,5035,187887,T
104545937,12,1,2448,441,5426,507,7783,187881,T
078876446,4999,63,564887,511,3617,1522,10168,187355,T
493062198,2073,16,279855,589,16773,507,6007,186973,T
403625870,4725,71,996975,741,13179,2029,5048,187022,F
557496922,4995,45,259740,772,1882,1014,10808,187780,T
718458825,3041,146,349715,383,3690,1014,5371,187585,T
228335670,4934,37,621684,1346,6833,2029,7784,187137,T
117475380,5023,41,1120129,1013,2635,507,5808,187133,T
824581975,2064,3,324048,427,2976,1522,10942,187158,T
831981833,3056,152,675376,372,11532,507,10834,187888,T
617891383,1930,7,196860,462,20501,1014,5937,187630,T
792741957,100,6,23200,1153,2250,507,8273,187845,F
513134956,3038,150,300762,488,2196,507,7970,187200,T
705284881,4954,39,921444,369,9225,507,7739,187539,T
217669782,4928,48,1005312,2170,2493,1522,8234,187849,T
875065419,5009,45,235423,1131,4100,507,10540,187836,T
558118542,4964,72,590716,1577,9711,507,10246,187476,T
621807905,1998,16,219780,427,30752,2029,5971,187645,T
785855181,1978,2,470764,479,11532,507,8606,187590,T
410335657,3020,147,407700,407,3127,507,5097,187649,T
294859964,3077,141,566168,2335,3075,507,10665,187180,T
090292328,1915,2,101495,1922,4290,2537,10710,187142,T
543986733,4924,64,507172,941,16773,2029,8429,187661,T
450992458,5004,56,850680,673,6833,1014,7927,187008,T
144774446,2008,20,124496,862,7380,1014,10923,187624,T
559391573,2047,12,61410,647,10853,2537,8267,187659,T
130266220,105,1,20895,723,2427,507,7999,187533,F
477027756,92,7,19596,604,4393,507,7619,186989,F
209796504,2026,1,176262,485,5125,507,5252,187506,T
221214784,4908,38,1212276,562,5125,507,10293,187324,T
622597274,1900,1,26600,508,2170,1014,5067,187848,T
087100185,1887,15,443445,380,4855,507,5807,187451,T
393339093,2063,23,57764,530,2196,2537,5058,187949,T
399016547,3080,139,36960,1376,3617,507,7566,187520,T
320885523,1915,22,126390,464,1984,1014,5190,187173,T
246392999,2,1,478,1708,8786,507,8268,187853,T
358910808,2964,169,655044,744,3294,507,5147,187316,T
353508471,9,1,1836,827,2073,507,10763,187627,F
857674202,2970,173,439560,651,1922,507,10622,187727,T
239878923,2032,11,71120,608,4731,2537,8052,187024,T
114728691,2082,1,360186,511,3617,1522,10563,187215,T
537488576,4907,57,790027,2170,1942,507,5378,187244,T
987735674,1937,1,143338,1048,2928,1014,8399,187601,T
920964400,4916,56,368700,386,2277,1522,5322,186983,T
236120622,4913,58,1125077,2335,3416,1522,5703,187117,T
032051002,1956,1,215160,409,30752,1014,5199,187316,T
806056662,2004,1,274548,478,2073,1014,10230,187117,T
810001701,2022,2,222420,997,7688,2029,10768,187085,T
930892139,1948,1,338952,615,2170,507,10365,187523,T
164856705,1894,1,200764,908,11532,2537,5542,187414,T
030691643,3022,178,649730,717,23064,507,7726,187901,T
895174879,2076,1,390288,717,2073,507,5539,187116,T
879899519,1973,29,418276,467,23064,1522,10100,187707,T
392576232,4922,45,570952,1692,2795,1522,10686,187266,T
813385559,4978,72,706876,1740,12300,1014,5317,187703,T
537008530,4993,67,1013579,606,8786,507,5227,187212,T
890386739,2075,1,309175,490,2460,2029,8050,187745,T
351497696,5018,72,426530,992,3127,507,11030,187889,T
689896242,2022,9,331608,407,2635,1522,8231,187085,T
880414887,4931,45,788960,522,2027,1014,10181,187461,T
066890704,2985,170,402975,411,8786,1014,7650,187020,T
821685457,4951,41,1089220,870,1922,1522,5568,187916,T
386729527,2951,152,280345,422,4393,1014,5987,186982,T
958037325,5024,60,874176,530,4290,1522,5159,187837,T
653335063,4965,46,357480,986,7688,1014,5248,187343,T
184530936,5004,48,960768,997,1863,507,10805,187963,T
034942790,4892,41,317980,1198,1863,1014,5744,187801,T
378709699,4947,50,504594,1397,20501,2029,10377,187115,T
174009604,4880,69,1005280,476,5271,507,7608,186998,T
399450242,2017,29,159343,834,15376,2537,8153,187706,T
798182398,5030,58,694140,525,3765,507,7799,187040,T
482186685,1915,29,30640,582,3690,2029,5479,187593,T
735883319,4957,39,500657,470,23064,1522,8026,187569,T
428209500,6,8,162,1902,4855,507,5712,187937,T
592215639,4844,46,765352,1902,2928,1522,5051,187064,T
856612895,4885,49,600855,802,8786,1014,5192,187720,T
165776169,1964,17,347628,419,8786,2029,10692,187234,T
584313782,1989,1,248625,1060,7096,2029,5498,187594,T
528232575,3002,145,729486,636,2460,1014,5648,187972,T
417680409,1900,1,355300,831,10853,2029,8436,186984,T
043495761,1909,28,425707,1882,5125,2537,6019,187939,T
502964119,3063,156,450261,417,3127,507,5054,187629,T
068386486,4910,56,1193130,506,4855,1014,8097,186997,T
330054423,1989,7,143208,484,11532,507,5341,187876,T
789625963,2017,1,488114,629,2073,2537,8373,187466,T
558936478,4916,43,231052,961,3181,1522,5632,187711,T
099418356,1909,11,118358,439,4612,2029,7590,186977,T
509358346,4943,44,1191263,1079,3690,1014,8541,187447,T
158079134,1926,1,242676,931,4612,1014,10863,187606,T
499392826,2071,15,459762,1198,2753,507,7669,187381,T
777265410,1910,3,376270,379,2096,2029,7940,187189,T
247308782,5,20,420,1263,2713,507,10489,187131,F
618585368,3043,172,581213,436,3481,1014,5838,187688,T
651431567,1984,1,65472,602,3294,2537,8297,187559,T
553343265,1931,20,434475,549,2027,2029,5661,187452,T
315847390,4701,51,869685,2116,22886,2114,4852,894787,T
863831658,2946,167,677580,595,8786,507,5786,187771,T
677584903,5028,74,663696,1984,9711,1014,5404,187727,T
301750321,3076,167,387576,701,2493,507,10586,187229,T
964045394,3002,164,435290,498,2120,507,7892,187652,T
700194133,3047,176,265089,542,3024,1014,5906,187762,T
294695788,4928,50,822976,409,11532,1014,5195,187869,T
820011709,1963,1,180596,1845,3617,1522,5377,187612,T
462369189,1922,7,67270,369,6833,1522,5185,187683,T
322544845,1890,25,226800,1677,7688,2029,5898,187028,T
415026016,4936,56,533088,1771,9519,922,4449,544680,F
601434904,2004,1,174348,2170,2365,1522,10133,187608,T
242727971,10,1,1240,831,2005,1014,5099,187976,T
270431078,2971,149,415940,1647,1984,1014,5650,187659,T
490880368,3026,143,429692,371,6833,1014,5833,187104,T
402821772,5023,66,411886,440,18451,1522,10156,187258,T
757582908,2061,14,195795,409,2635,1014,5174,187286,T
905919108,5030,68,1182050,389,36902,507,5168,187956,T
181201916,1981,1,51506,606,3127,1014,10332,187771,T
382253562,2019,2,72684,1263,2460,1014,10794,187040,T
722499664,3,16,288,522,3548,507,10806,187329,F
119161720,1982,1,59460,693,2145,507,10346,187590,T
993141851,5023,76,346587,2335,9711,507,10826,187880,T
209089504,2968,138,667800,1387,4393,507,5503,187662,T
951539800,1994,3,115652,574,2883,2537,5876,187322,T
834167048,1884,1,339120,410,1922,2537,10674,187316,T
121706216,1940,12,409340,1577,5952,2537,7906,187091,T
270619627,2038,9,317928,891,18451,1014,10316,186995,T
608219368,1970,1,165480,788,3925,507,7722,187010,T
132625686,3091,151,649110,1524,3844,1014,5780,187586,T
439200813,3013,158,316365,522,8386,507,10657,187406,T
475179603,2077,26,236778,997,1922,2029,10500,187901,T
346985369,2080,23,413920,498,2562,507,5184,187450,T
244181941,2058,15,460992,392,3690,507,5599,187839,T
494892533,4973,60,815572,642,3690,1014,7809,187613,T
379370072,4912,69,766272,1290,2120,1014,10535,187710,T
226158395,4889,76,655126,393,2562,1014,6020,187182,T
519718721,2072,5,196840,1590,11532,507,11053,187884,T
406933914,101,12,20705,434,2223,1014,5281,187590,F
602579000,18,1,972,759,1984,507,7583,187732,T
249193942,4960,51,654720,904,2335,1014,7956,187687,T
078784618,1926,15,260010,525,1863,1522,5554,187228,T
897574160,2960,150,642320,1337,4290,507,5347,187429,T
236113541,103,1,2472,675,6589,507,7911,187845,F
176257574,1909,1,114540,448,2753,1522,8381,187108,T
327067666,11,1,2717,961,2277,1014,7856,187670,T
816933468,1893,25,276378,467,4731,1014,7772,187927,T
825194164,9,1,126,666,3690,507,5361,187970,T
514215040,4882,50,551666,602,2795,1014,7805,187158,T
827166209,1959,10,131253,1550,14193,2537,10100,187856,T
462838230,1971,1,262143,502,2196,1014,11047,187757,T
577341028,2078,13,284686,415,3237,507,10308,186993,T
205067087,1943,9,213730,542,23064,507,5123,187141,T
614033765,1951,24,343376,981,2562,507,7937,186988,T
933462691,4738,55,1089740,420,15376,2029,5111,187018,F
217008572,4903,36,1049242,2365,4193,1014,8607,187737,T
955873886,2061,1,352431,524,5426,507,10407,187215,T
575693986,2020,1,500960,564,4500,1014,10943,187088,T
174620559,2000,20,234000,498,4855,507,8353,187934,T
994675543,2993,166,356167,1111,2883,1014,5112,187277,T
529521052,1971,21,234549,573,2050,2537,7928,187246,T
359081021,1920,10,326400,390,5952,1522,10711,187717,T
218396145,4837,45,827127,1356,4100,507,5426,187496,T
497506497,1924,19,415584,1054,30752,2029,7634,187257,T
564652443,2017,25,171445,557,3548,2029,5256,187200,T
652598423,1969,14,395769,1512,4393,1522,8296,187448,T
164985091,7,1,658,443,23064,507,8604,187636,T
346226356,4866,70,963468,454,10250,507,10902,187394,T
756523028,4848,57,586608,1290,4290,2029,8596,187286,T
274783492,1937,1,168519,490,4011,1014,8143,187607,T
447535829,4884,61,639804,541,5125,2029,5290,187456,T
411124946,1884,17,58404,525,2250,1522,8355,187890,T
039984292,11,9,2035,981,1942,507,7717,187229,T
492858958,4690,54,1139670,1167,18451,2537,10815,186972,F
344907442,1976,23,37544,408,10250,507,5679,187631,T
831343356,2042,2,149066,627,1845,2537,10634,187271,T
871187999,4985,55,1081745,726,4193,1522,7932,187737,T
380893875,71,2,8165,768,36902,507,10725,187201,F
859533127,3100,151,570400,402,2096,507,8494,187640,T
994314532,4956,58,84252,1397,9711,507,5447,187195,T
244078935,2028,1,322452,1160,16773,2537,11030,187450,T
264737068,4965,54,1077405,504,2005,1014,8595,187772,T
327406526,9,1,1197,420,13179,507,11123,187147,T
437872327,2069,1,386903,429,5271,2029,10125,187972,T
126327172,1896,26,255960,468,2753,1014,11032,187846,T
571235423,2968,146,605472,525,2562,507,7680,187012,T
306697101,5023,45,135621,1441,2460,1522,5261,187787,T
297644276,1912,20,195024,640,5125,2537,7665,187607,T
176568490,3029,142,205972,2073,10250,507,8056,187692,T
616095287,3021,140,462213,471,2598,507,8521,187173,T
892295345,5014,45,441232,640,12300,1522,10951,187171,T
073466793,3112,164,351656,373,3481,1014,5812,187273,T
907048782,5004,67,735588,2145,1984,2029,8034,187056,T
560745292,1981,11,23772,531,1863,2029,7867,187404,T
948819988,2994,170,47904,494,5426,507,7909,187633,T
020405660,2080,10,272480,500,2928,507,5899,187504,T
963359972,1930,16,185280,451,6589,2537,10397,186977,T
172623774,1977,23,460641,475,4612,1522,8216,187119,T
585164867,3058,157,88682,1922,13179,1014,5880,187402,T
385213815,75,13,6975,866,2427,1014,5155,187061,F
843460688,80,15,14960,490,11532,1014,5998,187440,F
974607106,4987,56,1226802,423,12300,507,8479,187953,T
646836758,2012,2,68408,576,2277,1014,11136,187124,T
694646145,4673,46,808429,951,18451,2537,5820,187349,F
447838541,2,1,64,537,1902,1014,5438,187705,T
021850627,4788,63,584136,846,26358,2537,5156,187827,F
418842990,1977,1,90942,402,4612,1522,5325,187966,T
041933389,2968,147,474880,377,2196,507,8608,187826,T
221318287,1999,1,147926,1048,3127,507,8354,187266,T
464108558,3034,147,354978,1146,14193,1014,11067,187555,T
693369159,11,1,110,5,1,593,494,989,T
631583502,1965,1,261345,542,4612,2537,5994,187283,T
797651819,2051,1,262528,2635,1863,1014,10708,187622,T
187528929,1970,1,295500,443,6362,1522,5316,187451,T
532419098,4980,74,801780,410,3416,507,10483,187223,T
091407118,4945,58,553840,405,2223,1014,8464,187851,T
984186095,3107,165,565474,1942,2753,507,10660,187933,T
123271958,2072,1,348096,421,2976,2029,10386,187167,T
313129790,5009,73,535963,490,2073,1014,5634,187837,T
798875923,1911,1,405132,2598,2335,507,7971,187689,T
717820983,2018,8,42378,1272,2145,1522,5996,187121,T
322724504,4932,74,897624,494,5125,507,8590,187152,T
845897186,5007,73,320448,378,18451,507,5535,187240,T
505603518,5027,41,834482,369,2674,1014,7593,187428,T
196903564,1887,1,335886,1863,3844,507,10906,187689,T
095282286,1938,13,236436,393,3237,2029,10225,187519,T
207045620,1967,30,208502,747,7096,2029,8115,187528,T
451193404,1995,1,283290,464,26358,507,5344,187866,T
107329750,2048,22,489472,452,2493,1522,5812,187439,T
105858283,1899,1,36081,525,3548,2537,8411,187876,T
831668027,3003,154,180180,1255,4100,1014,10740,187880,T
663075770,4839,36,658104,436,23064,1522,7600,187069,T
698849183,2073,6,464352,827,2250,2029,11035,187005,T
029020994,1903,15,473847,1692,4193,1014,8552,187131,T
038132490,3077,158,710787,587,4855,507,10685,187668,T
700544609,2048,1,153600,862,2005,507,5037,187394,T
920096316,1925,1,340725,457,3294,507,8015,187029,T
382589380,2974,156,568034,704,5766,1014,5670,187542,T
991377794,1977,20,318297,385,10250,507,5208,187818,T
245729728,1957,28,115463,537,4855,2537,10549,187099,T
740867270,4865,37,535150,1577,3925,1014,5470,187629,T
700706629,5012,70,771848,1131,2460,1014,10198,187259,T
494018846,2937,167,390621,961,2795,507,5464,187970,T
632178688,56,1,11312,2005,1922,1014,5227,187262,F
079737665,1915,18,68940,456,6150,507,5170,187517,T
030115165,11,1,2739,516,1882,1014,7974,187656,F
804839728,5004,70,410328,560,13179,507,5817,187632,T
675255018,2055,1,168510,597,3416,507,5241,187075,T
720547723,93,9,3813,534,1882,507,5112,187419,F
250843050,4917,67,540870,1111,6833,1014,5160,187319,T
569232934,4965,76,1166775,820,2838,507,8258,187083,T
124337973,4844,38,339080,602,2795,1522,5087,187645,T
422052359,2923,176,391682,634,2396,507,5548,187101,T
863429981,2005,11,24060,1376,3481,1522,7648,187896,T
633839346,97,1,4171,732,2145,1014,5059,187838,F
293776205,4946,49,128596,1397,4500,507,10126,187025,T
982524823,3061,175,220392,1563,2096,1014,5811,187797,T
533889218,1954,25,484592,827,4612,507,10138,187683,T
576413098,2011,1,187023,874,3127,2029,11099,187109,T
539362278,4971,76,268434,1054,3416,507,7997,187804,T
130011597,1935,18,342495,1085,1882,1522,5981,187515,T
154107570,6,1,1428,391,12300,1014,5480,187860,T
088208714,4933,56,562362,1308,4290,1522,5054,187463,T
900277584,1904,22,68544,946,2635,1014,8129,187845,T
871391809,3113,144,56034,941,5426,507,8486,187116,T
170571658,2044,7,147168,580,4100,507,7738,187319,T
068646324,2979,155,726876,1085,5766,1522,5840,187662,T
155121404,3004,164,585780,518,10250,1014,5524,187720,T
699544466,1902,27,443166,426,3416,1014,8608,187059,T
414289506,1971,16,427707,1984,6150,2029,7662,187090,T
777756563,2022,1,321498,513,2335,1522,7711,187288,T
346889702,4994,51,1233518,591,3181,507,8484,187431,T
014057104,1941,1,370731,610,5271,507,5188,187360,T
148022232,2049,1,92205,1175,4500,1014,10737,187751,T
448554375,4971,69,129246,1387,9225,507,5944,187930,T
231597214,3051,138,320355,1962,10853,507,10901,186997,T
607950120,2029,5,206958,402,2365,2029,10900,186971,T
495369237,3013,175,232001,1677,2838,507,10756,187810,T
530980683,1944,8,77760,542,2396,2029,10629,187190,T
953569724,4891,62,200531,381,7688,1014,5170,187874,T
990005069,2079,1,114345,591,2277,1014,11117,187185,T
748026789,2953,153,348454,2073,4100,507,6016,187598,T
756983267,2082,7,397662,405,2096,1522,7831,187493,T
274782924,8,1,920,1025,6589,1014,5513,187410,T
770125965,1906,1,436474,545,2976,507,8074,187920,T
954005526,3011,151,686508,486,2120,507,10741,187544,T
512805556,2000,30,412000,386,1845,1014,5556,187270,T
679221844,10,1,1280,382,6833,1014,5339,187425,T
393407212,1998,23,353646,1962,16773,507,10234,187144,T
613696255,2065,11,351050,591,18451,1014,5971,187686,T
425399862,3028,169,136260,1476,8386,507,10953,187115,T
844190227,2003,8,222333,693,2635,2029,11022,187387,T
871828041,3024,146,272160,1230,2196,1014,7868,187170,T
615236492,2020,29,357540,555,3354,507,10895,187231,T
253909213,7,18,1225,913,2753,507,10540,187645,F
385045614,4988,51,324220,610,2753,1522,5864,187962,T
310812002,1992,2,177288,778,2073,507,5411,187885,T
511265419,4946,68,306652,1808,3024,1522,5457,187037,T
709318441,2036,1,350192,753,36902,2029,5509,187133,T
807984821,1885,17,90480,2096,2460,1014,7983,187280,T
664086766,1965,23,391035,500,1984,2537,5129,186994,T
927946570,1953,1,431613,549,2335,2537,10972,187055,T
640870346,1884,6,154488,392,2250,507,6000,187250,T
796550426,2063,28,262001,1272,2277,1014,8457,187268,T
150598061,4912,36,1002048,525,3354,1014,8090,186989,T
642297954,1892,19,162712,573,6589,2537,11059,187749,T
