userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
217496842,1953,41,189441,369,891,2537,10773,187665,T
969549211,124,13,7316,369,488,507,10787,187553,F
720429944,4898,102,269390,369,1452,1014,5061,187186,T
459970482,53,1,5194,369,15376,507,8335,187549,F
187310577,4920,77,201720,369,492,1014,5639,187930,T
971742577,12,1,456,369,542,1014,8272,187727,F
032943739,1990,53,101490,369,2027,2029,7612,187619,T
941106118,76,27,3496,369,585,507,5699,187874,F
922968841,1994,12,109670,369,1537,507,5762,187457,T
557578237,48,1,3936,369,1452,1014,10615,187784,F
212368062,20,48,1080,369,1476,507,5125,187240,T
038566297,183,2,4026,369,445,1014,5943,187134,F
590319386,3,49,225,369,445,1014,7866,187470,F
241126081,4905,90,338445,369,440,507,7711,187103,T
991824864,3193,189,172422,369,2335,507,5459,187340,T
524325983,47,1,4653,369,486,1014,10701,187733,F
561968097,70,1,6650,369,715,1014,8042,187923,F
964439441,4939,95,103719,369,704,507,5301,187562,T
297096426,4899,51,455607,369,1537,1014,10795,187375,T
697076818,196,1,9800,369,1962,507,5050,187880,F
338591883,2152,7,180768,369,417,2537,11032,187463,T
938670695,106,39,4028,369,501,507,5980,187374,F
889331501,2085,10,164715,369,2073,1014,10574,187847,T
496651792,128,7,8704,369,3024,507,10911,187059,F
636934392,1923,54,48075,369,2635,2537,11094,187313,T
806920699,204,36,16728,369,1308,1014,5927,187266,F
406252615,1910,41,189090,369,720,2029,10665,187538,T
647660430,20,27,420,369,549,507,8472,187633,F
670232742,102,1,3060,369,638,507,5993,187542,F
081297308,4991,49,429226,369,485,507,10990,187075,T
145601605,4871,100,345841,369,416,507,5953,187850,T
028709545,17,1,765,369,383,1014,7714,187944,F
087792782,2169,1,199548,369,1160,2537,11044,187346,T
582779256,74,9,3626,369,424,507,10723,187602,F
271136206,2064,32,163056,369,389,2537,5948,187860,T
851183164,66,3,1518,369,765,507,8368,187118,F
792621715,11,20,902,369,486,507,10099,187270,F
159021468,2101,1,54626,369,805,507,10161,187773,T
629057238,2095,25,113130,369,524,2029,10473,187197,T
292524126,7,48,301,369,369,507,8093,187745,F
512748178,3023,170,223702,369,585,507,5129,187827,T
486797643,176,7,9152,369,378,1014,5789,187545,F
732533103,4947,78,207774,369,3690,507,5075,187965,T
489250453,29,26,1044,369,1647,507,8249,187582,F
600130883,4866,37,384414,369,1563,1014,5362,187884,T
949108057,157,43,8478,369,4290,507,8340,187144,F
318533225,2036,39,156772,369,392,507,10420,187685,T
635748056,60,1,3240,369,723,507,5744,187304,F
686363059,4925,86,448175,369,891,1014,10919,187921,T
211624362,145,6,9570,369,693,1014,5072,187396,F
402172557,2087,60,93915,369,4100,2537,10388,187325,T
056745453,160,1,4320,369,527,1014,10127,187148,F
196454523,2054,54,145834,369,756,2537,5460,187229,T
111360302,201,40,19899,369,463,507,10833,187079,F
208776680,2154,1,107700,369,583,2537,8360,187082,T
046151884,5,1,235,369,691,1014,8241,187796,F
686892124,57,28,2451,369,862,1014,5632,187142,F
575335950,2094,13,198930,369,2145,507,10605,187441,T
443293651,2063,36,156788,369,377,1522,10890,187159,T
237996775,203,34,20097,369,562,507,10294,187002,F
611495611,2158,1,202852,369,20501,507,5955,187922,T
654972953,152,41,14440,369,484,507,8160,187718,F
485641964,1895,1,113700,369,1036,1522,7668,187521,T
191511207,6,1,156,369,1476,1014,8283,187366,F
699300392,2133,14,106650,369,2027,507,8262,187104,T
065093947,136,1,5032,369,1205,1014,5376,187001,F
009435365,174,40,11310,369,1255,507,10267,187635,F
769994481,2010,10,40200,369,1452,1522,5265,187881,T
335003007,2151,8,68832,369,436,1522,5170,187085,T
584490705,6,3,438,369,1299,1014,10798,187869,F
766204123,47,11,3713,369,656,507,5621,187158,F
472136245,3180,185,273480,369,627,507,10117,187338,T
285073029,2050,1,110700,369,785,1522,8149,187798,T
990282714,200,1,8400,369,376,1014,5407,187662,F
359500834,2109,34,139194,369,629,1014,7762,187896,T
322938334,16,1,608,369,1290,507,8301,187608,F
343473647,63,45,5607,369,400,1014,5361,187428,F
121783755,1911,17,175812,369,492,507,7754,187283,T
280802160,2142,1,102816,369,377,1522,5847,187864,T
839719087,91,1,4823,369,394,1522,5543,187045,F
928208065,1898,10,96798,369,1845,1522,10299,187571,T
118845397,148,23,10952,369,2598,507,5966,187005,F
775188948,1920,1,167040,369,597,1014,10225,187958,T
913500924,82,12,6970,369,377,507,10732,187371,F
191433338,3017,207,238343,369,2635,1014,5252,187120,T
405756819,128,47,8832,369,772,507,10372,187857,F
541355205,2112,29,54912,369,432,2537,5071,187700,T
306374503,47,1,2350,369,651,1014,7658,187446,F
049659541,15,29,795,369,484,1014,7690,187206,F
330004809,2134,1,147246,369,1048,1014,7882,187472,T
364724387,3135,182,313500,369,1085,507,8569,187896,T
062478022,188,49,3948,369,1604,507,10623,187909,F
196225054,2025,52,149850,369,431,507,7742,187092,T
394811344,125,20,6625,369,723,1014,5838,187573,F
679245625,2012,25,92552,369,604,1014,10769,187291,T
965850705,132,1,7392,369,1647,507,7902,187050,F
390946623,2113,1,194396,369,701,1014,5577,187788,T
730411343,89,1,6942,369,554,507,5584,187957,F
242911528,1963,2,166855,369,386,2537,8420,187238,T
512561567,185,25,15540,369,587,507,5166,187128,F
