userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
103941681,2087,106,400704,1655,12638,997,8397,414985,T
064367074,1971,115,161622,1634,4988,1495,7788,415340,T
573419280,3246,41,408996,1068,8817,498,10289,414469,F
554136619,4522,42,54264,1516,7737,997,5220,414921,T
244070473,2268,3,303912,758,4860,1495,10313,414539,T
564745447,4954,29,772824,762,27082,1495,8025,414892,T
249166220,4968,35,213624,1268,6018,1994,8283,414504,T
315196516,4497,44,1020819,1599,8817,1495,10748,415331,T
491012744,4621,63,656182,1095,7291,498,10685,415353,F
191909559,4459,75,494949,1056,16484,498,7528,415121,F
276259167,3094,71,587860,1378,6115,498,5469,415094,F
086864013,4996,30,1194044,5055,6319,1495,8133,415296,T
102093572,2125,9,257125,1469,3829,997,5964,414769,T
530648862,3165,74,148755,3415,9977,1495,9943,414448,T
091081576,2070,25,136620,826,6018,1495,10516,414441,T
226709070,4577,58,100694,3355,3829,1495,7983,414617,T
475858006,4961,48,947551,5340,29165,2492,10508,415209,T
419464030,4529,65,887684,1131,18957,997,7451,415002,F
882920018,2046,140,151404,781,14582,1495,8143,414839,T
217086891,2255,1,133045,1458,4076,1495,5258,414881,T
412851871,4604,62,626144,857,5575,997,8002,415168,F
997556551,4974,50,353154,1021,4408,498,10199,415090,T
805021497,2255,1,437470,765,5744,498,5650,415170,T
884230663,3209,55,564784,2829,5265,1495,10086,415434,F
156570313,1978,115,31648,2596,3949,997,10731,414725,T
962210815,2103,13,218712,776,7021,498,7539,415136,T
472728677,2211,1,66330,2767,12638,1994,5855,414454,T
324605165,2181,1,285711,1092,7582,498,7855,414983,T
682955077,4995,30,1233765,4408,17234,1495,10594,414610,T
221588429,2079,1,322245,4860,75829,498,5936,414967,T
893773788,1920,134,468480,911,4680,1994,8348,414447,T
483225825,4986,43,1057032,791,23696,1495,5927,415049,T
018213442,2096,120,115280,898,4513,1495,10253,414731,T
765634668,4956,31,446040,1593,54164,1994,7891,414925,T
936970451,1981,105,142632,3645,54164,997,10298,414529,T
191038274,4882,50,1044748,1528,5055,2492,10770,415196,T
341888283,2262,2,65598,1016,6319,498,10247,415241,T
733748649,2203,19,416367,2688,22302,498,7721,415146,T
231512734,4911,39,260283,1886,11848,2492,5249,414991,T
713264312,4515,43,1047480,1648,7582,997,5757,414902,T
453648208,3062,68,189844,846,9247,498,10801,415119,F
979967390,4851,17,426888,4076,4924,1994,10638,414820,T
956541193,2136,20,393024,920,4623,997,10857,414946,T
919868137,4638,72,909048,2166,6215,997,5336,415022,T
694977782,4573,58,576198,1599,15797,997,10794,415397,T
488826758,2105,21,482045,4308,9027,498,10021,415017,T
440458412,4487,64,865991,824,4513,498,8103,415433,F
527139383,4931,24,1030579,762,6319,2492,5262,415028,T
415326915,1927,132,152233,922,4408,2492,5838,414482,T
137881909,1999,113,189905,969,10832,1994,7515,415064,T
266660612,4483,75,327259,979,5055,498,8168,414903,F
996632778,4824,22,612648,829,29165,997,7509,415410,T
800296827,1961,132,319643,3949,5193,997,10321,414725,T
228612272,4617,73,461700,1780,6115,498,10959,414711,T
894268666,3085,58,505940,1311,6537,1495,10686,415299,F
856365645,2226,1,204792,1606,4924,1994,10680,415419,T
038679063,4946,24,291814,4739,8066,1994,5651,414693,T
282913805,3105,66,577530,5416,4988,1994,10156,415013,T
593142866,2000,138,110000,887,8817,1994,7724,415390,T
473854013,4966,51,471770,827,7021,1994,5226,414898,T
268848886,4975,30,1223850,927,34468,2492,5276,414663,T
706215169,2027,143,154052,2094,3991,1994,7467,415356,T
679989303,2073,29,31095,1118,4460,1495,10001,414454,T
379141011,4462,65,232024,1692,11489,498,8398,414502,T
396942980,2256,27,284256,1307,63191,498,7515,414570,T
553510537,2090,107,177650,1159,4212,498,10027,414597,T
668642143,4949,37,717605,894,6893,1994,5843,415113,T
988865731,2072,10,445480,4212,3791,1994,8195,415409,T
666782514,1904,114,462672,904,3829,1495,8245,415087,T
589298301,4545,48,918090,4988,4799,997,9992,414833,T
568909554,1956,141,97800,781,7434,997,10674,414841,T
511280258,2074,126,120292,1163,6018,1495,10186,414639,T
280144755,1966,105,57014,1593,9247,498,10464,414772,T
057263575,2080,1,332800,4568,15165,1495,10632,415410,T
041647611,4608,62,677376,1011,7021,1495,9989,414808,F
961379300,4865,36,476770,911,6319,2492,10039,414919,T
400277502,4939,31,1116214,2083,5055,1994,10302,415444,T
981184310,4579,46,824220,1111,8617,997,8305,415162,F
969763495,3167,59,171018,947,14582,498,10524,415368,F
701478334,2231,25,457355,924,5744,498,5559,415113,T
673543555,3062,60,195968,5340,10832,1495,5582,415051,T
572401707,4917,22,698214,1409,25276,997,7636,415291,T
681957499,4499,54,391413,3133,6115,1495,8304,414598,T
955545885,4889,33,73335,1111,9247,1994,5749,415126,T
320635067,2103,9,376437,940,4924,498,10184,415324,T
066496785,4506,73,500166,2579,6115,498,7481,414681,T
747832439,2148,1,161100,1436,14582,997,8326,415112,T
242303755,1274,2,45864,857,7737,997,10068,414848,T
061952490,1250,2,63750,775,6215,997,8457,415038,T
296169085,4159,32,848436,3868,9478,1495,5740,414857,T
928701913,2103,1,31545,1203,9247,997,5815,414510,T
165998240,3138,60,511494,1641,5575,498,7500,415202,F
441976001,1999,110,121939,3213,6018,1994,9960,415255,T
511146536,2055,136,345240,933,4568,498,7526,415250,T
256695186,5017,52,471598,3991,3949,2492,8405,415184,T
210483649,2172,1,221544,1038,13074,1495,8424,415249,T
005554988,4465,77,473290,1606,6215,997,7859,415074,T
786922514,4028,51,914356,1268,16484,1495,10596,415126,T
425965200,3180,55,397500,1005,4121,498,10408,414459,F
976393984,1943,107,116580,3296,10531,1994,5613,415303,T
457312537,2191,1,409717,2430,5833,997,10620,415348,T
232143287,4968,51,402408,2561,5055,1495,7452,415260,T
290856444,4907,52,402374,2060,11151,2492,5393,415272,T
589455102,2093,134,35581,959,63191,1495,10951,414925,T
892699898,2222,26,193314,2446,11848,1495,10390,414771,T
508309032,4617,63,664848,2106,15165,1495,10331,415021,T
013009308,1972,118,191284,1469,13074,1994,5112,415411,T
909464691,1984,120,51584,1573,14042,498,10470,414719,T
474050468,3109,54,562729,1974,75829,498,5277,414792,F
447899660,1994,124,95712,769,6770,997,8047,415362,T
203131099,4503,46,1085223,1354,9721,498,10935,415274,F
366100775,3099,70,486543,4121,5744,498,5879,414870,T
171829354,3119,51,776631,1399,11848,498,7752,414904,F
481608940,1971,117,236520,822,13074,1495,10404,415092,T
865415026,3142,58,377040,929,6426,997,8298,414820,F
649755760,2166,10,162450,2544,5340,997,10782,414977,T
426727824,3145,60,481185,1447,6319,498,10175,415161,F
656122433,5009,39,1031854,1152,10832,1994,5481,414787,T
766220346,4901,21,347971,1173,6319,1495,5431,415277,T
223468485,1949,124,136430,1504,6115,1495,8168,414449,T
170070679,5010,33,220440,1294,29165,997,8066,415100,T
633650449,2127,21,501972,945,4460,997,8326,414451,T
368677517,2101,114,180686,1566,13541,1994,10713,414717,T
105804385,2202,1,178362,1125,6215,997,4952,415296,T
056725233,1907,135,379493,1053,15797,1495,10531,415435,T
162121594,2117,31,400113,822,29165,498,10680,414879,T
760749096,2063,112,266127,778,4799,1495,8437,414500,T
831802699,4194,35,897516,2326,5494,1495,8000,414459,T
413413471,1928,133,262208,974,4408,1994,7482,414513,T
095992013,4935,20,69090,2985,54164,498,9933,414968,T
659109288,2083,1,258292,5416,4408,997,7870,415018,T
790461872,1340,6,14740,947,3829,997,5354,414759,T
075876545,1940,133,197880,846,4568,498,10841,415021,T
988355115,4967,35,1221882,936,5494,1994,10152,415241,T
705293554,4546,78,904654,1325,19955,997,10838,415062,F
811380391,2235,1,69285,885,5340,997,5947,414950,T
294853304,4591,70,367280,1510,9721,498,10611,414984,T
749489407,2240,3,266560,1641,5055,1495,10125,415337,T
936910174,3233,79,581940,3213,4623,997,10341,414953,T
016144706,4176,46,993888,1062,4033,1495,5306,414922,T
031269225,1906,138,131514,1924,14582,1495,8431,414816,T
320467290,2144,15,295872,772,5494,498,8285,414486,T
316561890,2167,15,346720,3415,7021,997,7617,415400,T
115403150,2078,139,332480,1251,4513,997,5677,414995,T
931846116,2044,130,410844,1535,15797,1495,10209,415123,T
446828344,1984,136,204352,1840,9721,1495,5779,414765,T
229211884,4826,13,323342,1311,31595,498,5716,414679,T
794698621,4617,75,877230,992,6319,1495,8425,415413,F
572187287,1975,111,349575,806,5924,1994,5983,414492,T
560215351,2087,135,323485,1516,6215,1994,10027,414571,T
718871422,2264,25,407520,1227,37914,498,10824,414585,T
414045651,2156,6,303996,1311,5924,1994,5354,415280,T
924027063,3092,55,330844,3186,75829,498,7806,415406,T
678925788,2182,26,111282,5265,8425,1994,10800,414636,T
822622856,3242,51,547898,1914,13541,498,7556,414941,F
050426538,2034,140,28476,4739,9247,1994,7935,415259,T
749998230,2246,25,476152,815,3791,997,5648,415191,T
569403229,2232,15,292392,1056,15165,498,8249,415308,T
588967425,4952,51,777464,829,29165,997,7686,415397,T
630909402,3240,44,670680,2414,4924,498,8161,414751,F
131074948,2101,112,502139,1325,4076,1994,7653,414818,T
541645086,2047,139,159666,950,7434,2492,10219,414743,T
712409463,4561,79,1085518,936,29165,997,7518,414607,F
529134081,2113,1,346532,836,3829,997,7884,415413,T
022748523,3185,59,334425,885,11848,498,7961,414927,F
065716616,2101,10,380281,781,18957,997,10249,415136,T
796865844,4920,32,669120,1354,9027,1994,5371,415080,T
181783924,2237,4,355683,1886,6215,1994,10516,414785,T
681666998,1980,132,481140,1420,11151,498,10487,415316,T
663425097,1972,142,280024,1363,4076,1495,10306,414489,T
648542346,4872,13,623616,1005,7153,2492,10253,415388,T
921490550,3188,41,612096,4212,7291,997,4960,414545,T
733419720,4939,34,1160665,2478,7582,2492,7565,414677,T
