userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
738636268,2309,3,110832,833,4166,1495,10396,414811,T
003675430,4749,84,218454,833,8066,498,5255,415252,F
996027365,2122,1,120954,833,9977,997,5249,414657,T
266901043,4569,77,383796,833,2217,498,7516,415376,F
747624080,4504,66,301768,833,865,498,10258,414709,F
434398827,4966,63,471770,833,943,1495,8213,414731,T
720212305,1934,114,96700,833,2027,1495,5250,415335,T
903018999,4462,50,138322,833,1251,997,7556,415016,F
886596066,4989,68,209538,833,4739,997,10593,415154,T
190401033,3242,86,282054,833,997,498,8044,414723,F
335735780,2115,40,86715,833,1796,498,10630,414937,T
322343819,3317,67,318432,833,1166,498,7487,415054,F
031383710,1928,138,44344,833,1516,1495,10519,415318,T
500351680,3329,73,266320,833,1302,498,7661,415038,F
723147647,4933,41,256516,833,1016,1495,10221,415408,T
439827832,3069,66,276210,833,11151,498,8161,415272,F
103628502,1400,1,61600,833,911,997,5150,414587,T
573890118,4475,78,196900,833,5055,498,5886,414466,F
384366939,4855,75,475790,833,1192,2492,5963,414550,T
737776784,4736,109,364672,833,931,997,10416,414939,F
494059963,5091,41,290187,833,2670,2492,8273,415349,T
798488041,4585,52,178815,833,1227,498,10361,415332,F
124287003,4672,61,383104,833,3057,498,10627,414903,F
842672885,4869,79,165546,833,1159,1495,10484,414940,T
870169143,4981,77,249050,833,1138,1495,5514,414952,T
128435310,4701,71,202143,833,1715,997,8423,414451,F
173951895,5033,74,503300,833,943,1994,9996,414664,T
544437996,4597,101,252835,833,2894,498,7753,414525,F
220245554,3274,77,81850,833,2962,498,10946,415114,F
333719750,4927,62,261131,833,952,2492,10137,415173,T
863963186,4469,104,348582,833,1243,997,5627,414618,F
017844204,2195,113,61460,833,2297,1994,10867,414569,T
077168402,2145,19,132990,833,3296,498,7976,414862,T
977786580,4519,68,388634,833,1593,997,7486,414470,F
352509601,4944,47,276864,833,2767,997,5942,414940,T
671905838,4622,59,305052,833,1115,997,10826,414755,F
682188108,4924,36,206808,833,1259,498,10687,414892,T
375214787,4675,61,359975,833,1914,997,10806,414785,F
830270219,5095,40,152850,833,3082,997,10771,415192,T
891372563,4683,105,154539,833,1102,498,7574,414754,F
232962663,2126,49,197718,833,1393,1495,7588,414799,T
864916461,4617,66,420147,833,947,997,7523,414862,F
084614825,4925,17,197000,833,817,1994,10583,414838,T
931255946,4732,80,307580,833,1321,997,10341,415429,F
131827542,3180,87,174900,833,1985,498,5199,414462,F
761431571,2303,1,193452,833,10531,498,5064,414728,T
446036341,2069,129,196555,833,1056,997,5164,415369,T
521556768,4579,109,320530,833,3645,498,7886,415215,F
997769991,2035,148,168905,833,1763,997,5425,414589,T
162956589,4471,60,125188,833,2154,498,5697,415433,F
426746476,4970,25,243530,833,3510,2492,5472,414574,T
900104150,4518,51,352404,833,6770,997,7760,414497,F
366014396,2338,55,121576,833,2060,498,10014,414752,T
408488503,4520,98,424880,833,885,498,5122,415144,F
524839001,2191,1,96404,833,2939,498,8285,414502,T
701580945,4629,78,124983,833,1302,997,4977,415245,F
980123950,1947,173,62304,833,1707,1495,7880,414554,T
219183465,4565,46,319550,833,1083,498,7829,414940,F
091148297,2253,61,186999,833,3510,1495,8044,415037,T
904427929,4738,101,198996,833,898,498,10236,414998,F
285092489,1959,119,127335,833,3355,997,5962,415215,T
432753308,3192,83,70224,833,2340,498,7863,414832,F
496980904,1218,37,35322,833,890,1495,8418,414603,T
816036784,3085,61,259140,833,19955,498,10375,414546,F
646007720,4492,104,139252,833,3791,498,5222,414594,F
562380910,2158,162,159692,833,1192,1495,8039,414762,T
970940952,4990,42,374250,833,1145,498,8228,415379,T
363969472,3170,71,228240,833,1188,997,10457,414912,F
108624349,4970,52,99400,833,822,1994,9956,414915,T
507824211,4567,93,328824,833,10832,997,8243,414987,F
652883649,5096,15,219128,833,1805,997,10733,415073,T
991618246,4499,73,287936,833,4121,997,7762,414948,F
856684689,1967,140,110152,833,1715,997,8476,415040,T
307105941,4624,77,379168,833,2462,498,8136,415336,F
496558380,2266,4,122364,833,7737,498,8314,415259,T
680941723,3285,97,233235,833,767,498,7803,415392,F
158450825,1942,152,89332,833,3610,2492,5054,414830,T
384868629,4612,95,456588,833,2297,498,10463,415063,F
799222123,3214,75,269976,833,2670,498,5393,415315,F
844087756,2045,135,145195,833,936,2492,7809,415101,T
580498016,5050,28,505000,833,1469,498,5600,414712,T
206684333,3197,88,211002,833,1522,498,10358,415292,F
847232776,4649,69,278940,833,827,498,8288,414520,F
236923733,2165,109,119075,833,1298,997,8329,415378,T
509077268,2008,148,80320,833,1155,997,10268,414809,T
010428347,3074,106,288956,833,1074,498,7953,414578,F
915365465,4921,38,191919,833,1321,2492,5432,415370,T
243024808,3114,61,84078,833,7434,498,8188,414783,F
571479404,2125,170,74375,833,3033,1994,5297,415394,T
130492877,3266,68,173098,833,1648,498,5667,415417,F
877995281,4853,60,383387,833,818,2492,4984,414953,T
009421839,4478,66,156730,833,3186,498,10108,414458,F
718730215,3118,52,311800,833,1849,997,10662,414859,F
396215419,1922,121,78802,833,1166,2492,10221,414866,T
497283197,2105,148,138930,833,3057,1994,10340,415378,T
762966236,3176,75,200088,833,8617,498,8285,415327,F
635633831,2156,175,153076,833,8066,498,7656,415036,T
141020942,4453,61,169214,833,1620,997,10137,414533,F
188164613,1265,5,41745,833,1788,1495,10907,414621,T
076540654,3197,51,246169,833,18054,498,5071,414883,F
