userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
922760403,1220,1,192760,1020,2330,1311,9427,224913,T
495808263,2532,30,574764,1110,3248,874,4996,224848,T
782816140,1226,1,82142,752,2896,1748,9076,225054,T
823630805,2423,17,445832,450,3402,874,6709,224751,T
388449188,4545,203,113625,734,8932,874,7348,224530,T
464522057,1194,1,218502,1211,3019,874,6593,224631,T
158905518,2490,43,209160,515,2977,437,7235,224548,T
761905184,4590,182,91800,1801,13398,437,8896,224306,T
378707570,4616,202,147712,1832,2381,874,4667,224527,T
358061696,4669,206,256795,2436,6699,1748,4689,225109,T
591121237,4619,201,581994,1001,2280,874,9602,224392,T
499007109,1372,27,333396,436,10718,1748,7548,224889,T
395961835,4570,173,319900,684,2256,874,7140,224470,T
216370246,2454,12,503070,651,2436,437,4933,225193,T
742339401,1200,1,73200,1040,3248,874,7487,224788,T
709655335,4676,209,715428,1158,4660,874,6713,224457,T
433589076,4699,181,1160653,2305,5359,1311,4501,224294,T
672988305,1186,1,217038,561,35728,874,7095,224272,T
155968927,1318,22,25042,1914,15312,874,4609,224941,T
887388054,1317,1,77703,435,2896,2185,9641,224426,T
387993955,1351,1,40530,2280,3828,1311,6890,224839,T
641552537,2563,24,43571,1468,2713,1748,4881,224259,T
469173500,4623,204,365217,480,5954,874,6672,224717,T
380995008,2534,38,187516,1165,2464,437,4589,224992,T
281327078,1232,24,142912,559,21436,437,7321,224331,T
635594836,2484,19,479412,471,5228,874,5048,224505,T
115965608,2557,45,97166,607,3572,1748,5090,225042,T
494454044,4717,190,646229,1611,3572,874,4433,224856,T
911342238,1286,10,234052,595,8574,2185,5093,224930,T
197583349,1281,1,96075,992,2896,874,7058,224298,T
581723673,4730,203,983840,555,3760,437,4859,224993,T
927872162,1309,1,264418,534,2896,874,9478,224655,T
177220676,4663,196,247139,450,2679,437,6624,224573,T
844682305,2490,17,268920,619,2552,437,6907,225123,T
612450890,4637,211,973770,1025,7656,2185,5080,224740,T
892405861,1360,1,31280,551,4561,874,7187,224234,T
183521676,1369,21,97199,746,2713,874,7237,224350,T
738805401,4599,183,818622,2041,2614,1311,5162,224390,T
081608554,4584,180,948888,573,16489,1311,6546,224918,T
623554346,1192,1,16688,1339,2330,2185,4326,224381,T
879630750,2554,10,143024,696,2305,874,4808,224352,T
977761772,4734,202,1145628,1564,4763,874,4591,224332,T
668886101,4686,196,1134012,431,9744,437,7023,224738,T
605038018,1249,11,192346,762,4466,2185,8786,224404,T
488994604,1321,20,89828,460,30624,2185,6761,224776,T
503281767,4623,202,873747,731,3349,2185,4783,224992,T
321976414,2568,43,118128,630,6124,437,9101,224619,T
093277290,1178,1,27094,616,8244,2185,5102,224736,T
407900824,1241,11,67014,992,2143,874,9007,224304,T
402930431,2555,32,217175,1045,6124,437,7524,224639,T
376171710,2411,22,347184,571,4561,437,6665,224477,T
251749391,1352,23,22984,689,3696,1748,4894,224585,T
112106221,1320,14,43560,447,3457,1311,6713,224193,T
845581939,4562,212,729920,1197,5954,437,9642,224444,T
848862059,1249,1,218575,678,5228,1311,9021,224426,T
145743330,1305,1,129195,432,3633,1311,4779,225141,T
629114851,1298,3,42834,649,6699,2185,6793,224974,T
655494950,1240,17,140120,2305,6915,1311,6647,224464,T
528608801,4665,173,550470,932,6699,874,9446,225171,T
211581417,2377,25,175898,479,3106,1311,4936,225028,T
067972481,1303,1,54726,448,19488,2185,6565,224641,T
421033429,2500,36,95000,577,9744,437,6516,224216,T
542131712,1296,1,66096,431,14291,437,8854,224283,T
350187315,1270,1,133350,534,2936,437,9341,224592,T
868317125,1310,15,235800,2305,3199,2185,9381,224812,T
071480516,1252,1,153996,912,8244,1311,8785,224535,T
167618459,2377,44,30901,736,3969,1311,4923,225001,T
947767499,1179,20,288855,597,2187,1748,8895,224291,T
295049510,2498,28,549560,480,2614,874,4951,224360,T
279822401,1242,1,270756,952,4044,1311,9129,225005,T
128514179,2484,30,330372,542,6915,437,7147,224610,T
675630708,4603,187,791716,546,4466,437,8749,224792,T
475525340,2548,13,66248,680,2521,1311,4571,224334,T
788926724,4615,181,595335,1082,3019,1311,7158,225140,T
880900763,2383,40,66724,1110,2492,874,7291,224816,T
049314497,2393,42,196226,665,5104,874,7409,224233,T
999937774,1313,1,199576,659,11282,1748,8811,224769,T
683315315,1333,1,134633,2614,3696,437,6964,225122,T
940839995,1246,1,203098,1728,12609,874,4873,224297,T
807005417,1220,23,236680,505,2355,1748,5065,225071,T
723620335,2551,33,178570,928,5228,874,5111,224216,T
759752165,1289,15,88941,1520,3402,874,6575,224632,T
091851463,1245,23,281370,1025,21436,1748,8903,224594,T
804905570,4551,187,263958,2977,2896,874,5163,225107,T
145213639,2511,5,291276,460,3062,874,7006,224272,T
119700079,2404,32,288480,1066,16489,437,6681,225174,T
019683297,1237,22,300591,449,4985,874,9205,224629,T
365246310,2469,41,585153,952,2646,874,5038,224202,T
568768661,2539,43,78709,582,19488,874,4691,225049,T
837957347,2536,38,453944,519,2280,437,9238,224220,T
334163293,4619,203,531185,1509,15312,437,7333,224476,T
775285637,1242,23,54648,556,23818,2185,6552,224263,T
454599331,2541,32,350658,1165,2280,437,4915,225101,T
703818283,1237,1,14844,830,8932,874,6756,224970,T
898093368,4616,189,1098608,564,3969,874,8874,224640,T
823626519,4567,197,812926,2233,4122,1748,4756,224249,T
211822704,4709,180,174233,2936,2492,1748,5244,224987,T
008658422,1219,1,165784,2748,12609,1748,8794,225101,T
217281410,1258,23,27676,621,4122,2185,7329,224533,T
238512481,1262,1,291522,473,4044,1311,5025,225074,T
173474799,1201,4,34829,731,5359,2185,9081,224569,T
095133955,2412,22,255672,1066,7939,874,4479,224930,T
333787947,2400,31,220800,1071,15312,437,4759,225112,T
089956047,4623,191,1067913,1587,8244,2185,6832,224936,T
153923526,4604,188,750452,1587,4466,2185,5197,224505,T
923988477,1354,15,36558,2977,7939,1748,4588,224931,T
935989429,1223,16,177335,928,23818,1311,6546,224336,T
691545901,2425,39,315250,1253,3349,1311,5316,225021,T
106831360,1271,1,197005,1576,2280,1311,9502,224723,T
600159300,1314,25,122202,647,4122,437,9296,224520,T
663958350,4621,210,323470,691,9744,1311,7100,225167,T
169623382,4620,205,217140,1299,2784,1311,4406,224249,T
682649278,1376,1,64672,1488,10208,2185,9302,224402,T
596670987,4586,180,582422,1948,2143,1748,5176,225175,T
460087444,1232,1,177408,1509,2256,1748,4986,224989,T
