userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
677312007,1351,1,74305,2093,2631,1082,5121,221909,T
764333234,1344,10,25536,100,266,259,1061,25980,F
059363957,3678,47,570090,482,5582,1082,6537,221721,T
654103638,3765,74,173190,412,1879,1082,5261,221688,T
012975217,1296,1,290304,1439,2594,1082,6905,221648,T
727804569,2013,65,489159,462,2193,2705,6475,222400,T
986217074,3742,62,168390,2046,3411,541,4742,221879,T
171769367,2121,90,118776,1879,4093,2164,4746,221759,T
533894796,3794,45,242816,684,5418,2164,4886,221490,F
099721196,2148,63,292128,1130,3289,2705,4600,222119,T
910816406,3667,63,748068,1659,3349,541,4288,221922,T
595723494,2397,57,165393,420,6823,2705,7410,221662,T
405257301,1327,4,43791,429,3232,1623,6644,221968,T
124563927,2394,58,509922,655,4723,2164,9060,222308,T
184046279,3698,42,891218,662,2302,541,9094,222456,T
200513766,1391,9,63986,413,2424,2705,4458,221645,T
327556663,1443,8,131313,770,1899,2164,6661,221587,T
814228297,2386,61,391304,385,2523,1623,6912,221671,T
761557254,1313,1,89284,1939,3289,1623,7066,222121,T
221886269,1414,4,67872,770,5263,1082,9192,222062,T
179854673,2386,72,243372,374,2332,2705,6986,221961,T
138163265,3770,37,128180,575,2558,1082,7084,221601,T
909632014,3707,46,74140,1354,2046,2705,7048,221603,F
521633399,1431,29,68688,369,3919,1623,4836,222448,T
433527194,2347,58,35205,527,4284,2164,7439,222325,T
946385943,3667,67,333697,472,4284,1623,6721,222252,F
510831787,3635,50,810605,1354,2392,1082,9330,221766,T
444683793,3785,57,673730,833,1899,541,7293,221875,T
266099388,2094,69,138204,549,6823,1623,4544,221497,T
834749847,2269,58,90760,458,2167,2164,6775,222090,T
864628534,3669,47,539343,397,3838,1623,8910,221988,F
704547878,2367,47,397656,669,6823,1082,9413,221485,T
131328508,1395,1,39060,1046,2834,1082,9439,222346,T
123845411,1993,66,434474,371,11514,1082,4906,222320,T
912301227,1316,27,128968,1279,2246,541,9638,221635,T
736308918,1252,12,21284,559,6352,541,8936,221904,T
873990368,3700,49,70300,804,4848,1623,8881,221798,F
269890880,2020,85,317140,404,6579,2164,7284,222089,T
077901228,3649,39,883058,452,3020,2164,6688,221739,F
564364635,2376,58,529848,399,9696,2164,6959,221789,T
287051588,4746,13,1153278,497,12281,1623,5107,221595,T
253284867,1326,28,14586,570,11514,1082,4876,222275,T
910107903,1443,16,336219,894,2069,1082,9456,222470,T
483182439,1260,20,137340,387,14171,1082,6794,221691,T
642254891,2365,71,234135,443,1860,2705,8800,221633,T
164409611,1437,1,38799,1344,2924,541,6753,222333,T
974961695,3599,37,89975,561,3289,1623,5066,221576,F
776393871,1992,80,249000,921,16748,2705,4734,222270,T
219402181,3792,57,504336,818,3176,541,4895,222079,T
624586663,2359,62,200515,383,5263,541,9561,222047,T
373058879,1275,26,103275,616,3411,1082,8750,221952,T
288299011,1370,10,100010,660,2274,1623,5089,221739,T
104987133,2324,53,69720,2024,3542,2164,6935,222274,T
756956398,2353,43,127062,444,6352,2705,9071,222211,T
445185380,2072,75,120176,600,2117,2164,5224,221889,T
727508264,1416,11,329928,935,3919,1082,9241,221859,T
518067912,1388,13,295644,1261,2392,1082,5096,222238,T
232198357,3606,64,699564,581,1860,2164,6617,222218,F
389875087,1264,25,104912,1561,5582,541,8711,222194,T
157071165,2020,71,161600,421,9211,2705,4922,222320,T
882698540,1386,1,345114,815,2046,541,6793,222199,T
112241666,2090,93,165110,404,2093,2164,4615,222389,T
076328957,1372,10,116620,650,3349,1623,4631,222286,T
037454129,3649,60,211642,371,2456,1082,8987,222144,T
330604607,2317,68,176092,1364,10836,1623,9108,221806,T
122105692,2332,42,62964,774,12281,2164,7335,221886,T
818169005,3704,62,244464,1212,1919,1623,6924,222117,F
136848605,3612,75,415380,442,1919,1082,9543,222194,T
169336877,1425,7,232275,435,3349,2164,4386,222071,T
098378326,3745,69,632905,581,2219,1082,6650,222305,T
782389558,1974,91,130284,995,2878,1623,5310,222092,T
039732452,1356,9,97632,496,4284,1623,4935,221493,T
317194979,1287,8,50193,1824,5418,1082,7100,222397,T
016493604,1300,10,97500,1103,15352,1082,4737,221613,T
927363194,1336,12,257848,1879,10836,541,6820,221824,T
544414580,1299,18,219531,508,3684,541,7086,222393,T
468626219,2431,41,26741,1535,2749,2164,6775,221854,T
017136556,2327,45,74464,2392,7369,2164,8964,222452,T
747158458,2414,53,560048,1535,7676,2164,9103,221738,T
287683120,1972,81,51272,1137,4386,2705,6442,222440,T
464892530,3728,66,905904,2424,3289,541,6655,222036,T
601809759,2248,59,197824,431,8009,2164,7427,222483,T
535170038,2023,81,465290,451,2002,1623,8778,221593,T
519892351,3622,44,152124,1315,3176,1623,5104,221959,F
750798062,3668,45,414484,392,1980,541,9472,222207,T
545426962,3743,38,767315,391,1939,1082,8902,221779,T
323967573,1420,5,168980,608,1980,2164,4895,221488,T
966046493,3780,43,336420,877,1959,1082,4470,222001,T
358773625,1313,19,26260,677,1879,2164,4370,221689,T
978779071,3681,68,813501,703,4284,541,4460,221721,T
221786879,1264,8,170640,397,4004,541,8677,221643,T
370315583,3771,45,230031,423,3176,2705,6849,221789,F
010138181,1430,1,60060,474,2024,1623,7016,222393,T
043952382,2069,86,122071,705,16748,1623,4910,222042,T
150297546,2095,63,492325,811,2002,2705,6934,221672,T
126676397,3736,53,691160,783,5418,1623,8845,221493,F
901096550,1436,1,302996,848,4723,1082,4829,222040,T
088318312,3793,47,166892,376,13159,1623,7278,221640,F
745145450,1362,14,187956,1096,4723,1623,4908,221753,T
124521343,1335,1,312390,677,3542,541,8940,221504,T
138257235,1338,28,141828,530,1860,541,4821,222429,T
199553305,1386,1,76230,1109,4848,1082,7453,221667,T
009112491,1345,12,316075,457,10836,1082,7322,221513,T
372977761,3732,66,350808,532,3176,1082,8721,222314,T
562028155,1343,10,193392,393,26318,1082,4351,221750,T
644460878,3635,74,345325,487,1919,541,6704,222324,T
531809938,1989,78,332163,1417,7369,2705,4608,222374,T
065245660,1428,1,114240,523,2878,1082,5073,222092,T
239487950,4819,37,843325,1788,20469,1082,6482,222305,T
293820668,2119,73,444990,1385,3759,1082,6541,222269,T
830946018,2141,85,475302,588,4979,1082,9632,222451,T
040436627,3767,64,636623,669,2392,1082,8749,221692,T
267776960,1345,17,129120,370,2489,1082,4319,222427,T
277361889,3708,61,422712,616,4093,2164,6702,222341,F
527544862,3646,72,189592,1023,10836,1082,9057,221497,T
720413553,2405,57,233285,396,4605,1623,6761,222057,T
798733483,1364,7,154132,478,2669,1623,4769,222348,T
888289247,1372,1,270284,837,6579,1623,5041,222364,T
812272285,3731,69,358176,1166,2193,1623,8796,222030,F
885520736,3776,48,56640,679,7369,541,4954,221743,T
283285206,2111,82,329316,780,2709,1623,6666,222275,T
367072186,1387,6,44384,583,2489,541,5016,221636,T
611836693,1356,23,329508,375,3349,541,8945,222434,T
945283836,2332,61,184228,410,36845,2164,8911,221878,F
867996993,1281,1,235704,2594,4386,541,9491,222123,T
202751371,2057,87,440198,1374,18422,541,6736,221977,T
477809553,2025,63,196425,1029,2167,2705,4394,221796,T
201357127,1366,18,99718,1616,8772,1082,7110,222059,T
133567639,2364,56,260040,493,1939,2705,7412,222460,T
348239477,1328,5,104912,903,1860,1082,9462,221874,T
401550397,1397,25,79629,472,11514,541,8915,221943,T
338227924,3620,54,550240,662,5263,1082,7136,221845,T
299414021,2134,93,507892,969,1980,1082,6540,221897,T
189692509,2074,92,472872,777,8009,541,4729,221560,T
522132737,2239,63,358240,443,3411,2164,6687,222312,T
981940644,2347,52,370826,1659,2167,1623,9643,222010,T
