userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
556959617,4633,229,616189,2286,12940,1922,4108,658411,T
116219462,900,1,36000,3828,49772,384,3092,657670,T
314424817,4592,196,261744,1376,26960,384,4403,657711,T
562041588,4612,201,124524,6811,9657,384,3489,658461,T
403426795,4690,191,239190,6162,29411,1153,5491,657621,T
888519280,4644,231,208980,6470,24886,1538,5292,658302,T
185606665,331,21,13240,1422,8513,1538,3103,657560,T
896476370,4730,213,208120,1323,10607,769,3221,658203,T
462114170,4653,216,69795,1511,17027,1153,3149,658132,T
914631039,4574,221,576324,1748,24886,769,2436,658323,T
726087250,4614,210,322980,2730,12208,1922,2556,657808,T
678528877,4555,214,788015,3921,10110,1922,5085,657519,T
066842648,4694,202,506952,1428,8403,769,2564,657726,T
711080549,4880,105,1190720,5135,11982,384,2965,657563,T
884458963,4599,226,372519,1566,11982,384,2850,657709,T
528738589,4739,197,445466,3761,29411,1153,5200,657538,T
821105531,260,11,39260,2837,25881,769,3276,658368,T
729589839,4573,201,484738,2981,7110,1922,4336,658040,T
290879281,4675,220,640475,1328,20872,1538,3097,658421,T
471811319,4701,208,629934,1914,107840,1153,4412,657987,T
439061834,4702,200,1062652,4939,7795,384,2705,657919,T
564106016,431,11,8189,1990,19607,1922,2901,658450,T
398659857,328,19,4592,6740,43136,1922,2920,658402,T
691542135,4682,196,1086224,1412,53920,1922,2849,657781,T
811403461,4867,101,949065,1597,11764,384,2407,658024,F
771262364,4775,88,1021850,4462,10607,384,3412,658260,T
665495685,4681,230,397885,2278,11351,1538,2623,657856,T
023997274,4706,229,588250,2567,64704,1538,4370,657772,T
529491709,4595,224,992520,3516,7702,1538,5487,657985,T
126238726,346,10,12110,1562,80880,1538,2286,657593,T
414991312,4697,198,554246,7890,6470,1538,3153,658002,T
516864185,4676,209,1131592,3740,8295,1922,2720,657827,T
518511517,312,13,22464,1843,24886,1153,2947,658181,T
337605080,246,1,46002,6670,15781,1538,2405,657740,T
017330168,4752,231,888624,5437,17973,769,2390,658342,T
173552321,4603,226,1058690,1373,11764,1538,5315,657525,T
813744371,334,11,67468,2630,29411,1922,2371,657651,T
384782975,4638,221,366402,3478,14378,769,4635,657988,T
382654874,4931,94,1040441,5530,71893,384,2377,657890,T
319545526,4712,222,631408,5726,8863,1538,3930,657815,T
636149093,4597,196,91940,4229,15781,384,4724,657576,T
912969283,4701,227,230349,1515,6602,1922,3611,658009,T
191264498,4666,200,312622,1457,13480,769,3898,658200,T
945678316,4619,224,669755,2003,24886,384,2791,657790,T
873438843,4655,230,46550,3023,15405,384,3589,657576,T
215327310,4652,212,1088568,1797,18487,1922,2716,658115,T
374225160,350,20,39900,2344,11554,1922,2353,657534,T
133714738,4752,222,693792,3235,12940,1922,2466,658062,T
275430941,4697,213,310002,5991,35946,384,4607,658110,T
182996313,4600,203,515200,1304,20872,1153,5113,657531,T
243053401,4868,87,1051488,5135,32352,769,2258,657635,T
780184522,4861,111,1035393,1966,13205,384,2467,657973,F
300554435,4668,223,555492,1787,6670,384,4306,658171,T
715614134,4643,199,55716,1394,7189,769,4575,658137,T
588670229,4708,210,899228,7702,10436,1922,4687,657983,T
106741000,4697,214,728035,1444,8743,384,3152,657793,T
368995256,381,20,9144,1388,17487,1153,3031,657595,T
242843891,4618,205,748116,1838,9657,769,2757,657726,T
547794832,4667,219,802724,1984,10270,1153,3428,658124,T
326631100,250,2,22000,3301,107840,1538,2599,658062,T
941050265,4694,200,530422,2003,7352,769,5587,658089,T
521126401,4740,199,635160,5303,7352,769,3142,658146,T
553108092,4584,195,843456,3516,17973,1538,5568,658097,T
336043866,308,1,41272,2156,12208,1538,2405,658138,T
944386819,4708,218,343684,1625,8190,1538,4387,658038,T
134427055,394,1,18912,6670,15405,1922,2809,657837,T
281490244,4640,226,756320,2302,8986,1538,3450,657962,T
583590502,4642,197,608102,7988,10270,1153,3535,657870,T
898092188,4697,229,310002,6104,30811,1153,2492,658148,T
308970644,4625,216,259000,2414,10784,384,3982,658143,T
937811693,4724,197,255096,2310,7189,384,4378,658177,T
213026678,4691,201,225168,1978,8190,384,3838,658074,T
071755791,4731,193,241281,6740,8986,1538,3287,658283,T
247276831,4844,117,721756,6535,25881,384,2774,658072,T
979104167,4585,223,375970,4121,43136,1922,4679,657562,T
292222213,390,1,52260,3740,40440,1538,2650,658393,T
013161630,304,16,37392,1633,30811,769,2885,657841,T
492700661,4620,209,577500,1629,129409,1153,3855,657984,T
309107884,4679,228,514690,2684,23964,769,4030,658229,T
766572105,407,1,78958,1353,6602,1153,2713,657778,T
710564207,4567,229,1064111,2142,129409,1538,4234,658218,T
385861432,388,1,33756,4977,17973,1538,2275,658379,T
659992410,4723,195,949323,1822,8190,1153,5037,657843,T
759538204,4679,205,280740,3235,10784,1153,3250,658474,T
450609118,4632,199,203808,1870,9803,384,3287,657937,T
720360497,422,1,49796,1367,13205,1922,2637,657675,T
293233769,376,1,86104,1609,8190,1922,2505,658144,T
015797234,4673,204,112152,2310,20872,384,4866,658426,T
046855036,4685,218,997905,1931,7890,1153,2789,657843,T
450627451,4898,95,817966,1782,16176,384,3166,657941,F
201491847,405,11,95580,2164,11764,1922,2958,658020,T
222638276,4606,211,350056,2327,71893,1538,3848,658080,T
952371763,4639,216,97419,2231,21568,384,2529,657668,T
605844489,4719,230,523809,1744,7033,384,3996,658293,T
097205171,4561,207,962371,2100,6811,384,3596,657746,T
877611596,4588,208,417508,1515,7612,1538,2865,657525,T
962932752,4592,202,1129632,1562,6740,1538,5203,658095,T
374325027,332,1,56440,7612,8190,1153,2626,657698,T
089481951,350,12,42350,2469,29411,1922,2715,657979,T
259615067,4632,193,481728,5936,64704,769,4765,657541,T
115979363,4569,215,328968,1376,32352,1922,4041,657770,T
214757509,4607,211,1133322,2060,7702,1922,4815,657881,T
500290986,4743,206,1185750,2278,6535,1153,4860,657895,T
425780736,891,1,40095,1948,13766,384,3071,657807,T
434649555,4593,201,50523,1320,7988,1538,4416,657893,T
046828761,377,1,71630,8743,8403,1153,2651,657868,T
985801482,4641,209,1058148,8403,13766,1153,2658,657783,T
626187275,4582,214,68730,2765,8627,1153,2491,657863,T
384781201,4639,229,357203,1412,8986,1153,5102,657710,T
848192643,4703,204,1029957,2788,7612,1153,2934,658402,T
670805266,4612,197,1037700,3335,17027,1922,5091,658397,T
515515870,4651,202,195342,2598,26960,384,4928,657907,T
491215423,251,1,38654,2193,13205,1538,2977,658147,T
200470684,4579,220,389215,2863,17973,1153,4969,657645,T
875543401,4653,195,455994,1497,13766,384,2601,657635,T
390726220,4568,208,82224,1663,14066,384,2298,657770,T
865094237,4571,210,1037617,2093,7988,384,3765,658390,T
577613495,4655,211,647045,1711,8743,1153,5016,657901,F
597767439,4692,215,1083852,1328,25881,769,3892,658149,T
286206391,4628,191,999648,2765,11764,1538,5393,658200,T
328810807,4655,192,688940,5303,6535,384,2275,658060,T
438206276,4603,198,1141544,2060,13766,1922,3150,657858,T
851234772,308,1,7700,2370,9377,1538,2777,658181,T
078742123,4618,196,249372,1725,20872,769,5396,657766,T
755725247,4670,207,154110,2577,11155,1153,4795,657559,T
949096813,4600,228,1140800,1817,34055,1922,3837,657663,T
440392443,4738,230,715438,8863,9515,769,4151,658181,T
903695004,4600,191,372600,5303,24886,769,2334,657699,T
796848799,4727,217,940673,1484,26960,769,5458,658093,T
376454115,347,1,78075,1425,107840,1922,2429,658345,T
629503045,4716,206,231084,1518,28132,769,4647,658229,T
884664781,4711,209,395724,5777,43136,1153,2935,658295,T
872890527,4729,209,614770,1792,7270,1153,4192,658173,T
182198381,4889,110,1192916,6883,15781,384,3016,657608,T
019288418,358,22,36874,2286,129409,1538,2893,657714,T
240644174,4740,230,459780,6535,28132,384,5039,657972,T
437008430,4720,198,741040,8743,107840,1922,5460,658085,T
795446493,4555,208,1015765,2598,9515,1153,3435,658444,T
064254486,937,23,18740,1447,10436,384,2836,657504,T
292483371,4563,191,698139,5726,7890,1922,2256,658191,T
264274935,4658,210,302770,2875,9515,1922,5334,658470,T
807455270,4720,198,1043120,3335,23108,1153,4896,657667,T
849744455,4719,229,188760,3574,53920,1153,4268,658132,T
810802887,4589,210,293696,3023,7988,1538,3435,658123,T
505391770,330,13,22110,3614,20220,1538,3215,658126,T
697326334,4930,101,872610,3535,12940,769,2827,657933,T
762112675,4664,208,443080,3806,38061,1538,5301,658242,T
126265981,4577,217,430238,1720,14705,1922,4739,658395,T
710833840,4696,197,394464,1966,22311,1153,5078,657773,T
719869952,4750,214,878750,1954,25881,1538,5352,658007,T
813720078,4605,192,303930,3806,49772,1538,3137,657985,T
327726579,4565,202,1100165,2673,12208,384,4742,657979,T
279617513,4707,205,117675,2788,9377,769,5377,657615,T
458520807,897,1,83421,1356,38061,384,3071,658489,T
190390855,4685,213,131180,4285,11764,1538,3715,658417,T
126376573,876,11,178704,2121,24886,384,2661,657594,T
834144875,4728,195,1002336,1422,7988,769,3609,658075,T
176681604,4755,231,190200,3387,17973,384,4003,658190,T
826678226,4636,216,185440,2344,19607,1153,3003,658062,T
345052451,4927,94,1093794,3874,14066,1538,2725,658232,T
033253019,4655,216,944965,1734,32352,1922,4968,658010,T
816197468,4563,198,1017549,3267,9954,1922,2345,658219,T
821914922,4607,193,69105,2003,7795,769,2313,657705,T
054932355,4640,220,552160,2537,9954,1922,4349,658414,T
816540283,4555,208,501050,1711,23108,1538,3840,657499,T
128320923,4719,220,934362,2093,8513,1922,2282,658292,T
365697382,4717,203,858494,1689,107840,769,2273,658388,T
695916559,880,1,123200,4401,34055,384,2520,658041,T
092041167,4575,227,379725,4342,8295,769,4952,658312,T
792109845,4696,218,267672,5015,10270,1922,3757,658423,T
738492334,4630,214,796360,6740,7795,769,5526,657565,T
991115278,4576,212,86944,1544,7890,1922,3482,658164,T
544258060,4623,210,1049421,1555,12687,769,3913,657558,T
495777184,4695,230,751200,3718,11764,769,2424,658251,T
230517564,4598,201,312664,7890,9803,1153,3522,657604,T
454820345,4739,213,1094709,2875,11764,1922,5050,657685,T
035819691,4622,194,1141634,1370,15781,1538,2633,658301,T
106536723,256,1,28672,3874,7270,1153,3018,658439,T
410888673,4812,91,1140444,2537,43136,384,3480,657775,T
809594482,246,10,59286,2156,7270,1538,3063,658144,T
247807210,4690,211,670670,3301,17487,1538,2451,658189,T
177389768,4579,193,663955,3783,8190,769,4295,658151,T
106306654,4584,202,247536,2262,13205,1538,5339,657489,T
445989536,4561,221,807297,4757,46217,1922,4702,657895,T
360139256,333,3,34632,1730,17487,1153,2584,657598,T
412114886,4611,207,1046697,2378,35946,1538,5077,658039,T
384808945,4715,216,1042015,2149,11982,769,5053,658070,T
102937986,4749,210,1097019,2080,11982,1153,4717,658433,T
855279818,330,10,17160,4095,7189,1538,2863,658213,T
575023028,4578,199,297570,1772,6470,1538,3790,658363,T
367871276,4622,205,952132,2479,22311,384,2721,658428,T
937983255,917,2,215495,4939,10110,384,2770,657699,T
498182381,4588,214,284456,2941,17027,769,5049,657718,T
297520674,262,1,48994,4201,6811,1153,2811,658045,T
510216379,4614,218,1125816,3635,7437,769,5249,657595,T
394597128,4743,228,645048,1431,129409,1922,3053,657571,T
159097475,309,2,65199,3066,7270,1153,2555,658035,T
427312227,4648,212,585648,2378,6740,1153,3602,658491,T
771865254,4587,218,339438,5135,25881,1922,4887,657731,T
463398710,290,1,37120,1807,8986,769,2586,658206,T
108242638,4746,230,1120056,1617,8088,769,5563,658129,T
059851351,4716,206,268812,8513,7612,1922,4654,658250,T
992685503,4635,227,129780,6670,8627,384,5147,657894,T
894002541,4745,218,806650,1853,9657,1922,2708,658356,T
178643341,4704,211,277536,2684,129409,1538,3713,657926,T
301606624,426,7,49416,3066,7189,769,2655,658443,T
784715740,4620,205,868560,1412,15781,1538,4356,657886,T
566509815,272,6,54400,3370,15781,1538,3304,657780,T
095374813,4574,196,201256,5936,8295,384,2902,657855,T
113224167,287,9,17794,4493,58822,1153,2453,658041,T
611214747,4806,102,898722,4285,30811,384,2307,657887,T
667371098,321,21,19260,3851,14378,1922,2263,657514,T
314276037,4610,197,484050,6104,30811,1538,4685,658077,T
794112817,4625,221,1026750,3284,17487,1922,2341,657862,T
272255292,4620,220,586740,1406,11155,1538,4819,658285,T
066335917,367,3,64592,2414,8403,1922,2471,657925,T
948814984,4626,202,268308,5726,7352,1538,3565,657975,T
596143948,4712,208,692664,1508,30811,1538,3217,657706,T
369734670,4594,218,468588,2114,24886,1153,3418,657607,T
817009367,4565,218,593450,1457,32352,1922,4897,657874,T
397523324,4573,194,996914,2696,80880,384,5231,658013,T
561168683,4561,216,533637,3874,8403,1922,4600,658296,T
201400961,283,11,31979,2254,6883,769,2699,658079,T
179888093,4642,191,868054,1388,7352,1153,2482,657677,T
737543042,4718,204,608622,1960,8743,769,3487,658168,T
670063976,4604,214,174952,6670,12687,384,2674,657881,T
639835648,337,4,33700,1422,28132,1153,2553,657746,T
772238109,935,7,105655,3697,8863,384,2976,658260,T
014410135,4694,220,666548,6670,17973,1922,3569,657876,T
343720600,4688,213,46880,1501,7988,1153,3844,657951,T
943665949,882,11,213444,1897,6602,384,2891,657959,T
507288222,4871,112,102291,4588,28132,384,2679,657646,T
876763549,4581,221,490167,1536,12687,1153,2314,657826,T
487938991,4649,214,1050674,2047,30811,769,3776,657517,T
994419727,397,9,40494,1447,28132,1538,2921,657694,T
165360537,4638,217,306108,7352,38061,384,5252,658013,T
219632473,339,1,45765,2149,7988,1153,2604,658425,T
539098809,4729,197,468171,2149,7352,769,3926,657707,T
762819441,4594,221,142414,2223,11554,1153,4314,657867,T
723007388,4615,208,212290,1853,16590,1538,5474,657972,T
140710976,4627,229,777336,4655,19030,384,2727,658056,T
316843545,4613,200,853405,1838,12208,769,4698,657843,T
068833964,4869,97,861813,2825,14363,622,1919,879069,T
349454584,4723,207,136967,2577,80880,1922,2359,657930,T
664185284,288,12,12672,2327,8088,1538,2927,658192,T
879857999,4577,203,581279,1356,40440,1153,2432,658442,T
985053717,4739,216,132692,2114,7110,384,4876,657892,T
145142487,4556,199,77452,1937,12443,1153,3014,657526,T
934515248,4685,204,468500,1589,7352,384,4219,657979,T
801137083,4736,209,298368,1307,129409,1538,2317,658246,T
042724798,4720,214,335120,1782,10436,769,2760,658240,T
628567619,4667,200,714051,1629,8743,769,4383,657557,T
622255810,316,7,60356,3203,17973,1922,2727,658225,T
928622167,4595,217,923595,2588,11982,1538,3427,657739,T
828516650,4752,229,850608,4174,9377,1153,3119,658369,T
382737295,4747,192,75952,2015,49772,1538,4974,657787,T
479286272,4624,220,679728,3851,10436,1153,4320,658167,T
777118912,4640,191,714560,1777,8743,769,5430,657770,T
571354327,4651,215,493006,1920,15047,1153,2423,657737,T
047541229,4663,193,592201,1574,80880,1153,3943,657658,T
189182845,4591,231,390235,1422,80880,1922,2338,657931,T
039374499,840,9,77280,2630,11764,384,2896,658454,T
302134796,4714,219,641104,4121,8986,384,2938,658294,T
275721975,4605,223,119730,4621,6811,1922,4212,657834,T
245529830,4687,228,585875,1431,7612,769,3767,657763,T
405999570,4564,194,588756,2319,35946,1153,2998,657643,T
020510841,4604,227,598520,1880,6740,769,3244,657900,T
778599892,4733,219,672086,3994,23108,1922,5404,658083,T
960542544,286,1,13156,1490,7612,1153,2493,657664,T
270024400,4676,223,734132,1312,8190,1153,4746,657980,T
444018660,4703,217,122278,1359,19030,1153,2908,657635,T
526047469,301,1,18662,1431,6957,1153,3134,658071,T
061167450,4668,213,611508,1937,53920,1153,3098,658071,T
051093948,4591,223,1083476,1578,13766,1153,5097,657984,T
831787701,4687,197,224976,1621,12687,769,4838,657834,T
540989073,4617,198,711018,2630,10966,384,5221,658143,T
412652313,4716,198,1075248,1597,23964,384,2482,658332,T
376366181,4738,197,56856,4462,6957,1153,4972,658412,T
936056892,4790,99,890940,8295,6670,769,3104,658223,T
581403296,4724,226,703876,1497,13205,1922,4307,658241,T
738905959,4702,211,545432,1325,11351,1538,2971,657722,T
455253825,4606,217,810656,2813,25881,1538,3492,658249,T
471809773,828,10,48024,2054,20872,384,2841,657710,T
736423942,4684,228,524608,1473,24886,384,3297,657984,T
909534592,4953,84,737997,1388,10436,384,2692,657637,F
235095046,4750,192,361000,3574,15047,1538,2684,658260,T
482704118,4689,195,370431,2262,8986,1153,4204,657790,T
024551808,4648,198,153384,1425,8627,1153,5093,657651,T
782078676,4773,105,940281,6670,10270,769,2308,657714,T
066819993,4671,218,1004265,4371,9243,1538,4928,658223,T
986433397,4620,211,87780,3284,19607,1922,3279,657811,T
530836681,4783,89,119575,2149,19607,384,2746,658422,F
300813814,4692,229,234600,2432,7189,384,4033,658210,T
769127001,4650,227,153450,4556,15781,1538,3018,658326,T
257882547,4709,220,235450,2327,9657,1538,2875,657648,T
873429079,4593,231,1015053,2361,17487,384,3290,658054,T
642061661,4739,208,824586,1362,19030,1538,2550,657692,T
868467722,4654,192,232700,1437,13205,1153,3484,658272,T
834893522,4753,221,1002883,5347,71893,769,3034,658252,T
469215841,4793,113,1049667,1920,7795,769,2337,658128,F
013786645,4732,229,217672,1473,15781,1153,4108,658194,T
829723597,4712,227,1022504,1415,20872,1538,3963,658107,T
033037512,4623,199,915354,6740,6602,1538,4203,657548,T
796963380,4629,225,1097073,2262,8088,769,3184,657618,T
964544752,847,1,38115,4828,12687,384,2717,657967,T
410903626,4704,211,178752,1460,7033,769,3503,657584,T
008451974,303,1,28785,3023,30811,1153,3016,658176,T
989700688,263,1,54967,2527,23108,1153,2455,658275,T
874431987,4624,208,605744,2741,6470,384,2516,657574,T
082278909,4571,209,978194,1370,11982,1538,4240,658204,T
017186678,4637,205,1122154,2850,9954,1922,3204,658099,T
634749742,4749,193,569880,5135,6670,1538,3864,657857,T
529938695,4556,213,109344,1331,23108,769,5496,657767,T
711904667,4579,224,847115,1870,6811,1153,5462,657918,T
893604466,4620,191,605220,2673,17027,1153,3880,657513,T
815718007,4706,211,1105910,3969,20872,769,3987,658089,T
239931324,4714,209,1107790,2741,14066,1538,2644,658102,T
792577917,4742,229,583266,1391,10784,1153,3806,658453,T
056820907,4575,214,576450,6740,11764,1922,5252,658418,T
561603639,4598,200,285076,6535,22311,1538,2577,657902,T
417029942,4555,202,920110,1484,18487,769,4239,658404,T
744853698,4606,210,1100834,1832,19607,384,2266,658408,T
815760881,4557,224,405573,1827,6602,769,3666,658398,T
387461095,4666,197,1129172,6343,8403,384,3014,658360,T
930898821,4749,225,460653,1621,23108,384,5466,658424,T
994253836,4749,196,650613,1654,18487,769,2417,658485,T
095380339,4674,230,771210,6811,21568,769,3140,657774,T
468267462,4713,203,245076,2015,25881,384,5492,658269,T
391402859,4685,209,1082235,2450,20220,1153,5155,658207,T
549470731,4747,230,436724,2914,10110,1153,3888,657507,T
559055329,4704,211,127008,6883,29411,384,5279,658069,T
622903649,353,9,29299,2863,6470,1922,3275,657945,T
603830760,293,12,31058,1299,11351,769,3077,657730,T
848408812,4649,210,692701,2121,13205,1153,5311,658077,T
965065656,4644,216,613008,2488,30811,1538,3741,657653,T
753522383,4629,206,64806,1356,6740,1922,2658,657919,T
728657194,4684,199,791596,3994,18487,384,3601,657597,T
274769380,4668,207,79356,3761,8513,769,4084,657722,T
792101654,4597,201,441312,1511,53920,769,2913,658140,T
886616726,4671,195,70065,2662,8190,384,5570,657913,T
390894901,4668,201,560160,2193,40440,384,2399,657873,T
910297277,308,6,65912,2319,30811,1922,2653,658289,T
257168566,4929,77,1173102,1422,38061,769,2396,658071,F
380904518,4611,224,977532,3405,15047,769,4887,658098,T
207616495,4688,226,862592,4095,18487,1538,4045,657510,T
378821877,4567,196,159845,3023,17027,384,2960,657983,T
800264828,4708,229,466092,2087,9954,384,4657,657926,T
057873126,4594,209,68910,1339,17973,1538,4079,657934,T
927918417,4710,204,763020,3318,10966,1153,3201,658135,T
209856808,414,10,57546,7612,92435,1922,2465,658272,T
900899693,395,1,40685,2215,9657,1922,2656,658425,T
623271222,4627,206,157318,8295,22311,1153,3168,658096,T
216738150,4747,224,142410,1716,6535,1538,2413,658113,T
708292277,4859,89,864902,4722,80880,384,3932,657822,T
676301261,4619,200,244807,2003,18487,769,2846,657912,T
044279845,4577,208,521778,1730,21568,384,2905,657931,T
161236244,4692,226,713184,2067,11351,1538,2995,657976,T
674000790,256,3,35328,7189,10607,1538,3264,657710,T
597621189,4735,197,833360,3405,15047,1153,4904,657644,T
662890068,4688,209,656320,3994,7988,1922,2542,657801,T
585135535,4750,202,498750,8513,8190,1538,3998,658197,T
636705829,4630,212,1097310,2405,13766,769,5276,658311,T
544140891,365,7,9490,1422,8863,1153,2479,657554,T
008425421,362,12,34028,4493,7437,1922,3300,657612,T
479079956,4750,196,251750,1578,8513,384,4189,658483,T
831386874,4614,191,1056606,1444,10436,1922,3260,658158,T
119891280,4624,216,157216,3535,17487,1153,5065,658378,T
692556404,904,13,131080,1853,7352,384,2502,658049,T
613064005,4670,213,934000,3441,7437,1538,4266,657948,T
516276252,4588,192,669848,1425,53920,769,4621,658360,T
106379566,4586,213,940130,2034,40440,1922,4006,658355,T
895714597,4751,212,669891,2286,14066,1538,3471,657492,T
020648734,920,15,221720,1487,9954,384,2530,658321,T
587421373,4667,195,611377,1730,23964,1922,3190,658122,T
226659368,4565,195,1059080,1508,8627,384,5565,658107,T
873715086,4629,225,578625,2441,71893,769,3219,657758,T
012386757,4719,209,202917,1434,38061,1153,2648,658184,T
831249740,4661,224,829658,6221,15781,384,4758,657819,T
191388796,4568,212,657792,1864,24886,384,3558,657679,T
473180984,4944,103,954192,2335,21568,384,3109,657776,T
216942006,4670,222,424970,7352,32352,769,5108,657651,T
235447950,4670,205,275530,1511,49772,1153,5385,657615,T
993882788,821,5,119866,2156,40440,384,3187,657733,T
760087973,4623,214,268134,1864,8627,1538,5104,658353,T
332562685,4631,202,435314,1526,10966,1922,5048,658276,T
122872345,4621,230,337333,1434,14705,769,3579,658377,T
851191049,4630,212,444480,3594,12443,1538,2398,657684,T
886756126,384,1,26880,8627,7033,1922,3151,658472,T
061834622,4557,211,1002540,1437,19607,1538,3416,657586,T
714163706,4659,203,978390,2588,17487,1922,2959,657985,T
479458321,349,1,52001,3740,7702,1153,3148,657726,T
697179514,4686,225,1124640,3125,6740,384,3510,657842,T
515285001,4610,211,336530,1589,9954,1922,4181,657708,T
477350755,4598,223,855228,7702,12208,769,5146,658175,T
913636328,4683,195,763329,3267,26960,769,2847,658493,T
180459963,256,24,4352,3023,10270,1538,2430,657870,T
688422547,4894,113,1032634,3187,40440,769,3188,658058,T
987806869,4670,205,1148820,3655,11554,1153,2998,657659,T
106425211,4837,115,1097999,4462,8403,384,3289,658349,T
573676727,4581,199,673407,4462,17973,384,5401,657542,T
164041650,419,1,101398,1559,21568,1538,3066,658028,T
980391463,4738,193,928648,4977,7189,1153,2444,657674,T
641947522,4731,191,246012,8513,8627,1538,2731,658105,T
540427752,299,22,16146,2200,10270,1538,2443,658450,T
028011737,4574,217,169238,4588,29411,769,3122,658451,T
039439826,4568,191,100496,2414,9113,1538,3283,658408,T
502244948,4936,86,1051368,2981,6670,769,2655,658444,T
124420449,4574,196,1116056,1526,12940,1538,3048,658043,T
917902032,4898,117,1008988,2630,20220,384,2976,657845,T
765341040,4713,221,1173537,2557,7702,1538,2985,657828,T
399705449,345,7,84180,5829,7437,1153,3113,658102,T
407808806,4932,94,1001196,2741,16590,769,2912,657801,T
