userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
859836040,4767,238,152544,1711,71893,769,3826,657973,T
275717885,5055,86,242640,1711,71893,384,2347,657807,F
165680616,4632,202,273288,1711,1353,769,2645,658418,T
137754648,4965,94,486570,1711,2707,384,2335,657497,F
850521876,4805,234,451670,1711,5726,1538,2799,657542,T
572882171,5025,98,236175,1711,6281,384,2371,657525,F
944507170,4600,254,262200,1711,1359,1153,3096,657519,T
841296180,4894,98,146820,1711,9377,384,2405,658341,F
461069765,4620,193,258720,1711,22311,384,2994,657880,T
392205867,5010,84,390780,1711,7189,384,2313,658485,F
589913521,460,8,43700,1711,3921,1922,2912,657695,T
348645603,4875,77,253500,1711,1646,384,2392,657600,F
539867504,4602,246,276120,1711,49772,384,3219,657694,T
281072157,4989,98,299340,1711,49772,384,2318,658307,F
087284556,4612,252,373572,1711,2479,1922,3630,657569,T
084049594,4921,81,132867,1711,2022,384,2342,657550,F
152925239,4834,204,430226,1711,1397,1153,4234,658211,T
547653881,4907,82,161931,1711,1301,384,2331,658351,F
720357931,4579,247,192318,1711,5626,384,3811,657832,T
984800263,4940,80,360620,1711,43136,384,2576,658176,F
316109662,4805,236,451670,1711,1345,769,4219,658291,T
883947043,4835,88,241750,1711,2707,384,2273,657886,F
688124213,4670,204,322230,1711,1693,384,4643,658451,T
804514833,4900,100,416500,1711,4722,384,2319,657784,F
437173833,4732,220,430612,1711,2863,1538,4693,658082,T
896154983,5029,94,110638,1711,3387,384,2356,657581,F
884439927,4641,241,241332,1711,2100,1153,5198,657615,T
