userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
119587485,3337,1,193546,2022,12172,448,5431,706006,F
774417041,3497,586,458107,3651,16519,1795,4749,705657,F
546363229,3622,614,514324,1916,13876,2244,9198,705179,T
140907597,4401,54,814185,2541,7624,1795,5145,705874,F
460740795,3667,591,462042,1531,16922,897,9564,705713,T
130589448,1461,15,141717,1587,31537,1795,8993,705182,T
958147268,3525,595,292575,1717,10355,1795,9496,706081,T
144100043,1153,1,100311,1704,6938,897,4646,705449,T
352443173,3369,2,272889,1460,17345,1346,6963,705716,F
503205356,3365,2,666270,2230,10841,897,9361,705632,F
784120875,4559,48,341925,2195,13876,448,4492,705406,F
690112745,3375,24,243000,2915,10841,1346,8995,705441,F
605198261,1382,27,76010,3003,23127,2244,7134,706070,T
733270954,3599,587,777384,2731,7152,2244,4824,705690,F
778031636,3541,618,396592,2648,7624,2244,4660,706152,T
227088419,3427,6,644276,1442,17345,897,7184,705420,F
961585589,3458,17,781508,2195,18258,897,9536,705324,F
583951153,3315,8,301665,1648,63075,1346,5140,705557,F
526118617,3425,5,95900,1938,16519,448,9426,705196,F
657814615,3414,1,628176,1498,69383,2244,4633,705862,F
837518042,3344,3,46816,9911,7079,897,4520,706171,F
512360896,3365,26,346595,1555,31537,897,7023,705807,F
458923678,1487,3,286991,2628,23127,1795,7712,705979,T
611737036,3659,596,592758,4391,138767,897,9657,705991,T
004458723,1567,12,68948,1404,14159,2244,6901,706127,T
278929816,1479,4,210018,1890,38546,1795,7649,705590,T
331052395,1394,141,243950,1927,53371,897,9080,705437,F
585097542,1515,143,115140,8565,8672,448,9408,705628,F
683513170,1486,136,329892,4447,7381,448,7011,706135,F
388485078,1521,1,343746,1613,26685,2244,7482,705962,T
349276837,3496,13,611800,2011,9010,1346,7491,705650,F
767151893,3486,26,474096,2952,63075,1346,9447,706029,F
960257445,1520,165,215840,1792,40813,897,5281,705954,F
558505766,1528,160,239896,2188,8895,448,4697,705387,F
363973233,3440,10,309600,3272,16135,1346,6910,706027,F
383038392,3496,24,349600,2195,17790,897,7509,705682,F
533241590,3676,599,525668,2965,9010,448,8927,705615,T
909522319,1472,1,264960,9772,13342,1795,7356,705951,T
842357057,3660,595,150060,1885,18258,1795,7034,705860,T
849280418,3661,615,208677,4656,8565,448,4645,705431,T
991501928,1472,18,350336,3730,23127,1795,7281,705208,T
828137147,3386,23,84650,3288,30166,897,4917,705575,F
654783280,1457,1,128216,2797,49559,2244,4863,705449,T
804039440,4436,34,470216,1663,36517,448,4632,705997,F
167984726,1437,1,308955,1421,18752,2244,4768,705372,T
913243382,3495,599,160770,3964,7303,2244,8978,706075,T
059521174,1378,142,293514,1855,16922,897,9791,706072,F
193138661,3582,582,530136,1932,17790,1795,6735,705447,T
999406586,1514,127,168054,1398,11563,897,5442,705493,F
211178577,1503,28,189378,3056,8565,2244,9413,705759,T
418384834,3688,613,892496,1421,11374,1346,6791,706119,T
356242966,1539,130,233928,2267,12615,448,5292,705817,F
467694123,3485,24,554115,8461,7227,2244,5285,705366,F
444264401,1550,152,49600,7795,99119,448,6957,705731,F
616239101,3653,584,409136,1761,22381,448,6736,706013,T
772215479,4532,20,1133000,2425,26685,448,7290,705255,F
422840392,3669,614,711786,6736,46255,897,9005,705654,T
549670095,1479,1,276573,2016,11759,1795,9244,705965,T
844162278,1417,17,226720,1954,99119,1795,6776,705595,T
309453468,1516,148,294104,5687,25697,897,7286,705291,F
879472509,3693,609,180957,1587,13876,448,4660,705353,T
192418434,1564,159,15640,7227,99119,897,8950,706018,F
918457318,1421,1,238728,3097,11962,1795,5139,705491,T
578400518,1534,4,196352,2608,12848,2244,9380,706120,T
623992755,3671,582,293680,7624,12848,1795,4818,706028,F
232610214,3438,15,550080,1418,17345,1346,9400,706049,F
629877795,1511,158,300689,1584,10355,897,7484,705490,F
026496340,3547,604,517862,1667,9911,1346,7046,706040,T
969869680,3637,607,490995,1511,14762,1346,7111,705183,T
352989952,1489,1,105719,1535,17345,1346,5018,705523,T
889761090,1435,1,182245,3351,77092,1795,9622,705205,T
611156635,1530,12,165240,1725,9129,1346,4757,705170,T
847205422,3390,2,522060,2831,16922,448,6747,705822,F
491643874,3412,1,296844,4363,17790,1346,9238,705289,F
707399161,3505,579,42060,2775,11013,2244,9344,705566,T
869801610,3631,589,108930,4564,6938,1795,8960,705996,T
417501294,3614,583,639678,1965,8782,1346,9771,705209,T
215861696,1393,3,115619,2141,11013,2244,4713,705990,T
975569604,1443,11,181818,2890,10203,1795,7346,705373,T
430977052,3415,3,720565,5640,40813,897,5389,705868,F
623533626,1467,143,356481,1492,34691,897,7278,705225,F
092170775,3606,616,861834,2141,21025,2244,4766,705364,T
894641848,3543,617,418074,2188,8565,448,9565,705431,T
353278465,1436,28,165140,2230,40813,2244,7257,706046,T
722354976,3638,601,207366,3097,8895,448,5298,705826,T
403795930,1428,5,197064,1606,7541,2244,4818,705390,T
070546585,3687,604,73740,9376,13342,897,4764,705861,T
082633759,3316,21,497400,4886,21682,897,4817,705404,F
427455251,3651,604,627972,5687,23127,1346,6927,705223,T
127675315,3420,28,670320,2223,7079,448,7509,705624,F
099426165,3356,1,684624,4336,11190,2244,6840,705446,F
468253512,3364,17,144652,1613,24779,1795,9120,705190,F
144270607,1422,25,137934,3750,17790,1795,4614,705173,T
437585118,3624,595,467496,1708,9129,448,5407,705894,T
671236729,3326,9,788262,5830,7624,897,9876,705830,F
057315772,1430,13,71500,1555,8895,897,4560,705171,T
383202475,1195,20,83650,1644,11374,897,4698,705933,T
