userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
997446389,254,5,17272,1340,4090,1894,7483,415179,T
919686489,4733,53,672086,909,5100,1420,5671,414344,F
739581125,266,26,20482,2533,4970,1420,10219,414526,T
712157520,4780,26,86040,859,6770,1420,7144,414828,F
943372148,3852,532,392904,1036,10908,2368,5134,414388,T
197447552,4706,40,767078,813,12272,1894,7438,414446,F
257766400,4768,16,352832,1737,13541,947,4712,414731,T
925515362,4089,421,834156,4462,43633,473,7334,415136,T
438586397,4648,17,697200,1577,4133,473,5724,415042,T
896168322,3782,532,37820,791,9817,1894,7525,414689,T
020526005,269,1,5649,1818,26180,1894,5521,415082,T
467769069,3700,526,114700,814,4177,2368,5059,415136,T
757275446,4713,23,876618,1397,6041,2368,4993,414783,T
565948727,4693,41,1154478,2157,9132,1894,7089,414309,T
732046321,3801,529,843822,1200,8355,1420,5161,414666,T
849336718,132,21,6732,1317,5775,2368,4906,414377,T
279925115,253,1,4554,5531,9350,473,5422,414439,T
779819840,105,9,4935,1030,4513,947,5043,414588,T
892700109,285,10,68400,1776,16362,473,5218,414454,T
557256653,211,1,49374,1906,11220,947,5341,414936,T
599835476,4736,52,1041920,2952,4566,1420,4837,414980,T
781087393,4743,39,948600,1596,5034,947,10088,414886,T
689361547,173,24,26815,3300,11900,947,5063,414615,T
030459378,3786,552,620904,1714,8181,947,10137,414292,T
440638453,263,18,19725,2310,8726,1894,4772,414409,T
643452707,131,1,10218,853,4513,1894,7279,415094,T
528588390,152,8,3800,1033,7272,1420,7323,414434,T
371538824,4651,39,483704,863,6333,1420,10263,415017,F
710165318,4660,24,466000,2533,6333,1894,7812,414632,T
922430873,3867,530,297759,994,11900,1894,9682,415110,T
858869711,3866,526,247424,863,56100,473,7205,414457,T
025160976,219,14,14016,1118,8355,1420,10084,415104,T
910552014,3869,536,143153,2583,3966,1894,8057,414951,T
138968114,106,9,10918,1745,8537,1894,5732,414623,T
582650923,3814,539,659822,989,7140,1420,7782,414288,T
413320465,1998,21,443556,892,5861,473,7742,414777,F
615501487,4636,38,839116,1283,28050,2368,7535,414728,T
311549811,3838,552,383800,926,9578,473,9535,414378,T
564951262,4596,34,1084656,872,10334,947,4950,414597,F
288576016,191,12,16044,4908,4007,473,4847,414618,T
036063458,3758,551,834276,840,26180,2368,10384,414552,T
014873114,3872,534,263296,1044,7140,1894,10041,415057,T
424122841,4519,60,1129750,5306,8537,947,10422,414632,F
452476623,4691,40,1060166,2310,4566,2368,4955,414553,T
649347802,4643,23,92860,1344,9132,473,10341,414529,T
487798743,246,28,18450,1835,9350,1894,5414,414700,T
879826136,3779,540,139823,786,28050,2368,9457,414409,T
686804635,281,7,37373,1387,4363,1420,9816,414886,T
457000118,3803,519,68454,1064,7012,2368,9593,414982,T
984570671,4778,25,1055938,1144,10334,473,5512,414752,T
820500363,129,26,21414,928,4048,473,7971,414768,T
