userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
665982797,401,26,24862,876,1818,1894,10117,414955,T
540006225,4830,35,144900,876,32725,947,5462,414387,F
517643484,3891,545,245133,876,996,1420,7638,414502,T
013538039,2197,65,127426,876,1064,473,8015,414730,F
791720552,4746,53,379680,876,2013,947,5417,414522,F
130570949,3965,525,118950,876,911,1420,10188,414312,T
667774917,3687,546,129045,876,35700,473,9694,414448,T
146386152,4628,68,152724,876,2024,473,5663,414589,F
821668295,3805,533,159810,876,2013,1894,7751,415006,T
207968021,2108,37,168640,876,1012,947,10205,415071,F
489055600,3831,574,176226,876,1897,947,7187,414346,T
035422203,4792,24,210848,876,1200,947,10138,414490,F
121229214,323,54,26163,876,3044,473,7786,414716,T
748255766,4755,70,432705,876,1052,947,5653,415026,F
958115098,3829,543,233569,876,1504,947,9615,414704,T
557230527,2095,76,180170,876,833,473,5345,414845,F
058368631,3742,547,254456,876,1058,473,9675,415083,T
318377140,4763,21,119075,876,2785,1420,7476,414474,F
996915349,3907,530,160187,876,823,1894,7340,414951,T
957480111,4765,23,114360,876,24544,1420,7329,414285,F
051258018,4874,68,165716,876,796,473,4886,414510,F
193970651,3723,537,223380,876,23100,473,7137,414744,T
179485858,3869,542,282437,876,1087,1420,4854,415054,T
834858508,4597,37,110328,876,1219,473,9845,414852,F
552490481,3815,587,244160,876,65450,1894,9561,414308,T
936590720,2168,55,43360,876,3850,473,9938,415232,F
373224024,330,35,8580,876,6136,1420,8035,414717,T
033352677,4759,31,133252,876,5950,473,8028,414257,F
655667251,3775,542,320875,876,1064,2368,5243,415095,T
628787346,4684,39,252936,876,1179,1420,7770,414743,F
892853612,3718,574,223080,876,1103,2368,7790,415207,T
882324802,2227,37,122485,876,1589,473,5103,415056,F
953276596,3833,550,168652,876,2533,1420,5304,414403,T
775739420,4810,65,481000,876,1025,947,7644,414918,F
947392536,275,29,7700,876,2296,947,9464,415111,T
187685072,4700,55,333700,876,1387,473,10069,414780,F
976683896,122,36,9516,876,1589,1420,7825,414720,T
955880228,4694,43,103268,876,981,947,9876,414410,F
812278928,382,2,17190,876,848,947,10219,414823,T
023141430,2114,41,131068,876,1017,473,9476,415231,F
773980678,4816,18,375648,876,1047,1420,10414,414490,T
920420421,4834,31,193360,876,1004,1420,7713,415192,F
253895738,226,57,11978,876,1953,2368,5328,415049,T
172332332,4675,25,182325,876,1250,473,9762,415189,F
858202143,228,34,8436,876,974,473,7170,414797,T
975092104,4679,67,453863,876,1861,1420,5409,414548,F
057741984,4615,64,373815,876,13090,1420,4799,414951,F
765400945,3748,541,273604,876,9132,947,9439,414266,T
166576239,4819,28,313235,876,939,947,4929,414475,F
543398876,2086,11,141848,876,790,473,8074,414348,T
865894190,3729,547,104412,876,793,1894,9586,414832,T
218906876,1975,45,158000,876,917,947,8069,414553,F
733407451,3916,564,93984,876,3475,473,10321,414420,T
832676615,4682,43,131096,876,5034,473,5106,414503,F
331040253,3876,585,275196,876,14544,947,7232,414700,T
812894931,4818,39,187902,876,819,947,9640,415205,F
786125563,3715,573,237760,876,960,473,9809,414476,T
470231423,4807,35,158631,876,1300,947,5710,414355,F
515526057,3705,529,103740,876,7140,947,10116,415105,T
449258283,2056,21,191208,876,1215,473,9997,414585,F
031617060,2133,43,51192,876,30208,473,7420,414317,F
662884843,3940,572,260040,876,2469,2368,5629,414638,T
601855574,3911,538,258126,876,2517,1420,5675,415162,T
127423289,4652,70,148864,876,6041,947,4735,414761,F
921212147,3861,584,386100,876,2003,2368,9906,414444,T
483701596,4706,34,296478,876,1870,947,10398,414409,F
683857844,363,2,17787,876,1449,1894,7480,414953,T
014186574,2088,69,64728,876,5454,473,5542,414670,F
378614498,3904,571,242048,876,7012,1894,10149,414496,T
211664730,4665,67,387195,876,7854,473,5279,414434,F
322274935,3795,549,223905,876,3116,1894,7554,414352,T
509003409,4761,45,147591,876,833,473,5598,414287,F
902109140,3865,531,135275,876,819,1420,7502,414526,T
715925040,4602,29,446394,876,3218,1894,5063,414483,F
794931103,3797,570,315151,876,5236,473,4967,414534,T
923732244,4855,46,106810,876,6545,1420,7175,415226,F
985929735,118,58,7552,876,1158,2368,5215,414633,T
848194877,2136,42,76896,876,2323,473,7789,415081,F
811176805,2070,51,153180,876,786,473,9426,414920,F
998241868,4835,18,343285,876,7409,1420,7224,414455,T
827058218,4722,49,311652,876,9578,947,7710,415157,F
659752471,3918,535,336948,876,2310,947,7431,414677,T
406038985,121,41,9559,876,1313,473,5484,414298,T
886789872,4688,79,271904,876,5167,947,4759,414396,F
146218154,2240,14,154560,876,1064,473,5550,414436,F
245808838,122,23,6588,876,1155,947,5482,414724,T
121305862,3909,565,183723,876,1412,947,7578,414764,T
872141327,1969,50,190993,876,7700,473,5237,414498,F
034204007,173,2,10899,876,19635,473,10167,414400,T
046444920,2154,27,94776,876,2866,947,10208,414918,F
106364007,4761,61,242811,876,7140,947,5015,414920,F
414323473,338,13,12168,876,801,473,5366,415177,T
795246037,3898,536,300146,876,18700,947,7226,414944,T
389721514,4668,26,401448,876,3020,473,9624,414280,F
820747196,3783,587,336687,876,981,2368,7800,415030,T
367601320,4876,49,97520,876,1036,473,7476,414398,F
744314286,269,33,25824,876,2845,1894,9559,415095,T
458694332,2138,64,181730,876,846,947,5236,415242,F
976056624,3883,582,120373,876,876,947,9824,414459,T
347424716,4662,73,363636,876,1344,1420,5544,414847,F
