userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
239094061,379,20,93613,408,14143,746,8210,158989,T
443205650,1349,4,174021,1555,11967,373,7499,158979,T
478264832,375,3,55875,355,2469,373,6287,159204,T
737982652,2233,461,285824,1376,5556,373,8390,158658,T
303301588,370,8,70300,385,1587,746,6282,159086,T
990146057,2334,445,123702,694,11112,1119,5939,158901,T
540084361,2924,20,681292,440,12964,746,4615,158931,T
170905517,128,11,19072,899,5762,1865,4121,158520,T
860774323,2235,483,333015,1285,1897,1865,8005,159327,T
329762442,1263,18,77043,1307,1852,1492,3751,158441,T
342400730,2245,457,300830,845,2592,1492,7863,159302,T
579080578,417,6,36279,1401,7408,746,3987,158883,T
728178243,398,1,95918,561,2357,746,8116,158416,T
160097465,1379,7,89635,587,7408,373,3754,158901,T
217998919,2374,456,251644,319,2469,746,3907,158416,T
875579255,1316,10,101332,1809,1620,1492,4299,158891,T
398730497,2364,452,413700,359,1767,1865,8437,159338,T
881272466,2336,463,336384,605,5364,373,4074,158543,T
147560671,488,1,106384,547,5762,746,7583,158615,T
792148434,1376,3,119712,762,6764,746,6101,159242,T
938345141,385,1,80080,1169,2778,1492,4044,158545,T
698823323,398,7,99500,341,1555,1492,3707,158395,T
294380479,1381,8,23477,723,2430,373,6375,158972,T
526426578,2232,452,82584,920,3050,746,7497,158655,T
420193244,2227,465,151436,580,6222,746,6503,158624,T
503894769,2370,462,348390,926,3535,1865,7532,158476,T
969135579,1306,18,113622,457,1788,746,3782,159277,F
203233649,2357,475,58925,697,2287,373,5748,158361,T
347992477,456,20,92568,320,1637,1119,8257,158608,T
540704862,2396,444,325856,338,3050,1865,3956,159063,T
400991064,2339,466,451427,543,14143,373,6592,158684,T
855007899,375,1,17625,464,4204,373,5795,158444,T
375869737,2285,446,274200,477,9151,1492,8191,159091,T
227260709,460,3,39100,340,1620,1492,6053,159142,T
988468467,2393,447,229728,730,2222,1865,5741,158866,T
229399831,2309,467,498744,313,9151,373,7684,158368,T
319406029,428,6,6848,24,163,971,2546,7774,F
156832065,2329,472,27948,593,1691,746,6323,158724,T
304583841,487,1,26298,559,3241,1492,7505,159329,T
783914593,432,1,71712,332,1620,373,6089,159140,T
121333011,26,20,2886,915,6482,1865,4698,158621,T
497074370,2355,470,219015,1587,11967,1492,8381,158963,T
983224093,2851,33,655730,561,2935,1119,5734,158932,T
621080689,436,1,24852,960,14143,1119,4025,158721,T
746593867,501,1,52104,538,1788,746,8276,158722,T
351794966,461,21,106491,793,19446,1492,6172,158483,T
285904798,1235,1,293930,318,4321,373,3893,159291,F
814583294,442,21,46410,1788,2778,1119,6242,159065,T
481851476,110,13,10890,389,9723,1865,3987,158895,T
776289019,521,15,45848,510,3457,746,7916,158701,T
292125863,2272,455,436224,324,2254,1865,4535,158685,T
380284528,1331,1,119790,470,5018,373,3931,159189,F
754789794,2344,466,318784,372,1809,373,8210,159080,T
439338191,351,26,47034,489,3794,1119,5774,159158,T
050216825,2347,451,46940,1510,2160,1119,6092,159176,T
539977104,357,1,60333,1329,2322,746,8134,159307,T
820842773,2332,473,438416,984,10371,1865,3840,159255,T
989912779,436,1,24852,338,3889,746,6281,158987,T
971174012,515,2,97850,720,6764,1492,4047,158905,T
817002108,1255,1,267315,629,6764,1119,8399,158361,T
527887591,2366,474,125398,365,4575,1865,8130,158656,T
560344006,408,4,96696,428,3174,1119,6360,159317,T
027631921,17,3,2023,518,7778,1865,4504,158809,T
258724754,5,1,210,781,2131,1865,7965,158710,T
599029949,378,6,12852,318,2131,746,3800,158571,T
372334363,500,1,28000,569,19446,746,5636,158407,T
707547874,2257,467,340807,449,2322,1492,6512,159012,T
