userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
568559817,2300,507,220800,426,31114,373,4569,158668,T
038425493,1528,44,68760,426,610,373,5554,159104,F
324719991,2504,474,197816,426,458,1119,6168,159115,T
875637023,1516,49,92476,426,2550,746,8098,158564,F
086398630,2389,475,119450,426,379,746,3900,158360,T
219413014,1336,28,130928,426,2222,373,5787,159143,F
395926988,2259,488,110691,426,493,746,4099,159338,T
066608078,1396,47,128432,426,9723,746,4180,159146,F
394491288,589,9,12369,426,874,1119,6426,158356,T
192988941,1245,39,104580,426,2254,746,8357,158887,F
205220754,2486,502,206338,426,954,1492,3914,158393,T
037667100,1418,1,121948,426,376,746,6506,158573,F
697208948,524,26,22008,426,1672,373,8076,158553,T
304969501,1295,1,64750,426,942,373,8150,158944,F
477778259,2507,449,190532,426,430,1119,6308,159105,T
012890569,1357,10,90919,426,5556,746,7747,158970,F
812798703,421,23,41679,426,420,373,6506,159040,T
788722653,1261,1,51701,426,551,373,7507,158556,F
976835240,1470,55,35280,426,1254,373,5592,158732,F
540334768,83,41,2988,426,2074,1865,6425,158912,T
219097794,1469,27,42601,426,1169,373,4581,159005,F
430827120,2476,481,198080,426,340,1119,5896,158592,T
830139281,142,50,9088,426,373,1865,8002,159104,T
113025150,1237,8,76694,426,438,373,7537,159278,F
921395364,493,5,26622,426,540,1119,8155,158918,T
074994426,1441,1,33143,426,1994,373,3740,158939,F
909285122,2429,469,121450,426,3989,1119,4341,158512,T
266856568,1479,12,90219,426,954,746,3836,158496,F
591788576,2388,448,181488,426,363,1119,8176,158753,T
031374476,1296,46,44064,426,332,373,8313,158773,F
344290474,353,19,16238,426,25929,1492,7579,158351,T
158964581,1520,1,66880,426,5364,373,6397,159135,F
006462207,2320,447,62640,426,1852,746,3933,158956,T
124195255,1391,1,115453,426,430,746,7616,158466,F
966692606,2292,451,66468,426,540,746,7827,158638,T
991756216,1281,13,115290,426,426,373,8083,159197,F
869547728,514,41,45232,426,8643,1492,6475,158350,T
814317114,1526,47,137340,426,1080,373,4669,158705,F
920281131,386,1,29722,426,1275,373,8431,159186,T
929631024,1417,31,138866,426,6764,373,6240,158461,F
671188328,2340,471,180180,426,1809,1865,4066,159080,T
685872831,1347,14,87555,426,740,373,3957,158494,F
935395156,544,19,34272,426,342,1119,7724,159221,T
561968402,1265,36,121440,426,607,746,6317,158516,F
384187322,374,55,14212,426,498,1492,7671,158455,T
285054226,1328,48,59760,426,324,373,3921,159195,F
769949766,2363,513,87431,426,2074,1492,5941,159038,T
550071119,1273,11,126027,426,1307,373,8345,158580,F
161957873,345,34,26565,426,360,373,3892,159137,T
412746248,1344,45,76608,426,645,373,6153,159030,F
807274696,346,18,34254,426,1655,373,3884,158457,T
175430547,1440,1,113760,426,318,746,7731,158588,F
512603255,2342,485,196728,426,405,1119,6148,159168,T
644021145,1531,55,133197,426,356,746,6573,158418,F
111482922,2276,513,129732,426,1510,373,4133,158735,T
579378685,1246,3,26166,426,1215,373,6058,158542,F
577468305,2263,444,74679,426,319,373,6137,158675,T
110362918,1248,17,49920,426,345,373,4155,158840,F
885504842,441,1,43659,426,720,746,4069,158854,T
548972287,1500,9,114000,426,9723,373,6449,158842,F
205066166,2374,456,73594,426,874,1865,6445,158583,T
241898314,1484,2,114268,426,713,746,3858,159055,F
298621873,361,54,25270,426,1003,1492,7535,159338,T
524282967,1251,7,108837,426,679,373,4141,158671,F
811292025,2451,455,218139,426,355,1865,3910,159027,T
296334447,1368,56,105336,426,3704,373,3928,158760,F
434226717,2371,480,237100,426,398,1119,8173,158854,T
968815424,1280,16,44800,426,419,373,8173,158442,F
875476605,2294,445,50468,426,440,373,4636,158745,T
382525139,1531,1,142383,426,1285,373,7892,158442,F
810019679,2247,468,224700,426,789,1492,6130,159190,T
869119265,1343,56,92667,426,370,373,4080,158352,F
889132966,2371,480,218132,426,774,1492,6239,159302,T
229207830,1440,7,128160,426,1389,373,7975,159333,F
973088423,614,29,54646,426,2935,746,4099,158988,T
245467135,1518,47,135102,426,1994,373,4059,158388,F
606590766,1526,31,129710,426,2102,746,7683,159192,F
866108062,2373,493,170856,426,948,1119,8044,158814,T
234666941,1498,1,89880,426,394,373,8230,158983,F
050585392,2293,501,144459,426,619,1492,6477,158913,T
264423514,7,1,175,426,543,1865,3976,159155,T
536431487,1430,19,67210,426,4444,373,8440,158629,F
971113535,500,28,11000,426,322,373,7832,158437,T
610491171,1293,50,71115,426,351,373,7619,158642,F
819117688,2407,506,156455,426,345,1492,4437,158899,T
890387487,1495,54,49335,426,569,373,4539,158366,F
734694159,1360,12,63920,426,403,373,3945,159080,F
910457871,578,35,57222,426,361,746,6433,159329,T
258110044,2391,478,224754,426,387,746,4295,158630,T
350819712,1532,28,110304,426,587,746,4171,158687,F
502051830,254,5,7366,426,375,1865,6039,159304,T
573235774,1520,48,97280,426,2254,746,6473,159284,F
969564395,108,24,5184,426,1072,1865,5551,158638,T
725886189,1298,54,72688,426,1525,373,7770,158932,F
959015492,2427,494,72810,426,516,746,5550,158432,T
900261930,1465,1,96690,426,3535,746,6488,159047,F
529048073,2260,513,149160,426,330,1865,4598,158639,T
362983441,1349,29,98477,426,571,746,7624,158821,F
562783987,1359,44,66591,426,1440,373,6229,158906,F
815505240,2438,456,153594,426,619,1119,4562,158887,T
