userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
228629949,3145,26,320790,1730,6795,1986,4019,284205,T
035017293,2391,261,557103,746,5804,1589,1599,283651,T
435665098,238,2,19040,644,12113,1191,2527,284218,T
421754241,396,3,13464,668,4803,397,4073,284448,T
643996786,2373,267,363069,3277,18574,1589,3310,284283,T
810892538,3027,9,105945,904,2964,1191,3637,283786,T
643518596,2602,89,156120,767,6965,397,4159,284092,F
811345591,2388,275,472824,2872,3618,794,2962,283535,T
030630535,2712,69,423072,1583,8194,397,2345,284095,F
623792879,2424,275,94536,1051,3439,1191,1682,284304,T
374117110,283,1,67354,1482,39802,397,3141,283680,T
728904269,2479,260,557775,967,4422,1191,3562,283876,T
977987085,2401,273,168070,2381,4221,397,1946,283577,T
273854894,2977,20,351286,660,15478,794,2189,283533,T
524035217,222,13,47508,1084,34827,397,2244,284226,T
436771832,3020,13,516420,701,39802,1589,1844,283729,T
434396248,2512,276,517472,687,3316,794,2310,283852,T
759337765,3010,9,457520,746,7960,1986,4158,284267,T
897406500,3116,1,330296,796,3061,1986,1996,284168,T
912382628,2517,276,417822,796,3277,1191,2563,283499,T
626116279,2481,261,322530,628,7144,794,3625,283591,T
248924330,2398,280,517968,964,5928,1191,4124,284327,T
050294799,236,1,38704,1489,7332,397,3286,283724,T
727163972,3077,25,553860,701,3239,1191,2885,284250,T
606567189,2521,291,393276,1123,5159,794,2922,284230,T
251680453,2751,65,214578,3028,2843,1191,2527,283819,T
388939482,2437,262,68236,1530,3202,1986,2866,284354,T
165277915,2359,271,318465,1266,3714,1191,3836,284329,T
901455069,227,2,30418,1079,5256,1191,2337,283559,T
727952829,2690,71,653670,723,55723,397,3025,283657,F
187409262,2496,275,591552,729,39802,1589,1635,284417,T
436192075,3098,2,309800,558,11144,794,2287,283987,T
633649303,271,8,41463,605,9287,1986,2427,283585,T
358447616,3126,4,503286,1428,6965,794,3164,283544,T
966078595,219,1,43581,560,8706,397,2564,284402,T
416689810,348,1,83172,596,27861,1191,2605,283773,T
793402573,2676,78,246192,904,6795,397,3624,283880,F
675697099,2363,252,337909,2381,3666,1986,3740,284245,T
115896881,2438,257,182850,2321,7530,397,1729,283508,T
656456467,2635,73,358360,575,4037,397,1762,284478,F
280103987,3041,14,264567,1255,2814,1589,2475,284340,T
045380484,2529,272,260487,570,5065,794,2393,283617,T
089533869,2990,23,445510,574,8194,794,3998,284268,T
804944442,2716,72,59752,2193,8194,1589,3194,284086,T
318899326,330,1,5610,601,5256,397,2356,284490,T
677871266,3159,34,306423,671,12664,1986,3475,284460,T
578053629,2485,264,569065,3439,4097,794,3263,283655,T
576507356,2532,264,589956,925,3666,397,2577,284061,T
784235417,2710,64,192410,557,3028,397,3194,283779,F
045683879,3143,27,276584,901,8987,1191,3960,283547,T
583657731,222,16,23976,1289,18574,397,2411,284361,T
688300576,2787,53,264765,1039,13267,397,2342,283697,T
135254177,3027,30,90810,1211,3618,1191,2589,283620,T
535555142,2658,90,486414,1151,2995,397,3698,284422,F
804712770,392,1,94864,995,3316,1191,2558,283728,T
845685888,2675,77,580475,1895,3166,1986,2302,284031,F
881515361,2681,79,201075,1146,3618,397,3357,283571,F
554653370,214,5,42586,568,16389,397,2696,283706,T
205318351,2540,289,312420,646,25328,1589,3557,283612,T
313318862,2374,270,344230,1156,5686,794,1626,283600,T
907220303,3022,5,169232,2110,19901,1589,3655,284233,T
076887471,2691,72,325611,2731,3618,1191,3342,284352,T
881837006,2344,265,407856,649,2995,794,4162,283847,T
122607815,352,13,80960,916,3095,397,1610,284278,T
283148231,2456,278,532952,1063,5463,1191,2482,284043,T
944736256,251,15,22590,1869,5463,397,3363,284182,T
180532132,2542,286,226238,767,3765,1191,2454,283963,T
251805072,368,1,10304,640,5572,794,3865,283706,T
516137083,217,11,27125,603,3526,397,3805,283778,T
207409931,2467,266,138152,658,4097,794,2505,283611,T
313202833,4501,84,778673,849,27861,1589,2858,284347,T
786719449,2470,261,37050,913,3816,1191,1959,283614,T
697760226,2427,286,26697,2556,7332,1191,2060,283929,T
211119222,2420,281,331540,1170,8706,794,3387,283905,T
559779872,2607,59,31284,1774,3239,397,3895,284223,T
521728629,2638,66,350854,1249,4097,1191,1582,283844,F
298775067,2430,252,476280,1610,4286,1191,3058,284486,T
147121355,2665,65,562315,1629,2872,794,2392,284082,F
831715498,354,6,24072,1990,4493,397,1878,284228,T
487082688,2759,90,518692,2653,3202,1986,3352,284045,T
695649266,2486,273,457424,977,9950,1589,1621,283487,T
035188786,2422,275,462602,1908,6479,794,4002,283882,T
070013950,2407,270,235886,2444,3816,397,2350,284437,T
695356900,2502,267,45036,652,3130,1589,2366,284456,T
744027464,2663,87,330212,3482,7332,397,1849,284044,T
713930094,2975,24,467075,633,8987,1589,3248,284149,T
218297535,2424,254,552672,3666,23218,794,1916,283878,T
854375814,2975,6,38675,627,5358,1986,3144,283944,T
208534448,2509,255,524381,2176,2902,1191,2076,283684,T
405806081,3103,28,164459,1170,3439,1986,3447,284427,T
673057787,324,1,77760,570,5572,794,3322,283583,T
560989690,240,6,40080,712,2995,397,2363,284459,T
677659762,334,17,52438,594,4353,794,3687,283674,T
730183877,3064,27,493304,1013,3028,397,3187,283761,T
846086457,2791,51,583319,763,34827,397,1907,283614,T
653920907,2397,278,160599,3816,10319,1191,1755,283559,T
370068439,306,20,8568,998,18574,794,1947,283636,T
258634863,2517,265,395169,865,11609,1191,1783,283597,T
527695032,226,18,23278,831,14664,397,3990,284127,T
347957535,2507,262,47633,2902,7960,1191,2689,284075,T
590273226,3030,32,433290,576,3714,794,2891,284190,T
787533403,2965,19,696775,600,18574,1986,3358,283682,T
655599860,334,7,57114,1458,8194,794,3202,283697,T
188074653,2520,270,504000,729,3980,1191,3265,283606,T
149479523,2467,275,421857,694,3356,397,3704,283548,T
525412099,2469,288,318501,954,2995,397,1898,283572,T
988825704,3146,27,572572,1709,3239,1589,3102,283994,T
148449819,2761,67,55220,1458,5686,794,2515,283995,F
090353181,2428,254,305928,1308,2932,1986,1996,284387,T
544842931,219,5,26718,910,4803,1191,1936,283658,T
472914178,2659,67,202084,1372,11144,397,1924,283490,F
158058515,2745,58,521550,727,2814,397,2347,283771,T
595580931,2605,67,375120,1118,11144,1191,1875,284383,F
946377916,3095,3,708755,3869,8194,1191,3696,284078,T
217410500,2416,255,328576,1260,3166,1191,3934,284325,T
879125830,2523,280,630750,657,4643,794,1710,283618,T
663651960,2965,2,560385,616,7332,1986,2795,284160,T
890330903,3108,39,217560,655,4567,1191,3505,284240,T
658388356,3138,29,721740,712,23218,397,3233,284326,T
434086906,276,1,55200,964,8194,794,2201,284465,T
576957816,389,16,44735,852,3526,794,1703,283856,T
917569217,2437,262,597065,1648,3439,794,4075,283671,T
402538660,3145,30,647870,1105,4158,1986,2437,284443,T
913157832,2600,71,525200,3061,9607,1986,1996,284081,T
150749535,2779,90,564137,1039,7739,397,3187,284486,F
805656482,3133,19,761319,572,3869,397,2422,284059,T
811720978,2730,79,141960,2401,4567,1986,2664,283987,T
681359657,2785,71,38990,3239,8987,1191,2203,284389,T
342181043,2477,252,294763,1339,3765,1191,3667,284057,T
393483250,371,7,84588,617,3618,397,1750,283684,T
589677678,3076,14,476780,578,4975,794,3312,284101,T
326636289,2415,270,432285,666,3130,1986,3433,283622,T
032755614,4392,119,970632,669,39802,1191,2392,283698,T
432481452,2440,258,358680,578,3166,1986,3385,283636,T
640893874,3146,31,364936,569,23218,1589,2869,284485,T
100957897,3139,17,326456,613,5804,794,2454,284052,T
316419212,2437,288,238826,922,3130,1191,2236,283934,T
616687456,218,1,46870,565,3239,397,2775,283772,T
223157269,278,1,41422,839,12664,1986,2147,283765,T
374119950,4432,105,890832,2079,25328,1191,3016,283482,T
506371469,3141,37,483714,844,8442,1986,2446,283843,T
639245369,2992,30,631312,1059,4975,794,2471,283574,T
758669893,2422,271,26642,867,9287,794,3608,283837,T
266959225,3057,11,48912,836,3666,1191,2130,284184,T
195511165,2671,83,486122,809,2872,397,2203,283860,F
240583689,360,1,64080,1128,34827,794,3213,284104,T
742641676,262,21,35632,1101,3202,1191,2622,283933,T
880067514,4458,90,588456,560,30957,1589,2239,283756,F
083347144,3151,11,510462,655,15478,1589,3276,283711,T
756021029,2416,271,369648,1227,7739,794,2716,284288,T
317291274,389,1,35399,608,2964,1986,2426,284167,T
299662106,2500,281,600000,1063,10319,1191,2340,283610,T
419218995,3081,35,172536,913,2902,1589,3165,283667,T
232522455,2513,255,432236,1096,3095,1589,2599,283827,T
330658520,2384,265,314688,718,4286,397,2509,284169,T
951564488,2961,36,615888,710,3202,794,3158,283920,T
281453286,2421,279,72630,928,14664,1986,3365,283868,T
584488851,3161,38,101152,802,5358,1986,3480,284194,T
033035410,2391,276,241491,1222,14664,1191,2730,284326,T
936106393,296,1,24864,1071,3356,1191,2933,284301,T
209099575,2432,285,459648,1105,21432,1986,3754,283895,T
143638513,2413,285,33782,1092,4097,1986,1996,283575,T
540307727,257,11,26985,672,3526,1191,2440,284432,T
847014518,326,1,73350,1092,4221,794,1592,283656,T
922204005,2531,288,194887,1055,2786,1986,1987,283532,T
160072438,2403,260,192240,608,3439,1589,3160,284126,T
123814363,3037,15,340144,2422,3439,1589,2326,284340,T
361715587,3023,19,628784,1123,6633,397,3411,284318,T
838878198,3068,24,199420,1039,4037,1986,3911,283954,T
244012242,292,10,5256,1295,5358,1191,1606,283721,T
096960129,4553,92,824093,2381,6332,1986,2335,284421,F
878341333,4469,97,612253,867,30957,1589,1825,283848,T
287675116,2418,279,200694,3277,3202,1191,3187,283792,T
081653603,2972,7,716252,1222,14664,1986,1996,284201,T
279646177,307,7,34691,700,14664,1191,2563,283538,T
224930299,2469,257,348129,1002,4221,1191,2883,284413,T
205773157,4473,111,621747,1079,46436,397,3800,283551,T
840228178,350,1,33950,1165,16389,1986,2511,283927,T
753165420,2362,289,462952,1024,4493,1191,3130,284411,T
329170640,368,1,16560,1698,2932,1191,1803,284362,T
234478056,2968,13,531272,998,30957,1589,3866,284281,T
809019636,2389,289,398963,1084,14664,1589,1599,284130,T
374437710,2674,75,526778,1114,3869,397,3437,284141,F
985507647,3029,12,308958,1882,15478,1191,3573,284168,T
874842334,2465,281,229245,3666,6056,1191,3586,283531,T
063955282,2733,90,650454,3130,6332,794,3824,283994,T
206091419,2790,69,304110,607,6795,397,3864,283637,F
517069889,2657,81,587197,605,25328,397,2346,284314,F
980901152,273,1,26208,2033,3869,1589,2219,284123,T
734831519,2613,71,467727,3816,3095,794,3121,284235,T
019944983,2668,73,290812,753,3765,397,2498,283941,F
439567605,2348,252,58700,1797,10319,1986,2876,284319,T
091817500,2463,253,497526,1466,4888,1191,3137,284225,T
041807779,214,1,3852,757,7144,794,3510,283524,T
898454421,4402,102,757144,1400,21432,1589,1884,284232,T
223728547,2525,287,85850,1668,4803,1191,2231,284436,T
904624295,307,1,49427,1506,4158,397,3298,284185,T
110745661,2699,71,277997,2926,7315,493,1165,288597,T
968948350,2450,264,367500,582,4286,1986,3719,284025,T
886836926,3089,31,762983,1088,2964,1191,3269,284439,T
388703499,2515,261,306830,664,11609,397,2391,283896,T
870754548,2361,289,337623,723,8194,1191,3193,283680,T
331331589,2732,70,267736,1658,30957,397,2385,284357,F
150691476,2379,279,121329,573,25328,1191,2193,283995,T
896622310,2413,265,434340,1232,3316,1191,2482,283751,T
074017755,3054,11,586368,1190,4037,1191,4030,284262,T
132344928,404,1,60600,707,14664,397,2301,283923,T
352323861,3048,5,335280,631,8194,1589,2934,284441,T
235672385,3126,19,609570,716,8987,1191,4012,284379,T
597273952,2533,275,233036,573,3765,1589,2051,284048,T
123924774,250,1,45500,1629,11144,1986,2492,283741,T
799279411,2763,61,458658,1232,15478,397,3137,283873,T
364290747,354,17,63012,657,7960,794,2989,284017,T
340313132,377,1,18096,1547,30957,794,2682,283765,T
905381334,260,1,56420,612,2814,1191,2024,283620,T
311394212,2375,262,372875,1278,8987,1589,2680,283845,T
942086078,3145,37,210715,677,4286,1191,3233,284226,T
883841675,2770,75,609400,2705,3816,1986,3235,283732,T
363737820,224,22,48608,1436,7530,1191,1939,284388,T
215235545,3129,24,553833,582,4097,794,3602,284402,T
913792064,222,1,52836,1948,11144,1191,2477,284322,T
248610560,2385,278,217035,1522,7144,397,3640,283974,T
083600402,3057,27,253731,934,3765,1986,3527,284484,T
909135283,2788,78,683060,2283,13930,397,3532,283909,T
412089977,2437,290,265633,3666,13267,794,3833,283527,T
598150299,2970,39,109890,578,15478,1589,3569,283620,T
009070025,3119,8,580134,1921,4803,1589,3582,284471,T
901323444,3123,3,221733,557,3277,1191,3223,284011,T
515206088,2544,255,279840,1556,4158,397,1874,283737,T
969284033,3133,18,670462,1547,2932,1986,3730,283782,T
347543296,2614,80,360732,3439,3526,1589,2891,284098,T
930261921,3137,13,241549,572,23218,397,3505,283734,T
238564682,2440,266,78080,1002,6795,1986,3325,283635,T
763571642,371,1,78281,901,5804,1191,2518,283608,T
280299807,2975,12,502775,654,3202,1589,3070,283696,T
583009316,402,12,50250,944,27861,397,3720,284438,T
269802655,328,21,79376,1301,3439,794,1636,284449,T
328108782,2977,36,422734,784,2872,1589,1776,284443,T
948586857,3097,21,665855,1009,6056,397,4173,283780,T
895838853,345,1,4485,1079,3816,794,2066,284023,T
010371391,2379,259,92781,626,12664,794,1705,283698,T
761510517,217,1,30380,1658,3765,397,2612,284435,T
047744257,291,1,15132,1352,2995,397,1584,284171,T
213669015,2538,279,378162,1474,4722,794,2666,284194,T
497134098,2495,289,573850,750,5804,397,3144,283996,T
543036199,3147,11,270642,784,3526,1589,3793,283558,T
780831452,2713,60,477488,2228,9950,397,2334,283699,T
734958679,3122,14,377762,663,3869,1986,3760,284055,T
287935682,2382,261,307278,2159,7530,1191,1734,283766,T
825178374,2668,72,648324,1339,4975,794,3643,283645,F
795083918,2721,74,565968,859,7960,397,2443,283829,F
134416069,2407,254,134792,957,5159,1191,2473,284474,T
967250547,213,19,22152,608,4221,1191,2554,283574,T
034639116,2518,253,400362,931,3618,397,3266,284444,T
971544453,2983,40,680124,1249,8442,1986,3258,283843,T
547126744,3010,12,153510,1105,4722,1986,2733,284219,T
