userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
805016337,2625,291,70875,716,579,794,4139,283937,T
899816944,2826,90,155430,716,1730,397,3286,284209,F
232871776,3092,21,108220,716,19901,1589,2356,283676,T
086174374,2843,67,261556,716,658,397,3280,284156,F
975421438,2895,57,66585,716,573,397,3274,283558,T
413248228,2783,86,183678,716,8987,397,2690,283869,F
568311752,2599,67,132549,716,977,397,2688,284169,F
372368735,277,1,12742,716,565,794,3232,284283,T
760270240,2482,272,198560,716,7530,1986,3147,284066,T
679486283,2620,69,128380,716,2579,397,1659,283879,F
577048967,2475,255,163350,716,1882,1191,3749,283727,T
992393942,2827,72,76329,716,561,397,2488,284270,F
782193746,312,1,18720,716,964,1191,2015,284134,T
140426055,2863,83,163191,716,1084,397,1908,284036,F
997083667,3073,21,304227,716,3618,1589,1718,283633,T
892918275,2824,101,146848,716,2995,397,1677,283600,F
292312519,3124,46,215556,716,873,1191,3365,284301,T
992151081,2696,73,167152,716,2786,397,2190,284406,F
903738249,276,1,23736,716,1821,794,2599,283552,T
950900556,2869,90,149188,716,1333,397,1978,284127,F
709704958,473,1,40205,716,590,794,3279,284468,T
844503079,2899,71,110162,716,2361,397,2595,284372,F
849228979,2416,295,53152,716,784,1986,2205,284337,T
688532526,2710,95,127370,716,8194,397,3504,283752,F
558787833,2636,71,218788,716,21432,397,2006,284062,F
380803604,2554,299,148132,716,721,1986,3678,284482,T
698835469,2557,303,74153,716,1079,1986,3305,284360,T
688788934,2741,74,211057,716,1741,397,3394,284354,F
042827553,2414,301,200362,716,597,1589,2262,283898,T
870818468,2799,77,263106,716,2758,397,2309,283722,F
735904951,2599,256,153341,716,1774,1191,2968,284082,T
074100989,2720,70,220320,716,599,397,3639,284453,F
371813263,504,40,28224,716,1786,397,1598,284005,T
747547634,2792,101,80968,716,1386,397,1839,284483,F
783839254,3130,58,93900,716,4722,794,4100,284267,T
449132595,2796,75,279600,716,668,397,2332,284480,F
654018958,2423,287,208378,716,2731,1589,2927,284396,T
631076321,2890,79,268770,716,654,397,2371,283574,F
605767038,252,1,21672,716,1289,1986,2040,283733,T
565900462,2863,81,65849,716,562,397,2888,283851,F
010636182,2573,254,195548,716,10716,1589,3282,284314,T
524960372,2710,83,73170,716,1333,397,3144,284032,F
054626026,3088,24,92640,716,687,794,2318,284229,T
090285628,2719,85,138669,716,898,397,1928,283595,F
309328031,2982,54,116298,716,1238,1986,3495,283782,T
435346838,2782,70,63986,716,2176,397,3398,283984,F
166270633,3088,66,111168,716,658,794,3552,284421,T
401942625,2667,78,136017,716,1295,397,1817,283807,F
863714185,2435,276,204540,716,3714,397,2367,283516,T
445721578,2863,87,131698,716,2079,397,2545,283839,F
461532933,416,40,39936,716,1774,1191,2366,283877,T
197266083,2852,80,162564,716,4286,397,2306,283832,F
008405607,2495,271,209580,716,1289,397,3033,283570,T
514714243,2689,68,177474,716,3356,397,2114,284238,F
252021682,3074,32,233624,716,621,1986,3084,283652,T
362127690,2637,87,229419,716,3618,397,1753,283819,F
545177324,394,10,19700,716,829,1191,1627,284183,T
954429999,2649,69,235761,716,2228,397,1927,283903,F
871462544,2519,270,93203,716,3397,1589,2513,283539,T
567956641,2801,81,78428,716,595,397,3375,283885,F
868147378,3019,43,147931,716,589,1986,3283,283641,T
414753621,2824,67,132728,716,660,397,3380,284328,F
089111233,2370,300,208560,716,812,397,3158,283878,T
109697396,2838,80,150414,716,1314,397,3066,284483,F
547436063,2621,298,204438,716,627,794,3497,284128,T
180407717,2602,79,148314,716,2110,397,2429,283836,F
456750508,3142,43,119396,716,1709,1986,3099,284057,T
622177406,2677,77,251638,716,693,397,2311,283853,F
011403066,3178,34,85806,716,666,1986,2766,284301,T
879392835,2604,76,218736,716,1146,397,1649,284213,F
503258200,218,32,20710,716,3526,794,1931,283992,T
864803493,2651,66,174966,716,1009,397,2224,283724,F
454097026,2635,55,210800,716,737,397,1945,284022,T
145082400,2686,70,255170,716,1658,397,3747,283656,F
162179122,214,30,8774,716,867,1191,1811,283594,T
574877218,2603,83,205637,716,1260,397,3424,283613,F
962163918,3143,10,191723,716,1123,1191,2848,284180,T
232311736,2814,86,115374,716,1556,397,3494,283800,F
930362794,3040,4,224960,716,967,1986,2333,283585,T
460289859,2699,88,237512,716,3130,397,2698,283866,F
051768840,2362,280,226752,716,566,397,1627,284371,T
336648015,2728,105,267344,716,8194,397,3632,284425,F
935493277,2459,277,147540,716,1101,794,2181,283635,T
443287445,2793,83,248577,716,5159,397,3332,283618,F
698971734,2503,263,157689,716,723,1191,3809,284251,T
624175592,2839,68,99365,716,2510,397,2418,283633,F
934008327,2373,306,130515,716,742,1589,2629,283763,T
507530675,2650,81,148400,716,2872,397,3075,283743,F
043581457,2346,253,100878,716,691,794,2343,284433,T
922959837,2714,82,97704,716,650,397,2469,283504,F
728274982,2349,293,171477,716,671,1589,3191,283677,T
781943376,2665,86,119925,716,8706,397,2502,284321,F
260872723,485,1,38315,716,1379,397,3388,284343,T
903100558,2667,85,250698,716,1719,397,1617,284314,F
842430302,3153,44,220710,716,2381,1589,3154,284457,T
318163265,2616,69,193584,716,714,397,3018,284349,F
593748087,2383,251,157278,716,630,1191,2475,284112,T
483210549,2771,68,238306,716,1458,397,3241,283937,F
645721421,2441,288,65907,716,1414,1191,2575,284452,T
954834315,2796,77,86676,716,854,397,2431,284335,F
