userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
369264897,2152,167,510024,2528,85977,2808,8781,603759,T
741233265,464,6,112288,3393,27150,1123,8784,602904,T
143053714,2080,40,380640,1461,5263,1123,6552,603019,T
064859109,475,20,6175,3164,8060,1685,11375,603678,T
117502376,376,21,81592,1302,6215,561,9034,603166,T
812750345,4687,79,834286,3557,19106,1123,6295,603796,T
518664371,1995,61,39900,6699,6448,561,9336,603395,T
210546120,2170,193,340690,1264,17788,2246,11878,603107,T
133988685,2098,184,371346,2055,6787,1685,11544,603147,T
735166630,394,1,80770,5607,15172,1123,6141,603868,T
725658259,1976,57,405080,1946,7164,1123,6588,603325,T
326829562,2134,158,420398,1478,5862,2246,11512,603442,T
792290328,321,1,54249,4732,6291,1685,9154,603140,T
767499708,400,1,32000,1784,5607,2246,8480,603304,T
211286979,4867,683,720316,1240,5487,561,11667,603800,T
509313109,2074,166,514352,3684,30344,1685,6070,603491,T
851143020,472,5,91568,1243,7936,2246,5895,603039,T
852983369,4701,69,1076529,3070,6878,561,11330,603780,T
292471197,357,8,12852,1097,15632,2246,6133,603305,T
829700269,1967,46,125888,2468,12282,561,11420,602968,T
005433007,503,11,105630,3371,6448,1685,9081,603580,T
777168731,429,1,10725,1151,8320,2246,9096,602922,T
745696787,4651,85,762764,2313,28659,1685,5859,603527,T
502837622,358,1,78760,1607,16640,1123,8472,603053,T
436796978,455,1,15015,1946,6613,1123,11374,603083,T
343926893,2187,194,465831,3184,20634,561,8634,603645,T
270874926,472,18,6136,1128,8320,1685,11443,603616,T
385792757,345,1,60720,1778,7066,2246,5626,602913,T
048115733,2140,165,55640,3349,103172,561,8426,603727,T
758946108,4737,75,511596,6613,9379,561,8714,603086,T
584683279,2058,181,189336,1457,57318,1685,6309,603216,T
262971527,461,1,60852,3533,9050,561,6470,603306,T
502286550,443,1,64235,3765,28659,561,8388,603440,T
795293723,2099,164,333741,1664,34390,2808,11814,603658,T
685296547,414,1,54648,1503,42988,561,6062,603741,T
747655627,4762,87,1047640,1383,9379,1123,6533,603482,T
854338684,1988,65,330008,2492,6368,1123,6571,603515,T
175892857,2036,158,234140,1249,11724,561,11331,603184,T
432809027,398,19,23084,1292,9553,1123,11761,603383,T
766002507,4720,84,826000,4228,32241,561,12126,603576,T
464925493,2110,48,213110,3821,13575,1123,9133,603125,T
029575905,2134,186,478016,4194,17195,2246,9411,603456,T
956951193,420,15,54600,1829,9050,1123,9119,603491,T
140784303,2192,173,206048,1669,7699,561,11677,603486,T
352438588,326,1,42054,1228,39681,1123,5669,603898,T
495952806,322,18,15456,1725,7936,1123,11871,602916,T
837798441,2012,180,207236,7265,16640,2246,11670,603653,T
038796872,2012,27,166996,1642,46896,561,6319,603661,T
591211881,400,16,78000,5057,32241,1685,6065,602924,T
161078304,2039,33,246719,1063,8456,561,11818,603708,T
449326371,4881,691,522267,1449,14738,1123,6304,603278,T
261262182,2029,162,103479,1136,30344,1685,6229,603713,T
087616817,2033,173,475722,1375,17788,2246,8498,603630,T
144434022,4871,694,662456,4647,7816,1123,8522,603378,T
951691403,4712,694,621984,4485,6448,1685,9363,603109,T
051560838,515,1,128750,3016,21494,1685,11966,602915,T
164989563,2095,163,437855,1141,9211,561,8894,603458,T
076838052,466,1,85278,4409,7066,561,6147,603819,T
094530516,506,1,93104,2700,5546,2808,8554,603818,F
621609314,4744,81,939312,4061,8456,561,5890,603776,T
043706693,382,18,17190,1413,14329,1123,11686,603701,T
226686066,336,8,77280,1146,25793,2246,5692,602911,T
713239937,4802,68,907578,1322,5158,561,8762,603643,T
621527001,2127,42,59556,1319,5607,561,6616,602983,T
467484538,504,14,24192,1405,6787,2246,5906,602989,T
912422914,2081,174,345446,1286,7816,1685,5727,603138,T
141412603,2159,176,375666,2262,6699,2808,6494,603486,T
489868562,370,20,25900,3684,5998,561,9265,603744,T
086303524,2026,170,445720,1526,16640,1685,11687,603557,T
640768909,483,1,59892,2204,6068,1123,5772,603599,T
824798623,4771,675,386451,1478,11214,561,8967,603211,T
515706011,412,20,33372,1592,5373,1123,11549,603644,T
579885735,2114,181,287504,1778,9553,561,11543,603813,T
154822418,367,8,9909,2729,7164,561,5753,603213,T
313075131,392,1,55272,1249,5158,2246,12108,603100,T
203435220,4852,685,67928,2743,24564,561,6150,603564,T
280416179,430,21,64070,1252,10527,1123,11811,603398,T
898033697,4701,684,173937,2914,5546,561,8860,603313,T
977392552,469,3,70350,1669,5929,1123,8901,602913,T
670259857,2130,167,172530,2242,12582,1685,8963,603135,T
758140260,2183,169,331816,1164,8060,1685,8628,603885,T
168797024,2074,66,406504,5487,9050,561,8882,602980,T
241510981,4658,73,1020102,2282,5731,1123,5898,603264,T
382455725,4848,699,1047168,2516,12896,1123,11397,603076,T
627925167,1962,36,472842,4126,11996,561,9174,603663,T
510589119,2024,183,497904,4485,6613,2808,5715,603236,T
062331524,4742,667,834592,1121,6291,561,9345,603260,T
833390597,500,1,16500,1457,42988,561,11186,603793,T
694898400,4765,69,1057830,1544,27150,561,8700,603111,T
936906418,2092,51,271960,1622,6971,561,9422,602967,T
489644080,429,7,86229,3738,6068,2808,9068,603843,F
863299217,327,22,34335,3204,7699,1123,11548,603044,T
241985102,4744,79,882384,1680,27150,1123,8593,603660,T
509828586,2020,177,240380,1040,46896,2246,11704,603199,T
632199330,4785,688,411510,2865,28659,561,9216,603527,T
834895733,2107,177,183309,3765,17788,2808,8401,603842,T
907470894,2062,167,171146,1444,6291,2246,5982,603244,T
107144510,469,11,115843,3145,13942,1685,5695,603217,T
839957113,2147,159,276963,1702,6529,2246,11701,603864,T
585854063,2124,184,431172,2195,15632,561,8873,603675,T
097604158,2077,193,515096,1816,5158,2808,8871,603592,T
711840915,4775,50,1055275,1194,8456,561,8466,603000,T
619465794,4817,688,356458,2605,13942,1685,6241,603878,T
184943987,2059,185,140012,1567,39681,1123,8435,603540,T
596098763,4751,700,1078477,1305,5318,1685,8449,603282,T
542384277,4719,670,1019304,1109,6068,1123,5570,602947,T
224741536,4785,63,1196250,1457,42988,561,8401,603332,T
007591482,344,10,25800,5998,27150,2246,6486,603074,T
920165035,2101,170,237413,2063,12896,2246,5607,602935,T
401782883,4811,675,139519,5107,6878,1685,8888,603469,T
199901249,4686,689,1138698,2204,24564,2246,6585,603229,T
234238129,4862,679,1064778,1276,8894,1123,5803,603082,T
921653150,1956,66,39120,4126,6141,1123,5687,603146,T
298107521,2051,66,102550,2700,9733,561,12048,603895,T
880776468,2189,184,510037,1535,9553,2808,6315,603025,T
475725195,416,1,81536,2456,5263,561,6080,603593,T
248213289,351,9,73359,3393,5318,2246,6066,602917,T
812151662,2054,63,269074,2185,8597,561,8808,603063,T
144390116,476,13,14756,1180,14329,1123,11942,603358,T
335926319,1998,194,353646,4298,10527,2246,8561,603323,T
602054470,463,21,56949,1592,13942,561,5671,603625,T
248449338,4686,61,904398,1602,6787,1123,5952,602982,T
086319024,2123,192,481921,1810,42988,2246,8976,603440,T
361233108,355,1,56445,1099,6368,2808,6309,603056,F
154523660,4847,698,344137,1869,7369,561,8587,603279,T
217382744,2092,184,140164,4485,6215,561,11883,603359,T
201510430,374,18,9724,1932,13575,2246,5975,603336,T
464210089,4812,79,1193376,2914,7369,1685,5728,603203,T
942875545,2101,166,130262,1875,20634,1123,8916,602945,T
621639363,2021,170,297087,2313,11996,2246,9290,603510,T
706585486,2107,189,417186,1421,13227,1123,5996,603230,T
186779221,2013,171,64416,1350,24564,1685,8458,603302,T
918599604,2028,179,490776,1079,9050,2246,11223,603366,T
051674344,484,1,38236,1225,21494,1685,6587,603521,T
347526949,515,7,43775,2055,15632,561,12211,603869,T
211829155,2073,163,188643,2492,7066,2246,11875,603088,T
608854654,4871,690,716037,1469,5263,561,11450,603215,T
267750824,4826,86,854202,1503,14329,1123,6345,603841,T
097604489,375,1,31875,1146,17195,2808,5910,603271,F
938485591,421,2,55572,2898,15172,561,5891,603838,T
954837451,2125,194,427125,2444,5546,2808,5917,603431,T
834833682,457,11,86830,1835,9733,1685,11743,603237,T
563856892,2176,194,108800,1074,42988,561,9362,602986,T
307127006,4683,668,613473,2999,11724,561,11303,603906,T
264728475,338,5,7774,1270,6878,561,6206,603644,T
