userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
014727119,2065,40,202370,1074,1405,1123,5734,603295,T
791377632,533,5,18122,1074,1539,2808,6402,603289,F
991920860,2215,180,139545,1074,3849,1685,12035,603732,T
011419002,349,1,14309,1074,1046,2808,8452,603793,F
122739456,525,8,48300,1074,3968,2246,8491,603006,T
908010451,523,33,25104,1074,1669,2808,5843,603631,F
619714656,473,1,44935,1074,6699,561,9038,603734,T
566457193,359,9,34105,1074,1329,2808,9095,603505,F
320960168,1934,63,170192,1074,1394,561,11866,603289,T
190762664,590,2,12980,1074,19106,2808,5792,603614,F
942963487,2210,84,132600,1074,1903,561,9266,603884,T
135262280,546,3,22932,1074,2773,2808,8782,602972,F
592963960,2191,36,184044,1074,1954,561,9182,603071,T
118840329,321,1,30174,1074,4228,2808,5657,603323,F
898870960,2123,47,212300,1074,3509,1123,8514,603169,T
045608597,524,25,19912,1074,1228,2808,6009,602992,F
344159796,2189,199,91938,1074,2700,2808,8466,603815,T
126924180,522,14,18270,1074,2631,2808,6540,602987,F
545888166,354,21,23718,1074,5668,1685,11513,603395,T
997920453,544,51,52224,1074,3582,2808,9332,603027,F
773069026,443,1,32339,1074,9920,1123,5911,603871,T
758515048,457,38,38845,1074,4447,2808,6017,603250,F
326033095,2238,177,138756,1074,7265,2246,5854,603253,T
718569489,324,25,31104,1074,5998,2808,6192,602935,F
603235646,2270,167,179330,1074,4194,1685,8765,602967,T
398565061,459,8,12852,1074,6215,2808,5857,603286,F
582659177,2144,212,72896,1074,2504,1685,11347,603672,T
039469807,523,24,40271,1074,4263,2808,6519,603741,F
524750511,2101,211,153373,1074,12896,2808,11630,602984,T
207110680,373,3,33197,1074,3184,2808,8970,603055,F
189480584,576,1,25344,1074,1473,1685,6577,603799,T
070889711,498,44,42330,1074,2149,2808,6339,603167,F
438926180,416,11,10400,1074,3582,2808,5836,603792,F
602821307,4742,708,412554,1074,7369,561,8455,603207,T
549949904,491,13,27496,1074,1172,561,9411,603552,T
404455280,472,1,23128,1074,4371,2808,6162,603348,F
513286844,316,36,23384,1074,1159,2246,5730,603287,T
941375566,394,42,8668,1074,2914,2808,8916,603875,F
466479264,597,36,41193,1074,9733,1123,9163,603549,T
360412872,535,1,44940,1074,1549,2808,5903,603422,F
774174886,2269,209,61263,1074,4605,1685,12093,603138,T
974216418,604,33,22952,1074,3793,2808,5933,603803,F
691646394,406,11,9338,1074,1240,1685,9372,603108,T
494326079,367,1,16515,1074,3557,2808,6051,603667,F
331329499,2000,27,170000,1074,5373,561,6200,603239,T
705301211,494,1,35568,1074,1736,2808,8595,603319,F
782785204,4781,668,435071,1074,4094,1123,6172,603235,T
966920918,403,1,18538,1074,1772,2808,6408,603271,F
059772854,451,34,20746,1074,3439,1685,11536,603717,T
250743898,601,33,25242,1074,4030,2808,8927,602987,F
655980504,442,44,18564,1074,1090,1685,5757,603040,T
711668826,353,42,24004,1074,2433,2808,6419,603598,F
599886501,2268,157,224532,1074,1999,2808,8683,603891,T
035719866,394,11,11820,1074,5998,2808,6608,603787,F
527248244,2065,180,90860,1074,1095,2246,11796,602964,T
127271977,526,52,20514,1074,3937,2808,9027,603288,F
164843971,457,12,29248,1074,1353,2246,11612,603835,T
661352476,340,50,20740,1074,1469,2808,6226,603168,F
535425837,2279,211,164088,1074,2195,1123,11947,602918,T
800674619,586,7,49810,1074,1632,2808,5570,603689,F
707859952,2148,196,105252,1074,7586,2808,11465,603785,T
653865353,486,27,42282,1074,3533,2808,5583,603051,F
233014665,2213,212,205809,1074,2444,1123,11682,603687,T
005475259,554,3,22714,1074,1409,2808,9240,603015,F
934814073,555,30,21645,1074,2242,2808,8801,603911,F
455426270,515,12,32960,1074,1642,1123,9281,603141,T
339826292,2038,183,167116,1074,1057,2246,12109,602976,T
408441125,427,13,9394,1074,1151,2808,6436,603217,F
971284318,2068,90,150964,1074,4334,1123,9107,603237,T
962305086,570,6,56430,1074,1486,2808,8523,603185,F
785914151,327,14,9810,1074,7476,561,11901,603208,T
089991138,383,1,31789,1074,15172,2808,8573,603226,F
612724963,342,1,29754,1074,3711,561,6574,603644,T
416023232,504,1,38808,1074,1469,2808,5696,603648,F
774964936,477,1,33867,1074,2055,1685,11742,603838,T
746703966,412,21,30076,1074,1702,2808,8747,603209,F
724371639,2104,174,90472,1074,2047,2808,5768,603566,T
127374441,502,1,23092,1074,2931,2808,8817,603530,F
857750949,483,1,24150,1074,2388,1685,11905,603098,T
720850699,437,2,25346,1074,4821,2808,6069,603317,F
807078600,2117,224,112201,1074,1760,1123,11890,603725,T
165479134,400,49,8000,1074,14329,2808,6074,603369,F
618762071,2270,155,70370,1074,1172,1123,11744,603530,T
533187481,336,52,11760,1074,5263,2808,9391,603451,F
833914107,448,1,30016,1074,1961,1685,5987,603138,T
073761602,341,1,23529,1074,1092,2808,8519,603164,F
899297836,2057,168,135762,1074,1079,1123,11364,603494,T
160620875,483,27,11592,1074,2071,2808,6078,603734,F
740220228,335,23,22110,1074,3509,561,11969,603482,T
505407854,415,1,9130,1074,6971,2808,6024,603167,F
572659634,328,10,16400,1074,4263,1123,8874,603790,T
631808883,519,44,20241,1074,2456,2808,6345,603484,F
440590041,366,1,34770,1074,1903,2808,5642,603698,F
119663392,586,39,39262,1074,1159,1685,5569,603033,T
359407193,503,1,15593,1074,6529,2808,8865,603872,F
236049426,2001,165,160080,1074,1748,2808,8571,603654,T
325696918,2078,177,118446,1074,7066,2808,9258,603326,T
757163005,454,45,20884,1074,4409,2808,6004,603750,F
876750058,1986,81,57594,1074,3998,561,9073,603555,T
177875006,565,1,55370,1074,1057,2808,8760,603182,F
